factor,level,n_configs,mean_ba,median_ba,best_ba,best_ci95_low,mean_macro_f1,mean_worst_f1,best_worst_f1,mean_gap,mean_samples_per_epoch,mean_duration_sec
cnn_epochs,15,112,0.5045386904761905,0.5050925925925926,0.5814814814814815,0.5352962454247128,0.4924921941696147,0.38968420728935504,0.5109523809523809,0.44811219271099706,10545.907142857144,116.17650334881161
cnn_epochs,10,112,0.5041501322751323,0.5060185185185184,0.576851851851852,0.5112054903387323,0.4939598793106778,0.3856972622546376,0.4895854833161334,0.4306529529106851,10545.907142857144,80.50870635456815
model,small_inceptiontime,112,0.5070601851851851,0.5060185185185184,0.5814814814814815,0.523307640710041,0.4977233618613865,0.39627606453827413,0.4785964912280701,0.4088120135577712,10545.907142857144,46.81991621564958
model,inceptiontime,112,0.5016286375661376,0.5046296296296297,0.5805555555555555,0.5352962454247128,0.4887287116189061,0.3791054050057184,0.5109523809523809,0.4699531320639109,10545.907142857144,149.86529348773018
sqi_mode,top50_quality,112,0.5107886904761905,0.5111111111111111,0.5814814814814815,0.5352962454247128,0.4996072757629166,0.3896695463365078,0.5109523809523809,0.4390075685718905,7652.0,81.39642282381911
sqi_mode,none,112,0.49790013227513225,0.5004629629629631,0.576851851851852,0.523307640710041,0.48684479771737604,0.3857119232074847,0.4776190476190476,0.4397575770497917,13439.814285714285,115.28878687956062
stage1_regularization_value,wd0.005_do0.5_ls0.2,112,0.5045304232804233,0.5069444444444444,0.5805555555555555,0.5344677324908647,0.49421933299397175,0.3843061824452141,0.477,0.4419482315739369,10545.907142857142,98.26211073549472
stage1_regularization_value,wd0.01_do0.5_ls0.3,112,0.5041583994708995,0.5046296296296297,0.5814814814814815,0.5352962454247128,0.4922327404863208,0.3910752870987785,0.5109523809523809,0.43681691404774525,10545.907142857144,98.42309896788502
train_overlap_pct,30.0,112,0.5066633597883597,0.5060185185185184,0.5814814814814815,0.5352962454247128,0.4952688284332049,0.3882274624632781,0.4895854833161334,0.44168336363107663,12066.728571428572,107.35224386330768
train_overlap_pct,0.0,112,0.5020254629629629,0.5050925925925926,0.5666666666666667,0.5112054903387323,0.4911832450470876,0.3871540070807144,0.5109523809523809,0.43708178199060554,9025.085714285715,89.33296584007205
window_sampler,none,32,0.5349247685185186,0.5356481481481481,0.5814814814814815,0.5123198882320803,0.5255884926809764,0.42790150996402676,0.5109523809523809,0.4778152516625276,28890.0,205.33743290059647
window_sampler,class_subject_balanced,96,0.5050347222222222,0.5050925925925926,0.5805555555555555,0.5352962454247128,0.4932166472256623,0.3850182263922631,0.477,0.429813237038982,8295.783333333333,85.25415618850433
window_sampler,subject_balanced,96,0.4934606481481481,0.4962962962962963,0.5759259259259258,0.523307640710041,0.4824479409410203,0.37695965142105264,0.4738837289301685,0.4361410156321379,6681.333333333333,75.76611083190656
windows_per_subject_per_epoch,all,32,0.5349247685185186,0.5356481481481481,0.5814814814814815,0.5123198882320803,0.5255884926809764,0.42790150996402676,0.5109523809523809,0.4778152516625276,28890.0,205.33743290059647
windows_per_subject_per_epoch,50%,64,0.5279513888888889,0.5277777777777778,0.5805555555555555,0.5352962454247128,0.5153013588220863,0.41069722519664675,0.477,0.4627059512233507,16225.675,131.5263244275455
windows_per_subject_per_epoch,32,64,0.49628182870370363,0.4962962962962963,0.5564814814814814,0.523307640710041,0.48684021181049103,0.3797273441432522,0.4650349650349651,0.43729517866818013,4160.0,61.08601313869367
windows_per_subject_per_epoch,16,64,0.473509837962963,0.4736111111111111,0.5324074074074074,0.4802734356411121,0.46135531161744636,0.3525422473800746,0.4357843137254902,0.3989302491151492,2080.0,48.91806296437717
