overfit_config_id,overfit_stage,model,cnn_epochs,sqi_mode,window_sampler,windows_per_subject_per_epoch,train_overlap_pct,subject_balanced_accuracy_mean,subject_macro_f1_mean,worst_class_recall_mean,worst_class_f1_mean,pre_frail_recall_mean,pre_frail_f1_mean,pre_frail_precision_mean,robust_non_frail_recall_mean,robust_non_frail_f1_mean,robust_non_frail_precision_mean,young_recall_mean,young_f1_mean,young_precision_mean,overfit_rank
ref_20260625_top1_s1_122,fixed_reference,inceptiontime,15,top50_quality,none,all,50.0,0.6231481481481481,0.6146290038463952,0.4833333333333334,0.5209523809523808,0.7777777777777777,0.6912516469038208,0.6313020313020312,0.5666666666666667,0.5983496503496504,0.6523626373626374,0.525,0.5542857142857143,0.5904761904761904,1
ref_20260625_top2_s1_102,fixed_reference,inceptiontime,15,top50_quality,none,all,50.0,0.6175925925925926,0.6080746539322391,0.4833333333333333,0.5293557422969188,0.7777777777777777,0.6909090909090908,0.6294871794871795,0.5499999999999999,0.5849115095430883,0.6468864468864469,0.525,0.5484033613445378,0.5793650793650793,2
gen_212,generalization,small_inceptiontime,15,top50_quality,none,all,30.0,0.5814814814814815,0.5702389702847369,0.4166666666666667,0.4785964912280701,0.7777777777777778,0.6264580819638028,0.529478021978022,0.5166666666666667,0.577592162223741,0.6720451770451771,0.45,0.5066666666666666,0.5809523809523809,3
gen_080,generalization,inceptiontime,15,top50_quality,class_subject_balanced,50%,30.0,0.5805555555555555,0.5693044657341333,0.425,0.4761378490790256,0.6666666666666667,0.6102415458937198,0.576046176046176,0.55,0.5732274068642356,0.638921078921079,0.525,0.5244444444444445,0.5285714285714286,4
gen_030,generalization,inceptiontime,10,none,none,all,30.0,0.576851851851852,0.5603147832559597,0.3888888888888889,0.4601120448179271,0.6888888888888889,0.6039393939393939,0.5516749916749916,0.4666666666666667,0.5009545356604179,0.5763492063492064,0.575,0.5760504201680672,0.5833333333333333,5
gen_066,generalization,inceptiontime,15,none,class_subject_balanced,50%,30.0,0.5768518518518518,0.5606342332878879,0.4527777777777778,0.477,0.6888888888888889,0.6222681704260651,0.5834632034632035,0.4666666666666667,0.48956916996047434,0.5322377622377622,0.575,0.5700653594771242,0.5704761904761905,6
gen_074,generalization,inceptiontime,15,top50_quality,subject_balanced,50%,30.0,0.5759259259259258,0.5584704512320611,0.35,0.400061919504644,0.7777777777777778,0.6622902711323764,0.5843589743589744,0.5,0.5485645933014354,0.6271428571428572,0.45,0.4645564892623716,0.4976190476190476,7
gen_136,generalization,small_inceptiontime,10,top50_quality,class_subject_balanced,50%,30.0,0.5666666666666667,0.5559574136347591,0.3916666666666666,0.4363553113553114,0.7333333333333333,0.6468853292651919,0.5844444444444445,0.5666666666666667,0.5846316002837741,0.6130735930735931,0.4,0.4363553113553113,0.4878571428571428,8
gen_044,generalization,inceptiontime,10,top50_quality,none,all,30.0,0.5666666666666667,0.5549254899241439,0.436111111111111,0.4895854833161334,0.6,0.5613903743315508,0.5401598401598402,0.5,0.5608938353789613,0.6582251082251083,0.6,0.5424922600619195,0.4974242424242424,9
gen_093,generalization,inceptiontime,15,none,class_subject_balanced,50%,0.0,0.5666666666666667,0.5354932762455982,0.325,0.383641456582633,0.6666666666666666,0.5935584415584415,0.5618589743589744,0.4333333333333333,0.44100409394527046,0.49789682539682545,0.6,0.5719172932330827,0.5622294372294372,10
