group_id,model,resolved_model,extra_input,cnn_epochs,cnn_patience,window_sec,hop_sec,overlap_pct,max_windows_fraction,n_completed,n_failed,best_single_repeat,best_single_subject_macro_f1,best_single_subject_balanced_accuracy,best_single_file_macro_f1,best_single_file_balanced_accuracy,best_single_report_path,window_balanced_accuracy_mean,window_balanced_accuracy_std,window_balanced_accuracy_best,window_macro_f1_mean,window_macro_f1_std,window_macro_f1_best,file_balanced_accuracy_mean,file_balanced_accuracy_std,file_balanced_accuracy_best,file_macro_f1_mean,file_macro_f1_std,file_macro_f1_best,subject_balanced_accuracy_mean,subject_balanced_accuracy_std,subject_balanced_accuracy_best,subject_macro_f1_mean,subject_macro_f1_std,subject_macro_f1_best,best_val_loss_mean,best_val_loss_std,best_val_loss_best,best_val_accuracy_mean,best_val_accuracy_std,best_val_accuracy_best,duration_sec_mean,duration_sec_std,duration_sec_best
7,inceptiontime,inception_time,0,50,10,15.0,7.5,50.0,0.9,5,0,3,0.8075036075036075,0.8101851851851851,0.649081774081774,0.6564814814814816,results_frailty3/20260525_1421/reports/g0007_r3_inceptiontime_extra-0_ep50_seq15_ov050_mw090_seed20042_report.json,0.6156788647434556,0.013852702926042619,0.6258341633783435,0.6081118263174954,0.01204744397361583,0.617905185018279,0.6490740740740741,0.019763693139934483,0.6731481481481482,0.642544583476049,0.01469984705107615,0.6534044298605415,0.7287037037037037,0.051769113883312436,0.8101851851851851,0.7233526294826605,0.05059880964872865,0.8075036075036075,1.0010578552422156,0.29354077723847694,1.2571923444657427,0.756348252884497,0.05765493648371609,0.8669283413848632,150.3946436697617,16.431594142971303,169.16515770414844
4,cnn,cnn1d,PPI,50,20,15.0,7.5,50.0,0.9,5,0,3,0.7621832358674463,0.7824074074074074,0.7081686429512516,0.7203703703703704,results_frailty3/20260525_1421/reports/g0004_r3_cnn_extra-PPI_ep50_seq15_ov050_mw090_seed20042_report.json,0.6132700472407229,0.03562694895731846,0.6787140286780771,0.6055645141286133,0.03604940436642198,0.6677154982837047,0.6403703703703705,0.044815580036319615,0.7203703703703704,0.6317852813374892,0.04568558447299044,0.7081686429512516,0.7175925925925926,0.0331269329999969,0.7824074074074074,0.7074420861789282,0.02877379885892084,0.7621832358674463,1.1531784846651028,0.5591788516984822,1.9448579333805376,0.7867269539611181,0.06077553689303569,0.8798711755233494,76.98166201347485,7.342415096071889,88.87195712095127
8,inceptiontime,inception_time,0,50,20,15.0,7.5,50.0,0.9,5,0,2,0.7608695652173912,0.7777777777777778,0.6787134502923977,0.6981481481481481,results_frailty3/20260525_1421/reports/g0008_r2_inceptiontime_extra-0_ep50_seq15_ov050_mw090_seed10042_report.json,0.6238494548108559,0.021986541215322303,0.6481433620541607,0.612875185466363,0.01575142759026107,0.634185782475544,0.672037037037037,0.02256221394150819,0.6981481481481481,0.6593871213273654,0.019589817568461763,0.6787134502923977,0.7,0.04539870619307877,0.7777777777777778,0.6899750334916575,0.037949327754596834,0.7608695652173912,0.9909119640887658,0.31724217686579137,1.2999136299814618,0.7645904877561386,0.053804919689982675,0.8703099838969405,246.0850404431112,39.842552713057835,304.66839083563536
3,cnn,cnn1d,PPI,50,10,15.0,7.5,50.0,0.9,5,0,3,0.7621832358674463,0.7824074074074074,0.6971848225214199,0.7055555555555556,results_frailty3/20260525_1421/reports/g0003_r3_cnn_extra-PPI_ep50_seq15_ov050_mw090_seed20042_report.json,0.6035972362467147,0.030489515879675542,0.6599082544627649,0.5956069653558085,0.03313263871170506,0.6517626222351801,0.6287037037037038,0.04230579772634011,0.7055555555555556,0.6192643142339478,0.046710899774000544,0.6971848225214199,0.6888888888888889,0.04946559403404847,0.7824074074074074,0.6792999592999591,0.04616159498601776,0.7621832358674463,1.165959670234584,0.5394194171959911,1.9448579333805376,0.7703216250097558,0.05950503612213481,0.8798711755233494,43.06823261408135,5.016705312506625,49.69422523584217
10,inceptiontime,inception_time,PPI,50,20,15.0,7.5,50.0,0.9,5,0,3,0.7678571428571428,0.7824074074074074,0.7147375860247148,0.7203703703703704,results_frailty3/20260525_1421/reports/g0010_r3_inceptiontime_extra-PPI_ep50_seq15_ov050_mw090_seed20042_report.json,0.6247585900922061,0.044542363625799206,0.6904370671793867,0.6169269657593486,0.04336423358580852,0.6825762502598623,0.6475925925925926,0.04733139160220597,0.7203703703703704,0.6366657825778799,0.04458492649704998,0.7147375860247148,0.6824074074074074,0.0540379128200551,0.7824074074074074,0.6732215789026934,0.05088163758559662,0.7678571428571428,1.0981680379942838,0.3766819870339409,1.4424677029682051,0.7658235421378261,0.05155764907509175,0.8457125603864735,274.5538101318292,20.621286488107057,307.22772223781794
6,cnn,cnn1d,HRV,50,20,15.0,7.5,50.0,0.9,5,0,4,0.7022222222222222,0.6944444444444443,0.6450810893512852,0.637037037037037,results_frailty3/20260525_1421/reports/g0006_r4_cnn_extra-HRV_ep50_seq15_ov050_mw090_seed30042_report.json,0.595746182842497,0.036751632848528726,0.6475563846753435,0.5971397624867889,0.0373332319971476,0.6396167041514402,0.620925925925926,0.03933866881577886,0.6712962962962964,0.6208457944652364,0.04182045885346535,0.6638264336377544,0.6518518518518518,0.03343605571345884,0.6944444444444443,0.6487819828277495,0.0366589807938011,0.7022222222222222,1.1877238048124916,0.41536256435917096,1.6411430157140103,0.7633920210306255,0.03431976769925399,0.8310587761674718,66.10877287704497,9.646524980165076,80.1656394652091
9,inceptiontime,inception_time,PPI,50,10,15.0,7.5,50.0,0.9,5,0,2,0.6944444444444443,0.7129629629629629,0.6546899255400321,0.6722222222222222,results_frailty3/20260525_1421/reports/g0009_r2_inceptiontime_extra-PPI_ep50_seq15_ov050_mw090_seed10042_report.json,0.6119644611412762,0.03146439806411898,0.6465302995442722,0.6012447294886185,0.023847066286747695,0.6334924705859907,0.6298148148148149,0.043030757494320004,0.6787037037037038,0.6176559168999547,0.033581411171036774,0.6571989746662672,0.6574074074074073,0.03895497031104188,0.7129629629629629,0.6444262695023227,0.04463716544918761,0.6944444444444443,1.0606449814167545,0.3068925810276706,1.3718263502108725,0.7606368167521425,0.032742941748007945,0.8010265700483091,136.7285831451416,13.75339652409076,153.7605197248049
2,cnn,cnn1d,0,50,20,15.0,7.5,50.0,0.9,5,0,1,0.6654456654456654,0.6527777777777778,0.644338270425227,0.6314814814814814,results_frailty3/20260525_1421/reports/g0002_r1_cnn_extra-0_ep50_seq15_ov050_mw090_seed42_report.json,0.596610906452774,0.006349091562581603,0.6044362857088063,0.5990819428180164,0.004002561554316363,0.60439262512766,0.6214814814814814,0.008310668767524738,0.6314814814814814,0.6244141490236856,0.010923138134880793,0.644338270425227,0.6435185185185185,0.013417941431656873,0.6574074074074073,0.6420775280218004,0.018539806636987195,0.6654456654456654,1.110207809171138,0.3615603005743465,1.4997897468353236,0.7345108885863852,0.04820424167221583,0.8257850241545895,60.685472403373566,3.7849001868979877,65.56312764482573
12,inceptiontime,inception_time,HRV,50,20,15.0,7.5,50.0,0.9,5,0,3,0.7616161616161617,0.7777777777777778,0.6688030006523157,0.6722222222222222,results_frailty3/20260525_1421/reports/g0012_r3_inceptiontime_extra-HRV_ep50_seq15_ov050_mw090_seed20042_report.json,0.5846899678481037,0.034858284144712995,0.6426494851486851,0.5868218908860339,0.0346082593249256,0.6413539443514229,0.6025925925925926,0.04203499750314208,0.6722222222222222,0.601989483940989,0.04250701937338491,0.6688030006523157,0.6425925925925926,0.07495998017781147,0.7777777777777778,0.6403820253820254,0.07233959616353285,0.7616161616161617,1.122861503466423,0.37836281325255733,1.4411510148578708,0.7651326866832306,0.059463001167396175,0.8666666666666667,223.08910157280042,32.708146235584834,278.04287281492725
11,inceptiontime,inception_time,HRV,50,10,15.0,7.5,50.0,0.9,5,0,3,0.727536231884058,0.75,0.6644766730735628,0.6851851851851851,results_frailty3/20260525_1421/reports/g0011_r3_inceptiontime_extra-HRV_ep50_seq15_ov050_mw090_seed20042_report.json,0.5759556327522977,0.03933215163993301,0.6444530217553316,0.569485243562487,0.0349210242037922,0.6322990142038541,0.5937037037037037,0.049014289229742415,0.6851851851851851,0.5871401860061397,0.040319842583495136,0.6644766730735628,0.6435185185185185,0.05532358980107281,0.75,0.6340464688290776,0.0540076799039556,0.727536231884058,1.086031249786119,0.4117665695759718,1.4848370416051289,0.7591708782932839,0.06279118553734307,0.8705314009661835,139.41396561246364,16.26938563137769,156.99272679816931
1,cnn,cnn1d,0,50,10,15.0,7.5,50.0,0.9,5,0,2,0.6970426065162907,0.6898148148148149,0.6232607333437105,0.6175925925925926,results_frailty3/20260525_1421/reports/g0001_r2_cnn_extra-0_ep50_seq15_ov050_mw090_seed10042_report.json,0.5821364464769178,0.01790717072902802,0.6073691338670574,0.5869735757220601,0.0213795046663899,0.609412102896009,0.6074074074074074,0.019668026736817428,0.6324074074074074,0.6144359149984259,0.02543322827212389,0.6380815787514352,0.6194444444444445,0.05322262171555525,0.6898148148148149,0.6270800734988378,0.05985549746747543,0.6970426065162907,1.1384748541615068,0.3342242277498119,1.4997897468353236,0.7047214444557518,0.04666503584593028,0.7828703703703704,32.85012941500172,5.81527128314077,43.195998770184815
5,cnn,cnn1d,HRV,50,10,15.0,7.5,50.0,0.9,5,0,4,0.6678733031674208,0.6574074074074074,0.6380748954008367,0.6296296296296297,results_frailty3/20260525_1421/reports/g0005_r4_cnn_extra-HRV_ep50_seq15_ov050_mw090_seed30042_report.json,0.5783011101843607,0.041271161191175146,0.6212262835583555,0.5800005284516954,0.041747699032618,0.6234487203119309,0.6016666666666668,0.043675445980764255,0.6435185185185185,0.6015426715510216,0.04565657381521997,0.6380748954008367,0.6120370370370372,0.03186046395200974,0.6574074074074074,0.6175056925645162,0.0361597428061255,0.6678733031674208,1.1984521160540829,0.41358609300158117,1.6411430157140103,0.7431420779043124,0.04968671158475366,0.8310587761674718,36.75165485460311,1.654074647011811,38.989095048978925
14,shapeformer_pisd,shapeformer,0,50,20,15.0,7.5,50.0,0.9,3,0,1,0.6248812915479581,0.611111111111111,0.6052089522677758,0.5935185185185184,results_frailty3/20260525_1421/reports/g0014_r1_shapeformer_pisd_extra-0_ep50_seq15_ov050_mw090_seed42_report.json,0.5524109610429657,0.007255130654200551,0.5605858040707269,0.5562680447846883,0.009556517132571064,0.5634055658505165,0.5888888888888889,0.0151013948428704,0.6046296296296295,0.5937544011340709,0.01848248256844135,0.6083740709542563,0.6049382716049383,0.008729713347982055,0.611111111111111,0.6120467360233443,0.015344182093876757,0.6248812915479581,1.233555103891603,0.41607226222727234,1.6797801250391344,0.7598756696597838,0.049318478807707976,0.8210346215780998,16798.963116747636,410.8745240444786,17224.666999474168
13,shapeformer_pisd,shapeformer,0,50,10,15.0,7.5,50.0,0.9,5,0,5,0.611111111111111,0.5925925925925926,0.5747763857879215,0.5648148148148148,results_frailty3/20260525_1421/reports/g0013_r5_shapeformer_pisd_extra-0_ep50_seq15_ov050_mw090_seed40042_report.json,0.5208207932947401,0.008980057955110364,0.5311911392783969,0.526555687905223,0.011646197550993534,0.5402953565734687,0.539074074074074,0.018843445699133335,0.5648148148148148,0.5451837290671846,0.021411698274035926,0.5747763857879215,0.5583333333333333,0.02222222222222221,0.5925925925925926,0.5663572243804029,0.027206124281214418,0.611111111111111,1.2321843149393819,0.30467732547911414,1.6785121067002267,0.6639257799097936,0.09477030173869155,0.8280394524959741,16200.352220922801,745.0612881154824,17625.575049784034
