config_key,model,resolved_model,extra_input,cnn_epochs,cnn_patience,window_sec,hop_sec,overlap_pct,max_windows_fraction,class_key,class_name,is_complete,n_repeats_done,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,support_mean,support_std,support_ci95_low,support_ci95_high
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,inception_time,0,50,20,5.0,3.5,30.0,0.9,pre_frail,Pre-Frail,True,5,0.615934065934066,0.039819899394928034,0.5664990568768198,0.6653690749913121,0.8444444444444444,0.12668615834434868,0.6871680203362937,1.0017208685525953,0.7077733860342555,0.048751913839260995,0.6472495941909008,0.7682971778776103,9.0,0.0,9.0,9.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,inception_time,0,50,20,5.0,3.5,30.0,0.9,robust_non_frail,Robust/Non-Frail,True,5,0.7866666666666667,0.13249737942901196,0.6221758153168795,0.951157518016454,0.5666666666666667,0.09128709291752768,0.4533369412338983,0.679996392099435,0.6529292929292929,0.08935141372798915,0.5420026453475688,0.763855940511017,12.0,0.0,12.0,12.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,inception_time,0,50,20,5.0,3.5,30.0,0.9,young,Young,True,5,0.841984126984127,0.11243976019389929,0.7023941067168232,0.9815741472514307,0.8,0.11180339887498948,0.6612,0.9388000000000001,0.8091075917546504,0.04243955938381719,0.7564203666635753,0.8617948168457256,8.0,0.0,8.0,8.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9,inceptiontime,inception_time,0,50,20,5.0,2.5,50.0,0.9,pre_frail,Pre-Frail,True,5,0.6872727272727273,0.07430115178800929,0.5950304522439784,0.7795150023014761,0.8222222222222222,0.06085806194501842,0.74666907193371,0.8977753725107344,0.7484210526315789,0.06795387061717646,0.6640587046477732,0.8327834006153846,9.0,0.0,9.0,9.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9,inceptiontime,inception_time,0,50,20,5.0,2.5,50.0,0.9,robust_non_frail,Robust/Non-Frail,True,5,0.6951282051282052,0.10434511342461135,0.5655874050356247,0.8246690052207857,0.6333333333333333,0.09501461875826149,0.5153760152522202,0.7512906514144464,0.6606666666666667,0.08894865988591656,0.5502400238597722,0.7710933094735613,12.0,0.0,12.0,12.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9,inceptiontime,inception_time,0,50,20,5.0,2.5,50.0,0.9,young,Young,True,5,0.8222222222222222,0.1050426133399391,0.6918155004383366,0.9526289440061078,0.725,0.10458250331675945,0.5951644886789442,0.8548355113210557,0.7614091790562378,0.040003313144244414,0.7117464682594983,0.8110718898529774,8.0,0.0,8.0,8.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=10|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,inception_time,0,50,10,5.0,3.5,30.0,0.9,pre_frail,Pre-Frail,True,5,0.6548229548229549,0.08722187631249717,0.5465400532833415,0.7631058563625683,0.7555555555555555,0.12171612389003689,0.6044492549785311,0.90666185613258,0.6926767676767677,0.059942176163499436,0.6182606574760705,0.7670928778774648,9.0,0.0,9.0,9.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=10|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,inception_time,0,50,10,5.0,3.5,30.0,0.9,robust_non_frail,Robust/Non-Frail,True,5,0.6784615384615386,0.06115935576965394,0.602534342452769,0.7543887344703081,0.6333333333333334,0.11180339887498948,0.49453333333333344,0.7721333333333333,0.6522251082251083,0.08012351201793931,0.5527545770964005,0.751695639353816,12.0,0.0,12.0,12.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=10|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,inception_time,0,50,10,5.0,3.5,30.0,0.9,young,Young,True,5,0.851190476190476,0.11919633568155232,0.7032124043333022,0.9991685480476499,0.75,0.08838834764831845,0.6402689651921573,0.8597310348078427,0.7900226244343893,0.06109856163227822,0.7141709022157967,0.8658743466529819,8.0,0.0,8.0,8.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=10|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9,inceptiontime,inception_time,0,50,10,5.0,2.5,50.0,0.9,pre_frail,Pre-Frail,True,5,0.6445454545454545,0.07764024308429981,0.5481578147372026,0.7409330943537065,0.7999999999999999,0.09296222517045283,0.6845906566035059,0.9154093433964939,0.706890756302521,0.03442564495262679,0.6641525250188073,0.7496289875862346,9.0,0.0,9.0,9.0
