config_key,model,resolved_model,extra_input,cnn_epochs,cnn_patience,window_sec,hop_sec,overlap_pct,max_windows_fraction,class_key,class_name,is_complete,n_repeats_done,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,support_mean,support_std,support_ci95_low,support_ci95_high
model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,shapeformer,0,50,20,10.0,5.0,50.0,0.9,pre_frail,Pre-Frail,True,5,0.6744949494949494,0.06060869102035868,0.5992513844667339,0.7497385145231649,0.6888888888888889,0.09296222517045284,0.5734795454923949,0.8042982322853829,0.6798692810457516,0.06844107902269987,0.5949020809074755,0.7648364811840277,9.0,0.0,9.0,9.0
model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,shapeformer,0,50,20,10.0,5.0,50.0,0.9,robust_non_frail,Robust/Non-Frail,True,5,0.592335899394723,0.06840545720959276,0.5074129224885581,0.6772588763008879,0.6333333333333333,0.09501461875826149,0.5153760152522202,0.7512906514144464,0.6068354074710897,0.0486780546034287,0.5464033092795977,0.6672675056625816,12.0,0.0,12.0,12.0
model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,shapeformer,0,50,20,10.0,5.0,50.0,0.9,young,Young,True,5,0.7485714285714287,0.14901034069034624,0.5635803147418224,0.933562542401035,0.6,0.13693063937629152,0.43000541185084745,0.7699945881491526,0.6424242424242423,0.05420770854544946,0.5751272727272727,0.709721212121212,8.0,0.0,8.0,8.0
model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=10|window_sec=10|hop_sec=7|overlap_pct=30|max_windows_fraction=0p9,shapeformer_pisd,shapeformer,0,50,10,10.0,7.0,30.0,0.9,pre_frail,Pre-Frail,True,5,0.6244155844155843,0.05527038370190293,0.5557993407680912,0.6930318280630774,0.6222222222222221,0.12668615834434868,0.46494579811407133,0.7794986463303729,0.6176315789473683,0.07256909974794468,0.5275395858025341,0.7077235720922025,9.0,0.0,9.0,9.0
model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=10|window_sec=10|hop_sec=7|overlap_pct=30|max_windows_fraction=0p9,shapeformer_pisd,shapeformer,0,50,10,10.0,7.0,30.0,0.9,robust_non_frail,Robust/Non-Frail,True,5,0.5868347338935573,0.04983072429305721,0.5249716366937139,0.6486978310934007,0.65,0.06972166887783961,0.5634429924526295,0.7365570075473705,0.6138815207780726,0.03428288613187939,0.5713205195653507,0.6564425219907944,12.0,0.0,12.0,12.0
model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=10|window_sec=10|hop_sec=7|overlap_pct=30|max_windows_fraction=0p9,shapeformer_pisd,shapeformer,0,50,10,10.0,7.0,30.0,0.9,young,Young,True,5,0.7088095238095239,0.11152290471756911,0.5703577474721468,0.8472613001469009,0.575,0.06846531968814576,0.4900027059254237,0.6599972940745762,0.6309340659340659,0.06713273715772294,0.5475911263521424,0.7142770055159894,8.0,0.0,8.0,8.0
model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,shapeformer,0,50,20,5.0,2.5,50.0,0.9,pre_frail,Pre-Frail,True,5,0.6199145299145299,0.11585201313455874,0.4760883172512052,0.7637407425778546,0.7555555555555555,0.049690399499995354,0.6938666666666666,0.8172444444444444,0.6778157514999619,0.08160473203433485,0.5765063376508318,0.7791251653490919,9.0,0.0,9.0,9.0
model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,shapeformer,0,50,20,5.0,2.5,50.0,0.9,robust_non_frail,Robust/Non-Frail,True,5,0.656111111111111,0.09599221933489978,0.5369401361876946,0.7752820860345273,0.5166666666666667,0.10865337342004412,0.3817773128325788,0.6515560205007547,0.577056277056277,0.10391413984865644,0.44805051554878844,0.7060620385637657,12.0,0.0,12.0,12.0
model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,shapeformer,0,50,20,5.0,2.5,50.0,0.9,young,Young,True,5,0.5555555555555556,0.06804138174397716,0.47108456557587,0.6400265455352412,0.575,0.06846531968814576,0.4900027059254237,0.6599972940745762,0.5606909430438842,0.03654600521154235,0.5153203588362084,0.60606152725156,8.0,0.0,8.0,8.0
model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=10|window_sec=15|hop_sec=7p5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,shapeformer,0,50,10,15.0,7.5,50.0,0.9,pre_frail,Pre-Frail,True,5,0.7033333333333334,0.10762589527308628,0.5697195575964481,0.8369471090702186,0.6666666666666666,0.07856742013183861,0.5691279690596953,0.7642053642736379,0.6753353973168215,0.031349456494847626,0.6364161461556813,0.7142546484779616,9.0,0.0,9.0,9.0
