rank,config_key,model,extra_input,window_sec,overlap_pct,cnn_patience,n_matrices,true_class,pred_class,count,row_normalized
1,model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,0,10.0,50.0,20,5,Pre-Frail,Pre-Frail,31,0.6888888888888889
1,model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,0,10.0,50.0,20,5,Pre-Frail,Robust/Non-Frail,13,0.28888888888888886
1,model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,0,10.0,50.0,20,5,Pre-Frail,Young,1,0.022222222222222223
1,model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,0,10.0,50.0,20,5,Robust/Non-Frail,Pre-Frail,13,0.21666666666666667
1,model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,0,10.0,50.0,20,5,Robust/Non-Frail,Robust/Non-Frail,38,0.6333333333333333
1,model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,0,10.0,50.0,20,5,Robust/Non-Frail,Young,9,0.15
1,model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,0,10.0,50.0,20,5,Young,Pre-Frail,2,0.05
1,model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,0,10.0,50.0,20,5,Young,Robust/Non-Frail,14,0.35
1,model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=10|hop_sec=5|overlap_pct=50|max_windows_fraction=0p9,shapeformer_pisd,0,10.0,50.0,20,5,Young,Young,24,0.6
2,model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=10|window_sec=10|hop_sec=7|overlap_pct=30|max_windows_fraction=0p9,shapeformer_pisd,0,10.0,30.0,10,5,Pre-Frail,Pre-Frail,28,0.6222222222222222
2,model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=10|window_sec=10|hop_sec=7|overlap_pct=30|max_windows_fraction=0p9,shapeformer_pisd,0,10.0,30.0,10,5,Pre-Frail,Robust/Non-Frail,15,0.3333333333333333
2,model=shapeformer_pisd|resolved_model=shapeformer|extra_input=0|cnn_epochs=50|cnn_patience=10|window_sec=10|hop_sec=7|overlap_pct=30|max_windows_fraction=0p9,shapeformer_pisd,0,10.0,30.0,10,5,Pre-Frail,Young,2,0.044444444444444446
