rank,config_key,model,extra_input,window_sec,overlap_pct,cnn_patience,n_matrices,true_class,pred_class,count,row_normalized
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,0,5.0,30.0,20,5,Pre-Frail,Pre-Frail,38,0.8444444444444444
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,0,5.0,30.0,20,5,Pre-Frail,Robust/Non-Frail,5,0.1111111111111111
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,0,5.0,30.0,20,5,Pre-Frail,Young,2,0.044444444444444446
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,0,5.0,30.0,20,5,Robust/Non-Frail,Pre-Frail,21,0.35
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,0,5.0,30.0,20,5,Robust/Non-Frail,Robust/Non-Frail,34,0.5666666666666667
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,0,5.0,30.0,20,5,Robust/Non-Frail,Young,5,0.08333333333333333
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,0,5.0,30.0,20,5,Young,Pre-Frail,3,0.075
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,0,5.0,30.0,20,5,Young,Robust/Non-Frail,5,0.125
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=3p5|overlap_pct=30|max_windows_fraction=0p9,inceptiontime,0,5.0,30.0,20,5,Young,Young,32,0.8
2,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=50|cnn_patience=20|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9,inceptiontime,0,5.0,50.0,20,5,Pre-Frail,Pre-Frail,37,0.8222222222222222
