stage1_regularization_factor,cnn_epochs,n_configs,best_overfit_config_id,best_overfit_config_name,best_subject_balanced_accuracy_mean,best_subject_macro_f1_mean,best_subject_balanced_accuracy_ci95_low,best_worst_class_f1_mean,subject_balanced_accuracy_mean_mean_across_configs,subject_balanced_accuracy_mean_max_across_configs,subject_balanced_accuracy_mean_min_across_configs,subject_macro_f1_mean_mean_across_configs,subject_macro_f1_mean_max_across_configs,subject_macro_f1_mean_min_across_configs,worst_class_f1_mean_mean_across_configs,worst_class_f1_mean_max_across_configs,worst_class_f1_mean_min_across_configs,subject_balanced_accuracy_std_mean_across_configs,subject_balanced_accuracy_std_max_across_configs,subject_balanced_accuracy_std_min_across_configs,train_val_balanced_accuracy_gap_mean_mean_across_configs,train_val_balanced_accuracy_gap_mean_max_across_configs,train_val_balanced_accuracy_gap_mean_min_across_configs,val_train_loss_gap_mean_mean_across_configs,val_train_loss_gap_mean_max_across_configs,val_train_loss_gap_mean_min_across_configs
dropout,10,7,s1_085,main_effect_dropout-0p0_lr0.001_wd0.0005_do0_ls0.1_mw90_ep10,0.6231481481481482,0.6257815229594743,0.5363053788212657,0.5398398702746529,0.5723544973544973,0.6231481481481482,0.5166666666666666,0.5775078970665778,0.6257815229594743,0.523849757082772,0.5026566705363698,0.5499089026915114,0.43666666666666665,0.060943337813352316,0.07611482824121263,0.03163768437642574,0.4479822917095649,0.4589419117310575,0.4240920904928821,0.9171387493559114,0.9527417681861767,0.8684406836798433
combined_regularization,10,9,s1_105,strong_combo_combined_regularization-wd0p005_do0p5_ls0p2_mw0p9_lr0.001_wd0.005_do0.5_ls0.2_mw90_ep10,0.6157407407407407,0.6253964850154109,0.568871110092613,0.581764705882353,0.573971193415638,0.6157407407407407,0.525,0.5768319558406698,0.6253964850154109,0.5341995810455542,0.5187644193801506,0.581764705882353,0.4843383863623744,0.04667768967787868,0.06657658523054642,0.011053089246586458,0.44383663708169374,0.4596614169603758,0.4323077336478448,0.6114169170997551,0.8071176601442935,0.4454665657199458
dropout,15,7,s1_163,main_effect_dropout-0p5_lr0.001_wd0.0005_do0.5_ls0.1_mw90_ep15,0.612037037037037,0.6168286224227805,0.574042476383809,0.5667710944026734,0.5892857142857143,0.612037037037037,0.5462962962962963,0.5893047435694078,0.6168286224227805,0.5423993162744453,0.5199689023643218,0.5667710944026734,0.4735662686127082,0.04251926884112616,0.06697779764391394,0.025230419617479117,0.43964515426134154,0.4558696428309944,0.43100196759887693,0.9210939459631271,0.942579679206264,0.8994698682207414
weight_decay,10,9,s1_079,main_effect_weight_decay-0p0001_lr0.001_wd0.0001_do0.2_ls0.1_mw90_ep10,0.6064814814814816,0.6126155457391156,0.5562111873791412,0.5687552213868002,0.5836419753086419,0.6064814814814816,0.5666666666666667,0.5894731115340135,0.6126155457391156,0.5735722808709844,0.5271643383697228,0.5687552213868002,0.509293765815505,0.03578231672103226,0.06352891071449789,0.014858154199890028,0.4462943863041659,0.46032389907763227,0.4321814676058162,0.9001388105117163,0.924481642992786,0.8678797102162873
baseline,10,1,s1_075,main_effect_baseline-base_lr0.001_wd0.0005_do0.2_ls0.1_mw90_ep10,0.6046296296296296,0.6124108514157423,0.5382712483960195,0.5481996779388083,0.6046296296296296,0.6046296296296296,0.6046296296296296,0.6124108514157423,0.6124108514157423,0.6124108514157423,0.5481996779388083,0.5481996779388083,0.5481996779388083,0.053451675545820816,0.053451675545820816,0.053451675545820816,0.43672859151144916,0.43672859151144916,0.43672859151144916,0.8562005412000027,0.8562005412000027,0.8562005412000027
combined_regularization,15,9,s1_183,strong_combo_combined_regularization-wd0p01_do0p6_ls0p3_mw0p7_lr0.001_wd0.01_do0.6_ls0.3_mw70_ep15,0.6027777777777776,0.5991478174454797,0.5459673590478574,0.5109609061015711,0.593312757201646,0.6027777777777776,0.5712962962962964,0.5903178768846448,0.5997671010433159,0.5711488988170912,0.5042325490099677,0.5329090909090909,0.4790231507622812,0.05530465379130611,0.0807601701053546,0.0362177911400147,0.43670346930760084,0.45146559280852616,0.42820699055682887,0.6056600806261198,0.7782279449596585,0.4454950910072779
max_windows_fraction,10,5,s1_099,main_effect_max_windows_fraction-0p7_lr0.001_wd0.0005_do0.2_ls0.1_mw70_ep10,0.6027777777777776,0.6099287283794844,0.4980213880934333,0.5263157894736843,0.569074074074074,0.6027777777777776,0.537037037037037,0.5746794463101099,0.6099287283794844,0.5374546599260558,0.5107141777821547,0.53296869625043,0.4778656126482213,0.06695877877778025,0.08438127104166128,0.03781021664647302,0.4531558366931612,0.4686048434509667,0.4335952348015238,0.9526618335376297,1.0490513669102708,0.8754882691417867
combined_regularization,12,9,s1_148,strong_combo_combined_regularization-wd0p01_do0p6_ls0p3_mw0p9_lr0.0005_wd0.01_do0.6_ls0.3_mw90_ep12,0.6009259259259259,0.5862661886903373,0.5015087315078909,0.48949427043544685,0.5560699588477367,0.6009259259259259,0.5212962962962963,0.554859105711953,0.5862661886903373,0.5155104565247249,0.4920461831425874,0.5238085502703194,0.4585395763656634,0.06381020968460051,0.08450817932670097,0.04210163905329504,0.45565891412257087,0.4793612326236243,0.431768082063858,0.6378777494397171,0.8286951719240527,0.46050264428444454
weight_decay,15,9,s1_158,main_effect_weight_decay-0p02_lr0.001_wd0.02_do0.2_ls0.1_mw90_ep15,0.6,0.6081045928042832,0.512588509668492,0.5315445476436189,0.5794238683127573,0.6,0.5527777777777777,0.5821127208949641,0.6081045928042832,0.5527901178055977,0.4899500168011887,0.5315445476436189,0.4608678559142955,0.05617643201293657,0.07227265570524316,0.020859037640868168,0.4415723794075468,0.44997234570496564,0.430234186122057,0.9250410125093713,0.9446356119322203,0.9044667840695866
combined_regularization,5,9,s1_034,strong_combo_combined_regularization-wd0p005_do0p5_ls0p2_mw0p7_lr0.001_wd0.005_do0.5_ls0.2_mw70_ep5,0.5962962962962963,0.6063092277320302,0.5491806291511208,0.5322310464994541,0.5514403292181069,0.5962962962962963,0.5101851851851852,0.5558584670273302,0.6063092277320302,0.5089427538127647,0.4895231155152324,0.5322310464994541,0.4155146833754898,0.06557319434733377,0.1051343937098642,0.030429030972509208,0.4484826045585375,0.4662114417579163,0.42974583664728605,0.612647452268681,0.8001238014759743,0.45086587626110824
