config_key,model,resolved_model,source_sweep_names,extra_input,cnn_epochs,cnn_patience,window_sec,hop_sec,overlap_pct,max_windows_fraction,class_key,class_name,is_complete,n_repeats_done,overfit_stage,overfit_config_id,overfit_config_name,stage1_screen_group,stage1_regularization_factor,stage1_regularization_value,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,dynamic_data_mode,stage2_fixed_epoch,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,support_mean,support_std,support_ci95_low,support_ci95_high
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top1_s1_122|overfit_config_name=20260625_s1_122_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_122|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,20260630_0630_overfitting_sweep_generalization_rank2,0,15,0,5.0,2.5,50.0,0.9,pre_frail,Pre-Frail,True,5,fixed_reference,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,fixed_reference,20260625,s1_122,0.001,0.005,0.5,0.2,static_only,15,0.6313020313020312,0.039890882546810474,0.5817788991503137,0.6808251634537488,0.7777777777777777,0.1111111111111111,0.6398372287657906,0.9157183267897647,0.6912516469038208,0.02550617110289228,0.659586629697681,0.7229166641099606,9.0,0.0,9.0,9.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top1_s1_122|overfit_config_name=20260625_s1_122_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_122|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,20260630_0630_overfitting_sweep_generalization_rank2,0,15,0,5.0,2.5,50.0,0.9,robust_non_frail,Robust/Non-Frail,True,5,fixed_reference,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,fixed_reference,20260625,s1_122,0.001,0.005,0.5,0.2,static_only,15,0.6523626373626374,0.07153457898682541,0.563554965473581,0.7411703092516939,0.5666666666666667,0.10865337342004412,0.43177731283257875,0.7015560205007545,0.5983496503496504,0.057326656474709206,0.5271806161453637,0.669518684553937,12.0,0.0,12.0,12.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top1_s1_122|overfit_config_name=20260625_s1_122_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_122|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,20260630_0630_overfitting_sweep_generalization_rank2,0,15,0,5.0,2.5,50.0,0.9,young,Young,True,5,fixed_reference,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,fixed_reference,20260625,s1_122,0.001,0.005,0.5,0.2,static_only,15,0.5904761904761904,0.09729912734144072,0.46968273508140024,0.7112696458709805,0.525,0.055901699437494734,0.45560000000000006,0.5944,0.5542857142857143,0.0693834198992533,0.46814863098662424,0.6404227975848042,8.0,0.0,8.0,8.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top2_s1_102|overfit_config_name=20260625_s1_102_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_102|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,20260630_0630_overfitting_sweep_generalization_rank2,0,15,0,5.0,2.5,50.0,0.9,pre_frail,Pre-Frail,True,5,fixed_reference,ref_20260625_top2_s1_102,20260625_s1_102_no_early_stop_fixed_reference,fixed_reference,20260625,s1_102,0.001,0.005,0.5,0.2,static_only,15,0.6294871794871795,0.036375028100284854,0.5843288573688618,0.6746455016054972,0.7777777777777777,0.1111111111111111,0.6398372287657906,0.9157183267897647,0.6909090909090908,0.033195306515464644,0.6496982816608113,0.7321199001573703,9.0,0.0,9.0,9.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top2_s1_102|overfit_config_name=20260625_s1_102_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_102|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,20260630_0630_overfitting_sweep_generalization_rank2,0,15,0,5.0,2.5,50.0,0.9,robust_non_frail,Robust/Non-Frail,True,5,fixed_reference,ref_20260625_top2_s1_102,20260625_s1_102_no_early_stop_fixed_reference,fixed_reference,20260625,s1_102,0.001,0.005,0.5,0.2,static_only,15,0.6468864468864469,0.054798338915635875,0.5788562302917372,0.7149166634811567,0.5499999999999999,0.11180339887498945,0.4112,0.6887999999999999,0.5849115095430883,0.04404653678583006,0.5302292783462617,0.639593740739915,12.0,0.0,12.0,12.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top2_s1_102|overfit_config_name=20260625_s1_102_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_102|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,20260630_0630_overfitting_sweep_generalization_rank2,0,15,0,5.0,2.5,50.0,0.9,young,Young,True,5,fixed_reference,ref_20260625_top2_s1_102,20260625_s1_102_no_early_stop_fixed_reference,fixed_reference,20260625,s1_102,0.001,0.005,0.5,0.2,static_only,15,0.5793650793650793,0.11223917161691231,0.44002408278369165,0.718706075946467,0.525,0.055901699437494734,0.45560000000000006,0.5944,0.5484033613445378,0.07606174245486379,0.45397537472724736,0.6428313479618283,8.0,0.0,8.0,8.0
model=small_inceptiontime|resolved_model=small_inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=generalization|overfit_config_id=gen_212|overfit_config_name=generalization_small_inceptiontime_ep15_wd0-01_do0-5_ls0-3_sqitop50_quality_samplernone_wpsall_trainov30|stage1_screen_group=generalization|stage1_regularization_factor=generalization_grid|stage1_regularization_value=wd0-01_do0-5_ls0-3|cnn_lr=0p001|cnn_weight_decay=0p01|cnn_dropout=0p5|cnn_label_smoothing=0p3|dynamic_data_mode=static_only|stage2_fixed_epoch=0,small_inceptiontime,small_inception_time,20260630_0630_overfitting_sweep_generalization_rank2,0,15,0,5.0,2.5,50.0,0.9,pre_frail,Pre-Frail,True,5,generalization,gen_212,generalization_small_inceptiontime_ep15_wd0.01_do0.5_ls0.3_sqitop50_quality_samplernone_wpsall_trainov30,generalization,generalization_grid,wd0.01_do0.5_ls0.3,0.001,0.01,0.5,0.3,static_only,0,0.529478021978022,0.06352718287959729,0.45061125162565296,0.608344792330391,0.7777777777777778,0.07856742013183861,0.6802390801708065,0.8753164753847491,0.6264580819638028,0.049102816114476915,0.5654986572480125,0.6874175066795931,9.0,0.0,9.0,9.0
model=small_inceptiontime|resolved_model=small_inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=generalization|overfit_config_id=gen_212|overfit_config_name=generalization_small_inceptiontime_ep15_wd0-01_do0-5_ls0-3_sqitop50_quality_samplernone_wpsall_trainov30|stage1_screen_group=generalization|stage1_regularization_factor=generalization_grid|stage1_regularization_value=wd0-01_do0-5_ls0-3|cnn_lr=0p001|cnn_weight_decay=0p01|cnn_dropout=0p5|cnn_label_smoothing=0p3|dynamic_data_mode=static_only|stage2_fixed_epoch=0,small_inceptiontime,small_inception_time,20260630_0630_overfitting_sweep_generalization_rank2,0,15,0,5.0,2.5,50.0,0.9,robust_non_frail,Robust/Non-Frail,True,5,generalization,gen_212,generalization_small_inceptiontime_ep15_wd0.01_do0.5_ls0.3_sqitop50_quality_samplernone_wpsall_trainov30,generalization,generalization_grid,wd0.01_do0.5_ls0.3,0.001,0.01,0.5,0.3,static_only,0,0.6720451770451771,0.12742221337442428,0.5138549664224613,0.8302353876678928,0.5166666666666667,0.10865337342004414,0.38177731283257876,0.6515560205007547,0.577592162223741,0.09058533505673265,0.46513364457229656,0.6900506798751854,12.0,0.0,12.0,12.0
model=small_inceptiontime|resolved_model=small_inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=generalization|overfit_config_id=gen_212|overfit_config_name=generalization_small_inceptiontime_ep15_wd0-01_do0-5_ls0-3_sqitop50_quality_samplernone_wpsall_trainov30|stage1_screen_group=generalization|stage1_regularization_factor=generalization_grid|stage1_regularization_value=wd0-01_do0-5_ls0-3|cnn_lr=0p001|cnn_weight_decay=0p01|cnn_dropout=0p5|cnn_label_smoothing=0p3|dynamic_data_mode=static_only|stage2_fixed_epoch=0,small_inceptiontime,small_inception_time,20260630_0630_overfitting_sweep_generalization_rank2,0,15,0,5.0,2.5,50.0,0.9,young,Young,True,5,generalization,gen_212,generalization_small_inceptiontime_ep15_wd0.01_do0.5_ls0.3_sqitop50_quality_samplernone_wpsall_trainov30,generalization,generalization_grid,wd0.01_do0.5_ls0.3,0.001,0.01,0.5,0.3,static_only,0,0.5809523809523809,0.14443572274383906,0.40164049492232623,0.7602642669824355,0.45,0.11180339887498951,0.3112,0.5888,0.5066666666666666,0.12461277892416095,0.3519642704182935,0.6613690629150397,8.0,0.0,8.0,8.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=generalization|overfit_config_id=gen_080|overfit_config_name=generalization_inceptiontime_ep15_wd0-005_do0-5_ls0-2_sqitop50_quality_samplerclass_subject_balanced_wps50pct_trainov30|stage1_screen_group=generalization|stage1_regularization_factor=generalization_grid|stage1_regularization_value=wd0-005_do0-5_ls0-2|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,20260630_0630_overfitting_sweep_generalization_rank2,0,15,0,5.0,2.5,50.0,0.9,pre_frail,Pre-Frail,True,5,generalization,gen_080,generalization_inceptiontime_ep15_wd0.005_do0.5_ls0.2_sqitop50_quality_samplerclass_subject_balanced_wps50pct_trainov30,generalization,generalization_grid,wd0.005_do0.5_ls0.2,0.001,0.005,0.5,0.2,static_only,0,0.576046176046176,0.03548434145613693,0.531993610170081,0.6200987419222711,0.6666666666666667,0.17568209223157663,0.4485635083806828,0.8847698249526507,0.6102415458937198,0.08746456526045357,0.5016573545336243,0.7188257372538154,9.0,0.0,9.0,9.0
