rank,config_key,model,resolved_model,extra_input,overfit_config_id,overfit_config_name,stage1_regularization_factor,stage1_regularization_value,cnn_epochs,window_sec,overlap_pct,cnn_patience,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,max_windows_fraction,dynamic_data_mode,n_matrices,true_class,pred_class,count,row_normalized
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top1_s1_122|overfit_config_name=20260625_s1_122_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_122|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,0,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,20260625,s1_122,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Pre-Frail,Pre-Frail,35,0.7777777777777778
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top1_s1_122|overfit_config_name=20260625_s1_122_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_122|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,0,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,20260625,s1_122,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Pre-Frail,Robust/Non-Frail,7,0.15555555555555556
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top1_s1_122|overfit_config_name=20260625_s1_122_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_122|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,0,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,20260625,s1_122,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Pre-Frail,Young,3,0.06666666666666667
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top1_s1_122|overfit_config_name=20260625_s1_122_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_122|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,0,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,20260625,s1_122,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Robust/Non-Frail,Pre-Frail,14,0.23333333333333334
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top1_s1_122|overfit_config_name=20260625_s1_122_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_122|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,0,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,20260625,s1_122,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Robust/Non-Frail,Robust/Non-Frail,34,0.5666666666666667
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top1_s1_122|overfit_config_name=20260625_s1_122_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_122|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,0,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,20260625,s1_122,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Robust/Non-Frail,Young,12,0.2
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top1_s1_122|overfit_config_name=20260625_s1_122_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_122|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,0,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,20260625,s1_122,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Young,Pre-Frail,7,0.175
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top1_s1_122|overfit_config_name=20260625_s1_122_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_122|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,0,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,20260625,s1_122,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Young,Robust/Non-Frail,12,0.3
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top1_s1_122|overfit_config_name=20260625_s1_122_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_122|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,0,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,20260625,s1_122,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Young,Young,21,0.525
2,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=fixed_reference|overfit_config_id=ref_20260625_top2_s1_102|overfit_config_name=20260625_s1_102_no_early_stop_fixed_reference|stage1_screen_group=fixed_reference|stage1_regularization_factor=20260625|stage1_regularization_value=s1_102|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=15,inceptiontime,inception_time,0,ref_20260625_top2_s1_102,20260625_s1_102_no_early_stop_fixed_reference,20260625,s1_102,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Pre-Frail,Pre-Frail,35,0.7777777777777778
