config_key,model,resolved_model,source_sweep_names,extra_input,cnn_epochs,cnn_patience,window_sec,hop_sec,overlap_pct,max_windows_fraction,class_key,class_name,is_complete,n_repeats_done,overfit_stage,overfit_config_id,overfit_config_name,stage1_screen_group,stage1_regularization_factor,stage1_regularization_value,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,dynamic_data_mode,stage2_fixed_epoch,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,support_mean,support_std,support_ci95_low,support_ci95_high
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_122|overfit_config_name=quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top50_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,20260625_2320_overfitting_sweep_stage1_rank2,0,15,0,5.0,2.5,50.0,0.9,pre_frail,Pre-Frail,True,5,stage1,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,quality_combo,sqi_aggregation,top50_quality_quality_weighted_mean,0.001,0.005,0.5,0.2,static_only,0,0.6439393939393938,0.0363320569947933,0.5988344189420245,0.6890443689367631,0.7555555555555554,0.09296222517045283,0.6401462121590614,0.8709648989520494,0.6923809523809522,0.041458664494626506,0.6409114739057192,0.7438504308561852,9.0,0.0,9.0,9.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_122|overfit_config_name=quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top50_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,20260625_2320_overfitting_sweep_stage1_rank2,0,15,0,5.0,2.5,50.0,0.9,robust_non_frail,Robust/Non-Frail,True,5,stage1,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,quality_combo,sqi_aggregation,top50_quality_quality_weighted_mean,0.001,0.005,0.5,0.2,static_only,0,0.6342857142857143,0.07718106049914862,0.5384681335584949,0.7301032950129338,0.6,0.06972166887783961,0.5134429924526295,0.6865570075473705,0.6104266104266103,0.028323751869571208,0.5752636654798988,0.6455895553733217,12.0,0.0,12.0,12.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_122|overfit_config_name=quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top50_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,20260625_2320_overfitting_sweep_stage1_rank2,0,15,0,5.0,2.5,50.0,0.9,young,Young,True,5,stage1,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,quality_combo,sqi_aggregation,top50_quality_quality_weighted_mean,0.001,0.005,0.5,0.2,static_only,0,0.5561904761904761,0.13029706160554252,0.39443124227782106,0.7179497101031311,0.475,0.13693063937629152,0.30500541185084745,0.6449945881491526,0.5091575091575091,0.13175997803294162,0.3455821157884673,0.6727329025265509,8.0,0.0,8.0,8.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_102|overfit_config_name=main_effect_sqi_mode-top50_quality_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=main_effect|stage1_regularization_factor=sqi_mode|stage1_regularization_value=top50_quality|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,20260625_2320_overfitting_sweep_stage1_rank2,0,15,0,5.0,2.5,50.0,0.9,pre_frail,Pre-Frail,True,5,stage1,s1_102,main_effect_sqi_mode-top50_quality_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,main_effect,sqi_mode,top50_quality,0.001,0.005,0.5,0.2,static_only,0,0.6142857142857143,0.04806340294806271,0.5546166845753532,0.6739547439960755,0.7555555555555554,0.09296222517045283,0.6401462121590614,0.8709648989520494,0.6724637681159419,0.012962712913042268,0.6563710144927535,0.6885565217391303,9.0,0.0,9.0,9.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_102|overfit_config_name=main_effect_sqi_mode-top50_quality_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=main_effect|stage1_regularization_factor=sqi_mode|stage1_regularization_value=top50_quality|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,20260625_2320_overfitting_sweep_stage1_rank2,0,15,0,5.0,2.5,50.0,0.9,robust_non_frail,Robust/Non-Frail,True,5,stage1,s1_102,main_effect_sqi_mode-top50_quality_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,main_effect,sqi_mode,top50_quality,0.001,0.005,0.5,0.2,static_only,0,0.6378205128205128,0.026623794432429692,0.604768005433388,0.6708730202076375,0.55,0.11180339887498945,0.4112000000000001,0.6888,0.5845714285714285,0.05840044730049557,0.5120693207028447,0.6570735364400123,12.0,0.0,12.0,12.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_102|overfit_config_name=main_effect_sqi_mode-top50_quality_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=main_effect|stage1_regularization_factor=sqi_mode|stage1_regularization_value=top50_quality|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,20260625_2320_overfitting_sweep_stage1_rank2,0,15,0,5.0,2.5,50.0,0.9,young,Young,True,5,stage1,s1_102,main_effect_sqi_mode-top50_quality_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,main_effect,sqi_mode,top50_quality,0.001,0.005,0.5,0.2,static_only,0,0.5714285714285714,0.08748177652797065,0.46282301288326133,0.6800341299738815,0.525,0.055901699437494734,0.45560000000000006,0.5944,0.5466666666666666,0.06912147117775906,0.46085478352167975,0.6324785498116535,8.0,0.0,8.0,8.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_121|overfit_config_name=quality_combo_sqi_aggregation-top70_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop70_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top70_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,20260625_2320_overfitting_sweep_stage1_rank2,0,15,0,5.0,2.5,50.0,0.9,pre_frail,Pre-Frail,True,5,stage1,s1_121,quality_combo_sqi_aggregation-top70_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop70_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,quality_combo,sqi_aggregation,top70_quality_quality_weighted_mean,0.001,0.005,0.5,0.2,static_only,0,0.5465934065934066,0.09982338712974666,0.42266617116918626,0.670520642017627,0.711111111111111,0.12668615834434865,0.5538346870029602,0.8683875352192618,0.6155897649261494,0.0995428336276042,0.4920108268389439,0.7391687030133548,9.0,0.0,9.0,9.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_121|overfit_config_name=quality_combo_sqi_aggregation-top70_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop70_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top70_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,20260625_2320_overfitting_sweep_stage1_rank2,0,15,0,5.0,2.5,50.0,0.9,robust_non_frail,Robust/Non-Frail,True,5,stage1,s1_121,quality_combo_sqi_aggregation-top70_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop70_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,quality_combo,sqi_aggregation,top70_quality_quality_weighted_mean,0.001,0.005,0.5,0.2,static_only,0,0.6392940392940394,0.11900165379921432,0.4915576581684571,0.7870304204196217,0.5666666666666667,0.12360330811826105,0.4132174930328902,0.7201158403004431,0.5876596060943887,0.06620983719254321,0.5054624144633856,0.6698567977253919,12.0,0.0,12.0,12.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_121|overfit_config_name=quality_combo_sqi_aggregation-top70_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop70_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top70_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,20260625_2320_overfitting_sweep_stage1_rank2,0,15,0,5.0,2.5,50.0,0.9,young,Young,True,5,stage1,s1_121,quality_combo_sqi_aggregation-top70_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop70_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,quality_combo,sqi_aggregation,top70_quality_quality_weighted_mean,0.001,0.005,0.5,0.2,static_only,0,0.653968253968254,0.17354658664884584,0.43851625099477043,0.8694202569417375,0.5,0.15309310892394862,0.3099402725457074,0.6900597274542926,0.5586726998491705,0.14314353270709834,0.3809650224469783,0.7363803772513626,8.0,0.0,8.0,8.0
model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=10|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_055|overfit_config_name=main_effect_label_smoothing-0p3_lr0-001_wd0-005_do0-5_ls0-3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10|stage1_screen_group=main_effect|stage1_regularization_factor=label_smoothing|stage1_regularization_value=0-3|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p3|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,20260625_2320_overfitting_sweep_stage1_rank2,0,10,0,5.0,2.5,50.0,0.9,pre_frail,Pre-Frail,True,5,stage1,s1_055,main_effect_label_smoothing-0p3_lr0.001_wd0.005_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,main_effect,label_smoothing,0.3,0.001,0.005,0.5,0.3,static_only,0,0.5900000000000001,0.10246950765959599,0.46278769870802594,0.7172123012919742,0.6888888888888889,0.049690399499995354,0.6272,0.7505777777777778,0.6298328942561007,0.0491107561971367,0.5688636122060587,0.6908021763061426,9.0,0.0,9.0,9.0
