stage1_regularization_factor,n_configs,best_overfit_config_id,best_overfit_config_name,best_subject_balanced_accuracy_mean,best_subject_macro_f1_mean,best_subject_balanced_accuracy_ci95_low,best_worst_class_f1_mean,subject_balanced_accuracy_mean_mean_across_configs,subject_balanced_accuracy_mean_max_across_configs,subject_balanced_accuracy_mean_min_across_configs,subject_macro_f1_mean_mean_across_configs,subject_macro_f1_mean_max_across_configs,subject_macro_f1_mean_min_across_configs,worst_class_f1_mean_mean_across_configs,worst_class_f1_mean_max_across_configs,worst_class_f1_mean_min_across_configs,subject_balanced_accuracy_std_mean_across_configs,subject_balanced_accuracy_std_max_across_configs,subject_balanced_accuracy_std_min_across_configs,train_val_balanced_accuracy_gap_mean_mean_across_configs,train_val_balanced_accuracy_gap_mean_max_across_configs,train_val_balanced_accuracy_gap_mean_min_across_configs,val_train_loss_gap_mean_mean_across_configs,val_train_loss_gap_mean_max_across_configs,val_train_loss_gap_mean_min_across_configs
sqi_mode,6,s1_102,main_effect_sqi_mode-top50_quality_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.6101851851851852,0.6012339544513459,0.5843532826627486,0.5466666666666666,0.5544753086419753,0.6101851851851852,0.5249999999999999,0.5456526250873254,0.6012339544513459,0.5185358490987781,0.4923823010420129,0.5466666666666666,0.41784098254686486,0.07370129044238416,0.13380350486796674,0.020807597272448363,0.47976813795087425,0.49140805548051397,0.46147295720810055,0.6368747556746747,0.6642660619800618,0.6053767137158272
sqi_aggregation,6,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.6101851851851852,0.6039883573216906,0.5338923664942137,0.5091575091575091,0.5669753086419753,0.6101851851851852,0.5203703703703704,0.5592666383250954,0.6039883573216906,0.5161663753820616,0.5103007991320685,0.5586726998491705,0.44729153199741434,0.07546260038182105,0.09468696168589369,0.05473937501428688,0.48127900671093005,0.49204030043871383,0.463348840569629,0.6375042231267624,0.6655982761106285,0.6057948571192145
label_smoothing,12,s1_055,main_effect_label_smoothing-0p3_lr0.001_wd0.005_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5796296296296297,0.5668447201034359,0.5128000000000001,0.5329436902966315,0.548148148148148,0.5796296296296297,0.5129629629629628,0.5366418966430969,0.5668447201034359,0.5061829232074218,0.4888131464836943,0.5383942007649101,0.46284729762990623,0.05147889208901524,0.07469358990645622,0.026474034176844047,0.4772655545736692,0.48966802545597077,0.46983380793460805,0.8421691524220165,1.220683310841105,0.4617338466364992
combined_regularization,36,s1_075,focused_combo_combined_regularization-wd0p01_do0p5_ls0p3_mw0p9_lr0.001_wd0.01_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5796296296296296,0.5686845507433743,0.5101344959317816,0.5243589743589744,0.5375771604938272,0.5796296296296296,0.4898148148148148,0.526372208041241,0.5686845507433743,0.4890264955946961,0.4745611159394717,0.5243589743589744,0.4162637362637362,0.05935976792497735,0.09191884504319058,0.029716308399780032,0.47816678596988754,0.4999570404481496,0.4653953425542796,0.6269535571332259,0.8033985850329032,0.45095963352107277
aggregation,3,s1_061,main_effect_aggregation-quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5777777777777777,0.5755028513312267,0.5066383952803699,0.5459523809523809,0.5589506172839506,0.5777777777777777,0.5407407407407407,0.5527913983751019,0.5755028513312267,0.5315718305764072,0.52311717268239,0.5459523809523809,0.4997985347985348,0.05536327559339831,0.06745610267982959,0.0413309520753068,0.47850945944325646,0.4888911691270512,0.47265087609105316,0.6526961788856178,0.6652106328385805,0.6437679447768272
max_windows_fraction,9,s1_099,main_effect_max_windows_fraction-0p7_lr0.001_wd0.005_do0.5_ls0.2_mw70_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5731481481481481,0.5627801200409895,0.5030613544157142,0.5101946169772257,0.5405349794238683,0.5731481481481481,0.5148148148148148,0.5280389924979296,0.5627801200409895,0.4987247828424298,0.4810745750795107,0.5221155655938265,0.4428370391218689,0.06393552351162585,0.10166228149484938,0.024366106235075517,0.4728771004007364,0.49453424237720134,0.4597267933431152,0.6355628676190177,0.6599499165086546,0.6080072796740795
loss_type,6,s1_065,main_effect_loss_type-focal_loss_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossfocal_loss_cwinverse_subject_count_ep10,0.5703703703703703,0.5704112212899398,0.5442207203243207,0.5057142857142857,0.545216049382716,0.5703703703703703,0.524074074074074,0.5347534429412654,0.5704112212899398,0.5111608731974864,0.47434848620068704,0.5057142857142857,0.42596876807403117,0.05736262249082299,0.088485291299775,0.02106354290014322,0.48548028270528154,0.5027775148925931,0.46967749267696934,1.0498150284247603,1.515606682272483,0.6307664375816329
weight_decay,12,s1_003,main_effect_weight_decay-0p002_lr0.001_wd0.002_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5703703703703703,0.5607222572823596,0.47153637076123783,0.49863354037267077,0.5466820987654322,0.5703703703703703,0.5194444444444445,0.5378161735276047,0.5607222572823596,0.5121779987958478,0.48061076380432954,0.5142857142857142,0.439047619047619,0.07654709773202299,0.12600759878669632,0.048401222365500464,0.4806267737991751,0.49130034456922883,0.47186543903823663,0.6558537516680097,0.6691327189118853,0.6419659708588936
dropout,12,s1_090,main_effect_dropout-0p3_lr0.001_wd0.005_do0.3_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5694444444444444,0.5469259559184179,0.5104098018516151,0.45373433583959893,0.5374228395061729,0.5694444444444444,0.4722222222222222,0.5268556652857521,0.5525769470056723,0.4646188485343671,0.4730456606118539,0.5199999999999999,0.42381954887218043,0.059224240096915716,0.09714503108482636,0.03936546605459503,0.47828628473676943,0.49668881724319014,0.46653253310778153,0.6488793896351889,0.6729117838988661,0.6098926680714063
baseline,3,s1_043,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5574074074074074,0.5469441359389761,0.48362389729245414,0.48258212375859444,0.5253086419753087,0.5574074074074074,0.4888888888888888,0.5174340539573785,0.5469441359389761,0.48057234411772926,0.45829553396305317,0.48732279314888016,0.40498168498168496,0.06107128975202416,0.06933633560293082,0.05444491685358161,0.47918692300296106,0.48722357410726264,0.4721298267563664,0.6513310415002881,0.6559206255430932,0.6462342003858187
