stage1_regularization_factor,stage1_regularization_value,n_configs,best_overfit_config_id,best_overfit_config_name,best_subject_balanced_accuracy_mean,best_subject_macro_f1_mean,best_subject_balanced_accuracy_ci95_low,best_worst_class_f1_mean,subject_balanced_accuracy_mean_mean_across_configs,subject_balanced_accuracy_mean_max_across_configs,subject_balanced_accuracy_mean_min_across_configs,subject_macro_f1_mean_mean_across_configs,subject_macro_f1_mean_max_across_configs,subject_macro_f1_mean_min_across_configs,worst_class_f1_mean_mean_across_configs,worst_class_f1_mean_max_across_configs,worst_class_f1_mean_min_across_configs,subject_balanced_accuracy_std_mean_across_configs,subject_balanced_accuracy_std_max_across_configs,subject_balanced_accuracy_std_min_across_configs,train_val_balanced_accuracy_gap_mean_mean_across_configs,train_val_balanced_accuracy_gap_mean_max_across_configs,train_val_balanced_accuracy_gap_mean_min_across_configs,val_train_loss_gap_mean_mean_across_configs,val_train_loss_gap_mean_max_across_configs,val_train_loss_gap_mean_min_across_configs
sqi_mode,top50_quality,3,s1_102,main_effect_sqi_mode-top50_quality_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.6101851851851852,0.6012339544513459,0.5843532826627486,0.5466666666666666,0.5645061728395061,0.6101851851851852,0.5305555555555556,0.5558418421611913,0.6012339544513459,0.5283278045961224,0.4830974460695822,0.5466666666666666,0.41784098254686486,0.04772785138710219,0.06793104003527659,0.020807597272448363,0.48027204887220915,0.49140805548051397,0.46147295720810055,0.6299675632053815,0.6439629221382261,0.6053767137158272
sqi_aggregation,top50_quality_quality_weighted_mean,3,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.6101851851851852,0.6039883573216906,0.5338923664942137,0.5091575091575091,0.5601851851851852,0.6101851851851852,0.5203703703703704,0.5526414214630065,0.6039883573216906,0.5161663753820616,0.481690462511569,0.5091575091575091,0.44729153199741434,0.06188951387926747,0.0694753017863114,0.05473937501428688,0.48145117019220823,0.49204030043871383,0.463348840569629,0.6295414694755675,0.6454130568732739,0.6057948571192145
sqi_aggregation,top70_quality_quality_weighted_mean,3,s1_121,quality_combo_sqi_aggregation-top70_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop70_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5925925925925926,0.5873073569565694,0.49018018564209803,0.5586726998491705,0.5737654320987654,0.5925925925925926,0.562037037037037,0.5658918551871842,0.5873073569565694,0.5525338606642954,0.538911135752568,0.5586726998491705,0.5262820512820513,0.08903568688437462,0.09468696168589369,0.08249319296854385,0.4811068432296519,0.4850733952184195,0.4784774919512726,0.6454669767779572,0.6655982761106285,0.6333660336372205
label_smoothing,0.3,3,s1_055,main_effect_label_smoothing-0p3_lr0.001_wd0.005_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5796296296296297,0.5668447201034359,0.5128000000000001,0.5329436902966315,0.5540123456790124,0.5796296296296297,0.5324074074074073,0.5393772292744339,0.5668447201034359,0.516269015828849,0.4912787002361642,0.5329436902966315,0.46284729762990623,0.06427743756509313,0.07175179172614585,0.053831266124994934,0.47563910902886636,0.4787103218758742,0.47375449364102823,0.4675526965417654,0.4724680866711674,0.4617338466364992
combined_regularization,wd0.01_do0.5_ls0.3_mw0.9,3,s1_075,focused_combo_combined_regularization-wd0p01_do0p5_ls0p3_mw0p9_lr0.001_wd0.01_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5796296296296296,0.5686845507433743,0.5101344959317816,0.5243589743589744,0.5574074074074074,0.5796296296296296,0.5194444444444444,0.5441425519502426,0.5686845507433743,0.5082292328900218,0.4826560209855404,0.5243589743589744,0.4505096733929686,0.05198306201231375,0.05673893962908718,0.04323191677751388,0.47790188569721,0.48374126862091843,0.4695129023452635,0.4723665031014363,0.48037874843321254,0.46085250881624046
aggregation,quality_weighted_mean,3,s1_061,main_effect_aggregation-quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5777777777777777,0.5755028513312267,0.5066383952803699,0.5459523809523809,0.5589506172839506,0.5777777777777777,0.5407407407407407,0.5527913983751019,0.5755028513312267,0.5315718305764072,0.52311717268239,0.5459523809523809,0.4997985347985348,0.05536327559339831,0.06745610267982959,0.0413309520753068,0.47850945944325646,0.4888911691270512,0.47265087609105316,0.6526961788856178,0.6652106328385805,0.6437679447768272
label_smoothing,0.15,3,s1_054,main_effect_label_smoothing-0p15_lr0.001_wd0.005_do0.5_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.575,0.5633248081841432,0.5002380039767348,0.5095238095238095,0.5589506172839506,0.575,0.5398148148148147,0.5482187017285506,0.5633248081841432,0.5252282048876477,0.5065484685667752,0.5383942007649101,0.47172739541160597,0.05396986742165193,0.060220787190774484,0.0488420440551961,0.4766720662181701,0.4853659984915549,0.46983380793460805,0.7684174466331705,0.7778614894668987,0.7576181754893158
max_windows_fraction,0.7,3,s1_099,main_effect_max_windows_fraction-0p7_lr0.001_wd0.005_do0.5_ls0.2_mw70_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5731481481481481,0.5627801200409895,0.5030613544157142,0.5101946169772257,0.5564814814814815,0.5731481481481481,0.5305555555555556,0.545448299829374,0.5627801200409895,0.5206434826895185,0.4945586223949395,0.5101946169772257,0.47600225861095413,0.07870420600258511,0.09052080299596496,0.05645491178340359,0.46972099244482335,0.4740703001033695,0.4671632421761037,0.6320439139383606,0.6333710672888522,0.6313662442734782
combined_regularization,wd0.005_do0.4_ls0.15_mw0.9,3,s1_067,focused_combo_combined_regularization-wd0p005_do0p4_ls0p15_mw0p9_lr0.001_wd0.005_do0.4_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5722222222222222,0.554863683078113,0.5156740740740741,0.48774109186008496,0.5450617283950617,0.5722222222222222,0.5185185185185184,0.5331553714356992,0.554863683078113,0.5008269998150198,0.4878909717567231,0.5184411401802707,0.4574906832298137,0.04150753919009136,0.04554953287499571,0.036541828260502084,0.4829406105959107,0.4867032285795726,0.4784865094527676,0.7817322411956741,0.7922402497464108,0.767333693394124
loss_type,focal_loss,3,s1_065,main_effect_loss_type-focal_loss_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossfocal_loss_cwinverse_subject_count_ep10,0.5703703703703703,0.5704112212899398,0.5442207203243207,0.5057142857142857,0.5438271604938271,0.5703703703703703,0.524074074074074,0.5366230529481751,0.5704112212899398,0.5133064833293666,0.4731973188266094,0.5057142857142857,0.42596876807403117,0.05253258134142904,0.08673608331108885,0.02106354290014322,0.4943229538538321,0.5027775148925931,0.488498495081182,1.4536811815642396,1.515606682272483,1.3365673367894284
weight_decay,0.002,3,s1_003,main_effect_weight_decay-0p002_lr0.001_wd0.002_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5703703703703703,0.5607222572823596,0.47153637076123783,0.49863354037267077,0.5530864197530864,0.5703703703703703,0.5351851851851852,0.5443414787148653,0.5607222572823596,0.5228845028380632,0.4838761948480618,0.49863354037267077,0.46609028226675286,0.09630866462303818,0.12600759878669632,0.07961078588408065,0.4831579187256456,0.48625439635034723,0.47900066444415385,0.6558555246903426,0.6630740459901654,0.6503488274089131
dropout,0.3,3,s1_090,main_effect_dropout-0p3_lr0.001_wd0.005_do0.3_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5694444444444444,0.5469259559184179,0.5104098018516151,0.45373433583959893,0.5527777777777778,0.5694444444444444,0.5342592592592592,0.5430409754516633,0.5469259559184179,0.5362229849987287,0.49458617558388723,0.5199999999999999,0.45373433583959893,0.06905618273164078,0.08515246956314496,0.047552404130032706,0.4788871066634352,0.48622018271041795,0.4674081997910985,0.6667001395699418,0.6729117838988661,0.6594291407171814
combined_regularization,wd0.01_do0.5_ls0.15_mw0.9,3,s1_074,focused_combo_combined_regularization-wd0p01_do0p5_ls0p15_mw0p9_lr0.001_wd0.01_do0.5_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5675925925925925,0.5576793692091847,0.47548865059396117,0.49598155467720684,0.5401234567901234,0.5675925925925925,0.5083333333333333,0.5325161280342328,0.5576793692091847,0.5055102644821314,0.4833043928696103,0.49598155467720684,0.4639316239316239,0.07367844998708939,0.0840121529192916,0.06283347250860573,0.4766787925134622,0.4827624254349933,0.47186582392266346,0.7604099067657963,0.7655467111071046,0.7549764292301526
weight_decay,0.001,3,s1_002,main_effect_weight_decay-0p001_lr0.001_wd0.001_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5657407407407408,0.5589990504851187,0.492316276601352,0.505772297877561,0.5549382716049384,0.5657407407407408,0.5462962962962963,0.5465907086581322,0.5589990504851187,0.5391563420335349,0.4850564399480808,0.5103494029190624,0.439047619047619,0.07385846861720015,0.0849634796070701,0.059143405269153015,0.4783125304846248,0.48930463637469235,0.47186543903823663,0.6556500685007186,0.6691327189118853,0.6420053656556657
combined_regularization,wd0.005_do0.4_ls0.3_mw0.9,3,s1_068,focused_combo_combined_regularization-wd0p005_do0p4_ls0p3_mw0p9_lr0.001_wd0.005_do0.4_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5657407407407407,0.5487017156676599,0.5288489856832641,0.506641604010025,0.5290123456790122,0.5657407407407407,0.5018518518518518,0.5171568102922703,0.5487017156676599,0.49959816256491446,0.4734805969171294,0.506641604010025,0.4368253968253969,0.04534632791013762,0.0701048841906181,0.029716308399780032,0.4775231957027641,0.48883558888355444,0.47086637206961096,0.47371439154706757,0.4784268203709514,0.4686043756247498
