cnn_weight_decay,cnn_dropout,cnn_label_smoothing,max_windows_fraction,cnn_epochs,n_configs,best_overfit_config_id,best_overfit_config_name,best_subject_balanced_accuracy_mean,best_subject_macro_f1_mean,best_subject_balanced_accuracy_ci95_low,best_worst_class_f1_mean,subject_balanced_accuracy_mean_mean_across_configs,subject_balanced_accuracy_mean_max_across_configs,subject_balanced_accuracy_mean_min_across_configs,subject_macro_f1_mean_mean_across_configs,subject_macro_f1_mean_max_across_configs,subject_macro_f1_mean_min_across_configs,worst_class_f1_mean_mean_across_configs,worst_class_f1_mean_max_across_configs,worst_class_f1_mean_min_across_configs,subject_balanced_accuracy_std_mean_across_configs,subject_balanced_accuracy_std_max_across_configs,subject_balanced_accuracy_std_min_across_configs,train_val_balanced_accuracy_gap_mean_mean_across_configs,train_val_balanced_accuracy_gap_mean_max_across_configs,train_val_balanced_accuracy_gap_mean_min_across_configs,val_train_loss_gap_mean_mean_across_configs,val_train_loss_gap_mean_max_across_configs,val_train_loss_gap_mean_min_across_configs
0.005,0.5,0.2,0.9,15,15,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.6101851851851852,0.6039883573216906,0.5338923664942137,0.5091575091575091,0.49567901234567907,0.6101851851851852,0.3851851851851852,0.4834795993415458,0.6039883573216906,0.376538072557456,0.4059474977672852,0.5586726998491705,0.2176470588235294,0.059345967337140725,0.088485291299775,0.020807597272448363,0.515002432941383,0.5875737933190889,0.46147295720810055,1.0773411875318673,2.9922540893950123,0.6053767137158272
0.005,0.5,0.3,0.9,10,1,s1_055,main_effect_label_smoothing-0p3_lr0.001_wd0.005_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5796296296296297,0.5668447201034359,0.5128000000000001,0.5329436902966315,0.5796296296296297,0.5796296296296297,0.5796296296296297,0.5668447201034359,0.5668447201034359,0.5668447201034359,0.5329436902966315,0.5329436902966315,0.5329436902966315,0.053831266124994934,0.053831266124994934,0.053831266124994934,0.4744525115696967,0.4744525115696967,0.4744525115696967,0.46845615631762955,0.46845615631762955,0.46845615631762955
0.01,0.5,0.3,0.9,10,1,s1_075,focused_combo_combined_regularization-wd0p01_do0p5_ls0p3_mw0p9_lr0.001_wd0.01_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5796296296296296,0.5686845507433743,0.5101344959317816,0.5243589743589744,0.5796296296296296,0.5796296296296296,0.5796296296296296,0.5686845507433743,0.5686845507433743,0.5686845507433743,0.5243589743589744,0.5243589743589744,0.5243589743589744,0.05597832963034018,0.05597832963034018,0.05597832963034018,0.480451486125448,0.480451486125448,0.480451486125448,0.48037874843321254,0.48037874843321254,0.48037874843321254
0.005,0.5,0.2,0.9,10,15,s1_061,main_effect_aggregation-quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5777777777777777,0.5755028513312267,0.5066383952803699,0.5459523809523809,0.5055555555555556,0.5777777777777777,0.39537037037037037,0.4942015020606097,0.5755028513312267,0.3731709644308917,0.4209850575333144,0.5459523809523809,0.2549019607843137,0.05822214002694169,0.08992690599868636,0.02106354290014322,0.5154764672659733,0.5834782016449201,0.47398633311166494,1.0106282288700457,2.575033246604882,0.6357619923640023
0.005,0.5,0.15,0.9,10,1,s1_054,main_effect_label_smoothing-0p15_lr0.001_wd0.005_do0.5_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.575,0.5633248081841432,0.5002380039767348,0.5095238095238095,0.575,0.575,0.575,0.5633248081841432,0.5633248081841432,0.5633248081841432,0.5095238095238095,0.5095238095238095,0.5095238095238095,0.060220787190774484,0.060220787190774484,0.060220787190774484,0.47481639222834754,0.47481639222834754,0.47481639222834754,0.7778614894668987,0.7778614894668987,0.7778614894668987
0.01,0.5,0.3,0.9,9,1,s1_033,focused_combo_combined_regularization-wd0p01_do0p5_ls0p3_mw0p9_lr0.001_wd0.01_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5731481481481482,0.5555138722173317,0.519477239131971,0.4730994152046783,0.5731481481481482,0.5731481481481482,0.5731481481481482,0.5555138722173317,0.5555138722173317,0.5555138722173317,0.4730994152046783,0.4730994152046783,0.4730994152046783,0.04323191677751388,0.04323191677751388,0.04323191677751388,0.4695129023452635,0.4695129023452635,0.4695129023452635,0.46085250881624046,0.46085250881624046,0.46085250881624046
0.005,0.5,0.2,0.7,15,1,s1_099,main_effect_max_windows_fraction-0p7_lr0.001_wd0.005_do0.5_ls0.2_mw70_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5731481481481481,0.5627801200409895,0.5030613544157142,0.5101946169772257,0.5731481481481481,0.5731481481481481,0.5731481481481481,0.5627801200409895,0.5627801200409895,0.5627801200409895,0.5101946169772257,0.5101946169772257,0.5101946169772257,0.05645491178340359,0.05645491178340359,0.05645491178340359,0.4671632421761037,0.4671632421761037,0.4671632421761037,0.6313944302527512,0.6313944302527512,0.6313944302527512
0.005,0.4,0.15,0.9,10,1,s1_067,focused_combo_combined_regularization-wd0p005_do0p4_ls0p15_mw0p9_lr0.001_wd0.005_do0.4_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,0.5722222222222222,0.554863683078113,0.5156740740740741,0.48774109186008496,0.5722222222222222,0.5722222222222222,0.5722222222222222,0.554863683078113,0.554863683078113,0.554863683078113,0.48774109186008496,0.48774109186008496,0.48774109186008496,0.04554953287499571,0.04554953287499571,0.04554953287499571,0.4784865094527676,0.4784865094527676,0.4784865094527676,0.7856227804464877,0.7856227804464877,0.7856227804464877
0.002,0.5,0.2,0.9,9,1,s1_003,main_effect_weight_decay-0p002_lr0.001_wd0.002_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,0.5703703703703703,0.5607222572823596,0.47153637076123783,0.49863354037267077,0.5703703703703703,0.5703703703703703,0.5703703703703703,0.5607222572823596,0.5607222572823596,0.5607222572823596,0.49863354037267077,0.49863354037267077,0.49863354037267077,0.07961078588408065,0.07961078588408065,0.07961078588408065,0.4842186953824358,0.4842186953824358,0.4842186953824358,0.6630740459901654,0.6630740459901654,0.6630740459901654
0.005,0.3,0.2,0.9,15,1,s1_090,main_effect_dropout-0p3_lr0.001_wd0.005_do0.3_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,0.5694444444444444,0.5469259559184179,0.5104098018516151,0.45373433583959893,0.5694444444444444,0.5694444444444444,0.5694444444444444,0.5469259559184179,0.5469259559184179,0.5469259559184179,0.45373433583959893,0.45373433583959893,0.45373433583959893,0.047552404130032706,0.047552404130032706,0.047552404130032706,0.4674081997910985,0.4674081997910985,0.4674081997910985,0.6729117838988661,0.6729117838988661,0.6729117838988661
