rank,config_key,model,resolved_model,extra_input,overfit_config_id,overfit_config_name,stage1_regularization_factor,stage1_regularization_value,cnn_epochs,window_sec,overlap_pct,cnn_patience,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,max_windows_fraction,dynamic_data_mode,n_matrices,true_class,pred_class,count,row_normalized
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_122|overfit_config_name=quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top50_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,0,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,sqi_aggregation,top50_quality_quality_weighted_mean,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Pre-Frail,Pre-Frail,34,0.7555555555555555
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_122|overfit_config_name=quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top50_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,0,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,sqi_aggregation,top50_quality_quality_weighted_mean,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Pre-Frail,Robust/Non-Frail,8,0.17777777777777778
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_122|overfit_config_name=quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top50_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,0,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,sqi_aggregation,top50_quality_quality_weighted_mean,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Pre-Frail,Young,3,0.06666666666666667
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_122|overfit_config_name=quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top50_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,0,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,sqi_aggregation,top50_quality_quality_weighted_mean,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Robust/Non-Frail,Pre-Frail,12,0.2
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_122|overfit_config_name=quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top50_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,0,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,sqi_aggregation,top50_quality_quality_weighted_mean,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Robust/Non-Frail,Robust/Non-Frail,36,0.6
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_122|overfit_config_name=quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top50_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,0,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,sqi_aggregation,top50_quality_quality_weighted_mean,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Robust/Non-Frail,Young,12,0.2
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_122|overfit_config_name=quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top50_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,0,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,sqi_aggregation,top50_quality_quality_weighted_mean,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Young,Pre-Frail,7,0.175
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_122|overfit_config_name=quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top50_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,0,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,sqi_aggregation,top50_quality_quality_weighted_mean,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Young,Robust/Non-Frail,14,0.35
1,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_122|overfit_config_name=quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=quality_combo|stage1_regularization_factor=sqi_aggregation|stage1_regularization_value=top50_quality_quality_weighted_mean|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,0,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,sqi_aggregation,top50_quality_quality_weighted_mean,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Young,Young,19,0.475
2,model=inceptiontime|resolved_model=inception_time|extra_input=0|cnn_epochs=15|cnn_patience=0|window_sec=5|hop_sec=2p5|overlap_pct=50|max_windows_fraction=0p9|overfit_stage=stage1|overfit_config_id=s1_102|overfit_config_name=main_effect_sqi_mode-top50_quality_lr0-001_wd0-005_do0-5_ls0-2_mw90_sqitop50_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15|stage1_screen_group=main_effect|stage1_regularization_factor=sqi_mode|stage1_regularization_value=top50_quality|cnn_lr=0p001|cnn_weight_decay=0p005|cnn_dropout=0p5|cnn_label_smoothing=0p2|dynamic_data_mode=static_only|stage2_fixed_epoch=0,inceptiontime,inception_time,0,s1_102,main_effect_sqi_mode-top50_quality_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,sqi_mode,top50_quality,15,5.0,50.0,0,0.001,0.005,0.5,0.2,0.9,static_only,5,Pre-Frail,Pre-Frail,34,0.7555555555555555
