study,model_or_module,parameter,value,provenance
matched_three_model_historical_comparison,CNN1D,input_data,"29-participant internal dataset; roles B,R1-R4; 8 raw channels; no PPI/HRV extra input",derived_from_archived_run_contract
matched_three_model_historical_comparison,CNN1D,archived_window_count,15657,derived_from_archived_run_contract
matched_three_model_historical_comparison,CNN1D,seed_schedule,"42,10042,20042,30042,40042",derived_from_archived_run_contract
matched_three_model_historical_comparison,CNN1D,split_scheme,participant-grouped 5-fold within each repeat,derived_from_archived_run_contract
matched_three_model_historical_comparison,CNN1D,selection_rule,best epoch from the historical validation trajectory; patience 20,derived_from_archived_run_contract
matched_three_model_historical_comparison,CNN1D,data_root,PPG_Testing_05_01_2026,historical_report_json
matched_three_model_historical_comparison,CNN1D,label_csv,StudyData_frailtyScored/StudyData_V7_standard.csv,historical_report_json
matched_three_model_historical_comparison,CNN1D,study_dir,StudyData,historical_report_json
matched_three_model_historical_comparison,CNN1D,young_dir,TestDataYoungers,historical_report_json
matched_three_model_historical_comparison,CNN1D,fs,400.0,historical_report_json
matched_three_model_historical_comparison,CNN1D,win_sec,5.0,historical_report_json
matched_three_model_historical_comparison,CNN1D,hop_sec,2.5,historical_report_json
matched_three_model_historical_comparison,CNN1D,folds,5,historical_report_json
matched_three_model_historical_comparison,CNN1D,cnn_target_fs,64.0,historical_report_json
matched_three_model_historical_comparison,CNN1D,cnn_seq_sec,5.0,historical_report_json
matched_three_model_historical_comparison,CNN1D,cnn_hop_sec,2.5,historical_report_json
matched_three_model_historical_comparison,CNN1D,cnn_max_windows_per_file,0,historical_report_json
matched_three_model_historical_comparison,CNN1D,cnn_max_windows_fraction,0.9,historical_report_json
matched_three_model_historical_comparison,CNN1D,cnn_epochs,50,historical_report_json
matched_three_model_historical_comparison,CNN1D,cnn_batch_size,32,historical_report_json
matched_three_model_historical_comparison,CNN1D,cnn_lr,0.001,historical_report_json
matched_three_model_historical_comparison,CNN1D,cnn_patience,20,historical_report_json
matched_three_model_historical_comparison,CNN1D,cnn_num_workers,0,historical_report_json
matched_three_model_historical_comparison,CNN1D,extra_input,0,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_num_shapelets,3,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_shapelet_len,128,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_shapelet_stride,64,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_local_window,64,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_local_embed_dim,48,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_shape_embed_dim,128,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_dim_ff,256,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_heads,4,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_dropout,0.3,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_discovery_method,effect_size,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_discovery_windows,180,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_candidates_per_class_channel,8,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_num_pip,0.2,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_processes,1,historical_report_json
matched_three_model_historical_comparison,CNN1D,shapeformer_pisd_verbose,False,historical_report_json
matched_three_model_historical_comparison,InceptionTime,input_data,"29-participant internal dataset; roles B,R1-R4; 8 raw channels; no PPI/HRV extra input",derived_from_archived_run_contract
matched_three_model_historical_comparison,InceptionTime,archived_window_count,15657,derived_from_archived_run_contract
matched_three_model_historical_comparison,InceptionTime,seed_schedule,"42,10042,20042,30042,40042",derived_from_archived_run_contract
matched_three_model_historical_comparison,InceptionTime,split_scheme,participant-grouped 5-fold within each repeat,derived_from_archived_run_contract
matched_three_model_historical_comparison,InceptionTime,selection_rule,best epoch from the historical validation trajectory; patience 20,derived_from_archived_run_contract
matched_three_model_historical_comparison,InceptionTime,data_root,PPG_Testing_05_01_2026,historical_report_json
matched_three_model_historical_comparison,InceptionTime,label_csv,StudyData_frailtyScored/StudyData_V7_standard.csv,historical_report_json
matched_three_model_historical_comparison,InceptionTime,study_dir,StudyData,historical_report_json
matched_three_model_historical_comparison,InceptionTime,young_dir,TestDataYoungers,historical_report_json
matched_three_model_historical_comparison,InceptionTime,fs,400.0,historical_report_json
matched_three_model_historical_comparison,InceptionTime,win_sec,5.0,historical_report_json
matched_three_model_historical_comparison,InceptionTime,hop_sec,2.5,historical_report_json
matched_three_model_historical_comparison,InceptionTime,folds,5,historical_report_json
matched_three_model_historical_comparison,InceptionTime,cnn_target_fs,64.0,historical_report_json
matched_three_model_historical_comparison,InceptionTime,cnn_seq_sec,5.0,historical_report_json
matched_three_model_historical_comparison,InceptionTime,cnn_hop_sec,2.5,historical_report_json
matched_three_model_historical_comparison,InceptionTime,cnn_max_windows_per_file,0,historical_report_json
matched_three_model_historical_comparison,InceptionTime,cnn_max_windows_fraction,0.9,historical_report_json
matched_three_model_historical_comparison,InceptionTime,cnn_epochs,50,historical_report_json
matched_three_model_historical_comparison,InceptionTime,cnn_batch_size,32,historical_report_json
matched_three_model_historical_comparison,InceptionTime,cnn_lr,0.001,historical_report_json
matched_three_model_historical_comparison,InceptionTime,cnn_patience,20,historical_report_json
matched_three_model_historical_comparison,InceptionTime,cnn_num_workers,0,historical_report_json
matched_three_model_historical_comparison,InceptionTime,extra_input,0,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_num_shapelets,3,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_shapelet_len,128,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_shapelet_stride,64,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_local_window,64,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_local_embed_dim,48,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_shape_embed_dim,128,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_dim_ff,256,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_heads,4,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_dropout,0.3,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_discovery_method,effect_size,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_discovery_windows,180,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_candidates_per_class_channel,8,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_num_pip,0.2,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_processes,1,historical_report_json
matched_three_model_historical_comparison,InceptionTime,shapeformer_pisd_verbose,False,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,input_data,"29-participant internal dataset; roles B,R1-R4; 8 raw channels; no PPI/HRV extra input",derived_from_archived_run_contract
matched_three_model_historical_comparison,ShapeFormer-PISD,archived_window_count,15657,derived_from_archived_run_contract
matched_three_model_historical_comparison,ShapeFormer-PISD,seed_schedule,"42,10042,20042,30042,40042",derived_from_archived_run_contract
matched_three_model_historical_comparison,ShapeFormer-PISD,split_scheme,participant-grouped 5-fold within each repeat,derived_from_archived_run_contract
matched_three_model_historical_comparison,ShapeFormer-PISD,selection_rule,best epoch from the historical validation trajectory; patience 20,derived_from_archived_run_contract
matched_three_model_historical_comparison,ShapeFormer-PISD,data_root,PPG_Testing_05_01_2026,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,label_csv,StudyData_frailtyScored/StudyData_V7_standard.csv,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,study_dir,StudyData,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,young_dir,TestDataYoungers,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,fs,400.0,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,win_sec,5.0,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,hop_sec,2.5,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,folds,5,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,cnn_target_fs,64.0,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,cnn_seq_sec,5.0,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,cnn_hop_sec,2.5,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,cnn_max_windows_per_file,0,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,cnn_max_windows_fraction,0.9,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,cnn_epochs,50,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,cnn_batch_size,32,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,cnn_lr,0.001,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,cnn_patience,20,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,cnn_num_workers,0,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,extra_input,0,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_num_shapelets,3,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_shapelet_len,128,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_shapelet_stride,64,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_local_window,64,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_local_embed_dim,48,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_shape_embed_dim,128,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_dim_ff,256,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_heads,4,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_dropout,0.3,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_discovery_method,pisd,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_discovery_windows,180,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_candidates_per_class_channel,8,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_num_pip,0.2,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_processes,1,historical_report_json
matched_three_model_historical_comparison,ShapeFormer-PISD,shapeformer_pisd_verbose,False,historical_report_json
