model,repeat,split_seed,fold_count,held_out_participant_count,fold_sizes,fold_roster_sha256,roster
CNN1D,1,42,5,29,"6,6,6,6,5",d0c54f69bfa6d69b6c8e4a649d2f16d538234fbf2d30396171889663302cb30a,"[{""fold"": 1, ""participants"": [""AMI33"", ""EE_02"", ""FNA75"", ""IGB00_03"", ""MHT21"", ""TSR08""]}, {""fold"": 2, ""participants"": [""AKO19_01"", ""GDO22"", ""INE13"", ""KMO19"", ""MKU07"", ""UTI13""]}, {""fold"": 3, ""participants"": [""AB_01"", ""GME22"", ""GRU27"", ""HZA20"", ""MSE28"", ""SJI29_02""]}, {""fold"": 4, ""participants"": [""AKE28"", ""BRA36"", ""ERL70_04"", ""MIA82"", ""MOA19_03"", ""STE072""]}, {""fold"": 5, ""participants"": [""ATA20"", ""ERO01"", ""HEA19"", ""MIE14"", ""SDI19_04""]}]"
CNN1D,2,10042,5,29,"7,6,6,5,5",0259561375aa9f06f3b99fc62fabbec72d2793babc8c7d938fe9fa5703b5048e,"[{""fold"": 1, ""participants"": [""AKE28"", ""AMI33"", ""EE_02"", ""GDO22"", ""MHT21"", ""MKU07"", ""MOA19_03""]}, {""fold"": 2, ""participants"": [""AKO19_01"", ""HZA20"", ""KMO19"", ""MSE28"", ""SDI19_04"", ""STE072""]}, {""fold"": 3, ""participants"": [""ERL70_04"", ""GRU27"", ""IGB00_03"", ""INE13"", ""MIA82"", ""MIE14""]}, {""fold"": 4, ""participants"": [""GME22"", ""HEA19"", ""SJI29_02"", ""TSR08"", ""UTI13""]}, {""fold"": 5, ""participants"": [""AB_01"", ""ATA20"", ""BRA36"", ""ERO01"", ""FNA75""]}]"
CNN1D,3,20042,5,29,"6,6,6,6,5",9a83dd49258c04ed18184f2185b810ed0a76816b61a814c27497bbaca55238f6,"[{""fold"": 1, ""participants"": [""AKO19_01"", ""AMI33"", ""GRU27"", ""HEA19"", ""HZA20"", ""MSE28""]}, {""fold"": 2, ""participants"": [""AB_01"", ""AKE28"", ""ERL70_04"", ""FNA75"", ""GME22"", ""MIA82""]}, {""fold"": 3, ""participants"": [""ATA20"", ""IGB00_03"", ""KMO19"", ""MIE14"", ""SJI29_02"", ""STE072""]}, {""fold"": 4, ""participants"": [""BRA36"", ""EE_02"", ""INE13"", ""MHT21"", ""MKU07"", ""MOA19_03""]}, {""fold"": 5, ""participants"": [""ERO01"", ""GDO22"", ""SDI19_04"", ""TSR08"", ""UTI13""]}]"
CNN1D,4,30042,5,29,"6,6,6,6,5",acc10fd8b99acd7184b8e483b4812f1c1ab25dd56d749f4b7c8044f24b4cb855,"[{""fold"": 1, ""participants"": [""ERL70_04"", ""HEA19"", ""HZA20"", ""INE13"", ""MIE14"", ""UTI13""]}, {""fold"": 2, ""participants"": [""AKE28"", ""AKO19_01"", ""AMI33"", ""EE_02"", ""MHT21"", ""MIA82""]}, {""fold"": 3, ""participants"": [""ATA20"", ""ERO01"", ""GME22"", ""MKU07"", ""MOA19_03"", ""SJI29_02""]}, {""fold"": 4, ""participants"": [""AB_01"", ""BRA36"", ""FNA75"", ""GDO22"", ""IGB00_03"", ""KMO19""]}, {""fold"": 5, ""participants"": [""GRU27"", ""MSE28"", ""SDI19_04"", ""STE072"", ""TSR08""]}]"
CNN1D,5,40042,5,29,"6,6,6,5,6",866b70e082c99ff25ea07b1ee12c07239f469b67f4603c1c5948f466a5feb0e1,"[{""fold"": 1, ""participants"": [""AB_01"", ""AKO19_01"", ""BRA36"", ""INE13"", ""KMO19"", ""UTI13""]}, {""fold"": 2, ""participants"": [""EE_02"", ""ERO01"", ""FNA75"", ""GDO22"", ""GRU27"", ""TSR08""]}, {""fold"": 3, ""participants"": [""AKE28"", ""ATA20"", ""ERL70_04"", ""GME22"", ""MIE14"", ""MKU07""]}, {""fold"": 4, ""participants"": [""HZA20"", ""IGB00_03"", ""MSE28"", ""SJI29_02"", ""STE072""]}, {""fold"": 5, ""participants"": [""AMI33"", ""HEA19"", ""MHT21"", ""MIA82"", ""MOA19_03"", ""SDI19_04""]}]"
InceptionTime,1,42,5,29,"6,6,6,6,5",d0c54f69bfa6d69b6c8e4a649d2f16d538234fbf2d30396171889663302cb30a,"[{""fold"": 1, ""participants"": [""AMI33"", ""EE_02"", ""FNA75"", ""IGB00_03"", ""MHT21"", ""TSR08""]}, {""fold"": 2, ""participants"": [""AKO19_01"", ""GDO22"", ""INE13"", ""KMO19"", ""MKU07"", ""UTI13""]}, {""fold"": 3, ""participants"": [""AB_01"", ""GME22"", ""GRU27"", ""HZA20"", ""MSE28"", ""SJI29_02""]}, {""fold"": 4, ""participants"": [""AKE28"", ""BRA36"", ""ERL70_04"", ""MIA82"", ""MOA19_03"", ""STE072""]}, {""fold"": 5, ""participants"": [""ATA20"", ""ERO01"", ""HEA19"", ""MIE14"", ""SDI19_04""]}]"
InceptionTime,2,10042,5,29,"7,6,6,5,5",0259561375aa9f06f3b99fc62fabbec72d2793babc8c7d938fe9fa5703b5048e,"[{""fold"": 1, ""participants"": [""AKE28"", ""AMI33"", ""EE_02"", ""GDO22"", ""MHT21"", ""MKU07"", ""MOA19_03""]}, {""fold"": 2, ""participants"": [""AKO19_01"", ""HZA20"", ""KMO19"", ""MSE28"", ""SDI19_04"", ""STE072""]}, {""fold"": 3, ""participants"": [""ERL70_04"", ""GRU27"", ""IGB00_03"", ""INE13"", ""MIA82"", ""MIE14""]}, {""fold"": 4, ""participants"": [""GME22"", ""HEA19"", ""SJI29_02"", ""TSR08"", ""UTI13""]}, {""fold"": 5, ""participants"": [""AB_01"", ""ATA20"", ""BRA36"", ""ERO01"", ""FNA75""]}]"
InceptionTime,3,20042,5,29,"6,6,6,6,5",9a83dd49258c04ed18184f2185b810ed0a76816b61a814c27497bbaca55238f6,"[{""fold"": 1, ""participants"": [""AKO19_01"", ""AMI33"", ""GRU27"", ""HEA19"", ""HZA20"", ""MSE28""]}, {""fold"": 2, ""participants"": [""AB_01"", ""AKE28"", ""ERL70_04"", ""FNA75"", ""GME22"", ""MIA82""]}, {""fold"": 3, ""participants"": [""ATA20"", ""IGB00_03"", ""KMO19"", ""MIE14"", ""SJI29_02"", ""STE072""]}, {""fold"": 4, ""participants"": [""BRA36"", ""EE_02"", ""INE13"", ""MHT21"", ""MKU07"", ""MOA19_03""]}, {""fold"": 5, ""participants"": [""ERO01"", ""GDO22"", ""SDI19_04"", ""TSR08"", ""UTI13""]}]"
InceptionTime,4,30042,5,29,"6,6,6,6,5",acc10fd8b99acd7184b8e483b4812f1c1ab25dd56d749f4b7c8044f24b4cb855,"[{""fold"": 1, ""participants"": [""ERL70_04"", ""HEA19"", ""HZA20"", ""INE13"", ""MIE14"", ""UTI13""]}, {""fold"": 2, ""participants"": [""AKE28"", ""AKO19_01"", ""AMI33"", ""EE_02"", ""MHT21"", ""MIA82""]}, {""fold"": 3, ""participants"": [""ATA20"", ""ERO01"", ""GME22"", ""MKU07"", ""MOA19_03"", ""SJI29_02""]}, {""fold"": 4, ""participants"": [""AB_01"", ""BRA36"", ""FNA75"", ""GDO22"", ""IGB00_03"", ""KMO19""]}, {""fold"": 5, ""participants"": [""GRU27"", ""MSE28"", ""SDI19_04"", ""STE072"", ""TSR08""]}]"
InceptionTime,5,40042,5,29,"6,6,6,5,6",866b70e082c99ff25ea07b1ee12c07239f469b67f4603c1c5948f466a5feb0e1,"[{""fold"": 1, ""participants"": [""AB_01"", ""AKO19_01"", ""BRA36"", ""INE13"", ""KMO19"", ""UTI13""]}, {""fold"": 2, ""participants"": [""EE_02"", ""ERO01"", ""FNA75"", ""GDO22"", ""GRU27"", ""TSR08""]}, {""fold"": 3, ""participants"": [""AKE28"", ""ATA20"", ""ERL70_04"", ""GME22"", ""MIE14"", ""MKU07""]}, {""fold"": 4, ""participants"": [""HZA20"", ""IGB00_03"", ""MSE28"", ""SJI29_02"", ""STE072""]}, {""fold"": 5, ""participants"": [""AMI33"", ""HEA19"", ""MHT21"", ""MIA82"", ""MOA19_03"", ""SDI19_04""]}]"
