comparison_family,comparison_id,comparison_role,reference_case_id,candidate_case_id,repeat,split_seed,comparison_contract_status,difference_direction,reference_balanced_accuracy,candidate_balanced_accuracy,balanced_accuracy_delta,reference_macro_f1,candidate_macro_f1,macro_f1_delta,reference_macro_roc_auc_ovr,candidate_macro_roc_auc_ovr,macro_roc_auc_ovr_delta,macro_roc_auc_ovr_applicability,automatic_selection
historical_matched_three_model_all_pairs,InceptionTime_vs_CNN1D,exploratory_legacy_model_comparison_not_ablation,CNN1D,InceptionTime,1,42,matched_aggregate_repeat_seed,candidate_minus_reference,0.6666666666666666,0.6759259259259259,0.0092592592592593,0.6604148905939188,0.6651515151515152,0.004736624557596381,,,,N/A_probability_level_participant_oof_not_archived,False
historical_matched_three_model_all_pairs,InceptionTime_vs_CNN1D,exploratory_legacy_model_comparison_not_ablation,CNN1D,InceptionTime,2,10042,matched_aggregate_repeat_seed,candidate_minus_reference,0.6620370370370371,0.6620370370370371,0.0,0.6658730158730158,0.6658730158730158,0.0,,,,N/A_probability_level_participant_oof_not_archived,False
historical_matched_three_model_all_pairs,InceptionTime_vs_CNN1D,exploratory_legacy_model_comparison_not_ablation,CNN1D,InceptionTime,3,20042,matched_aggregate_repeat_seed,candidate_minus_reference,0.6944444444444443,0.8101851851851851,0.11574074074074081,0.7022222222222222,0.797635800731776,0.09541357850955379,,,,N/A_probability_level_participant_oof_not_archived,False
historical_matched_three_model_all_pairs,InceptionTime_vs_CNN1D,exploratory_legacy_model_comparison_not_ablation,CNN1D,InceptionTime,4,30042,matched_aggregate_repeat_seed,candidate_minus_reference,0.7731481481481483,0.7314814814814815,-0.04166666666666674,0.7763285024154589,0.7257575757575757,-0.05057092665788321,,,,N/A_probability_level_participant_oof_not_archived,False
historical_matched_three_model_all_pairs,InceptionTime_vs_CNN1D,exploratory_legacy_model_comparison_not_ablation,CNN1D,InceptionTime,5,40042,matched_aggregate_repeat_seed,candidate_minus_reference,0.7175925925925926,0.7546296296296297,0.03703703703703709,0.7327935222672064,0.7630769230769231,0.0302834008097167,,,,N/A_probability_level_participant_oof_not_archived,False
historical_matched_three_model_all_pairs,ShapeFormer-PISD_vs_CNN1D,exploratory_legacy_model_comparison_not_ablation,CNN1D,ShapeFormer-PISD,1,42,matched_aggregate_repeat_seed,candidate_minus_reference,0.6666666666666666,0.6342592592592592,-0.03240740740740744,0.6604148905939188,0.6262626262626262,-0.03415226433129259,,,,N/A_probability_level_participant_oof_not_archived,False
historical_matched_three_model_all_pairs,ShapeFormer-PISD_vs_CNN1D,exploratory_legacy_model_comparison_not_ablation,CNN1D,ShapeFormer-PISD,2,10042,matched_aggregate_repeat_seed,candidate_minus_reference,0.6620370370370371,0.5648148148148148,-0.09722222222222232,0.6658730158730158,0.5476190476190476,-0.11825396825396828,,,,N/A_probability_level_participant_oof_not_archived,False
historical_matched_three_model_all_pairs,ShapeFormer-PISD_vs_CNN1D,exploratory_legacy_model_comparison_not_ablation,CNN1D,ShapeFormer-PISD,3,20042,matched_aggregate_repeat_seed,candidate_minus_reference,0.6944444444444443,0.6620370370370371,-0.03240740740740722,0.7022222222222222,0.6538136785814804,-0.048408543640741764,,,,N/A_probability_level_participant_oof_not_archived,False
historical_matched_three_model_all_pairs,ShapeFormer-PISD_vs_CNN1D,exploratory_legacy_model_comparison_not_ablation,CNN1D,ShapeFormer-PISD,4,30042,matched_aggregate_repeat_seed,candidate_minus_reference,0.7731481481481483,0.5694444444444444,-0.20370370370370383,0.7763285024154589,0.5532212885154061,-0.22310721390005284,,,,N/A_probability_level_participant_oof_not_archived,False
historical_matched_three_model_all_pairs,ShapeFormer-PISD_vs_CNN1D,exploratory_legacy_model_comparison_not_ablation,CNN1D,ShapeFormer-PISD,5,40042,matched_aggregate_repeat_seed,candidate_minus_reference,0.7175925925925926,0.6481481481481481,-0.06944444444444442,0.7327935222672064,0.645021645021645,-0.08777187724556135,,,,N/A_probability_level_participant_oof_not_archived,False
