source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning,evaluation_level
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,1,42,0.6666666666666666,0.6604148905939188,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,2,10042,0.6620370370370371,0.6658730158730158,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,3,20042,0.6944444444444443,0.7022222222222222,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,4,30042,0.7731481481481483,0.7763285024154589,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,5,40042,0.7175925925925926,0.7327935222672064,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,1,42,0.6759259259259259,0.6651515151515152,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,2,10042,0.6620370370370371,0.6658730158730158,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,3,20042,0.8101851851851851,0.797635800731776,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,4,30042,0.7314814814814815,0.7257575757575757,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,5,40042,0.7546296296296297,0.7630769230769231,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,1,42,0.6342592592592592,0.6262626262626262,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,2,10042,0.5648148148148148,0.5476190476190476,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,3,20042,0.6620370370370371,0.6538136785814804,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,4,30042,0.5694444444444444,0.5532212885154061,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,5,40042,0.6481481481481481,0.645021645021645,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,subject
