source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning,evaluation_level
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,1,42,0.6194444444444445,0.6105057994499871,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,2,10042,0.6240740740740741,0.6233186725433156,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,3,20042,0.6425925925925925,0.6493551133551133,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,4,30042,0.7212962962962962,0.7219665683382498,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,5,40042,0.6462962962962963,0.6673525862046397,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,1,42,0.6592592592592593,0.6441702951136913,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,2,10042,0.612037037037037,0.6187710856700402,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,3,20042,0.7101851851851851,0.6968993195615858,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,4,30042,0.7194444444444444,0.7193403231440914,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,5,40042,0.7027777777777778,0.7142153185355163,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,1,42,0.612037037037037,0.604804586471575,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,2,10042,0.5861111111111111,0.5867604478049353,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,3,20042,0.6175925925925926,0.6181089762217494,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,4,30042,0.5953703703703704,0.5792530345471523,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,5,40042,0.5564814814814816,0.5551235819998497,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,file
