source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning,evaluation_level
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,1,42,0.5605041301221979,0.5504640656547551,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,2,10042,0.5667298935562136,0.5641580480162118,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,3,20042,0.5756750544421602,0.5776503098192819,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,4,30042,0.6347651852802962,0.6352274071145835,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,CNN1D,cnn1d,CNN1D,CNN1D,5,40042,0.584936602060789,0.5973023077723391,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,1,42,0.6153541212732818,0.6016839149516918,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,2,10042,0.6008711108046433,0.6025905665579218,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,3,20042,0.6444787055113284,0.6355090762414213,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,4,30042,0.6503990673513156,0.6492016469323413,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,InceptionTime,inception_time,InceptionTime,InceptionTime,5,40042,0.6576579848653171,0.663859788908577,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,1,42,0.5793012662241784,0.5720329741636746,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,2,10042,0.5432548287663785,0.5420023322937803,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,3,20042,0.5654825959150775,0.5670204202227431,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,4,30042,0.5638822871131356,0.557378745052414,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
matched_early_three_model,other_archived_parameter,model_display,5s_50pct_overlap_patience20_no_extra_ppi_hrv,ShapeFormer-PISD,shapeformer,ShapeFormer-PISD,ShapeFormer-PISD,5,40042,0.5239877211882837,0.5232706567183781,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive,window
