comparison_id,repeat,split_seed,shapeformer_subject_BA,comparator_subject_BA,balanced_accuracy_delta,shapeformer_subject_macro_F1,comparator_subject_macro_F1,macro_f1_delta,shapeformer_runtime_seconds,comparator_runtime_seconds,shapeformer_runtime_ratio,macro_roc_auc_ovr_delta
ShapeFormer-PISD_vs_CNN1D,1,42,0.6342592592592592,0.6666666666666666,-0.03240740740740744,0.6262626262626262,0.6604148905939188,-0.03415226433129259,4927.866241816431,159.11722865328193,30.970035636771318,
ShapeFormer-PISD_vs_CNN1D,2,10042,0.5648148148148148,0.6620370370370371,-0.09722222222222232,0.5476190476190476,0.6658730158730158,-0.11825396825396828,4887.180447717197,146.78444846905768,33.29494710570391,
ShapeFormer-PISD_vs_CNN1D,3,20042,0.6620370370370371,0.6944444444444443,-0.03240740740740722,0.6538136785814804,0.7022222222222222,-0.048408543640741764,4935.454609227367,174.44206304568797,28.29280119173279,
ShapeFormer-PISD_vs_CNN1D,4,30042,0.5694444444444444,0.7731481481481483,-0.20370370370370383,0.5532212885154061,0.7763285024154589,-0.22310721390005284,4909.165130349807,205.5213418034837,23.886400737125758,
ShapeFormer-PISD_vs_CNN1D,5,40042,0.6481481481481481,0.7175925925925926,-0.06944444444444442,0.645021645021645,0.7327935222672064,-0.08777187724556135,4660.836644693278,179.98867061268538,25.895166783707484,
ShapeFormer-PISD_vs_InceptionTime,1,42,0.6342592592592592,0.6759259259259259,-0.04166666666666674,0.6262626262626262,0.6651515151515152,-0.03888888888888897,4927.866241816431,362.9937517931685,13.575622768912833,
ShapeFormer-PISD_vs_InceptionTime,2,10042,0.5648148148148148,0.6620370370370371,-0.09722222222222232,0.5476190476190476,0.6658730158730158,-0.11825396825396828,4887.180447717197,375.0192969124764,13.03181059735651,
ShapeFormer-PISD_vs_InceptionTime,3,20042,0.6620370370370371,0.8101851851851851,-0.14814814814814803,0.6538136785814804,0.797635800731776,-0.14382212215029555,4935.454609227367,386.8154002279043,12.75919884864845,
ShapeFormer-PISD_vs_InceptionTime,4,30042,0.5694444444444444,0.7314814814814815,-0.1620370370370371,0.5532212885154061,0.7257575757575757,-0.17253628724216963,4909.165130349807,470.2465363601223,10.439556170574939,
ShapeFormer-PISD_vs_InceptionTime,5,40042,0.6481481481481481,0.7546296296296297,-0.10648148148148151,0.645021645021645,0.7630769230769231,-0.11805527805527805,4660.836644693278,389.4119226979092,11.96891099892947,
