source_study,row_type,parameter,unique_count,values,role
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,data_root,,PPG_Testing_05_01_2026,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,label_csv,,StudyData_frailtyScored/StudyData_V7_standard.csv,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,study_dir,,StudyData,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,young_dir,,TestDataYoungers,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,fs,,400.0,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,win_sec,,10.0,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,hop_sec,,5.0,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,folds,,1,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_target_fs,,64.0,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_seq_sec,,5.0,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_hop_sec,,2.5,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_max_windows_per_file,,6,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_max_windows_fraction,,0.9,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_epochs,,5,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_batch_size,,32,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_lr,,0.001,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_patience,,0,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_num_workers,,0,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_weight_decay,,0.0005,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_dropout,,0.2,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_label_smoothing,,0.1,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,cnn_select_best_epoch,,False,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,role_mode,,static_only,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,extra_input,,0,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_num_shapelets,,3,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_shapelet_len,,128,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_shapelet_stride,,64,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_local_window,,64,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_local_embed_dim,,48,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_shape_embed_dim,,128,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_dim_ff,,256,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_heads,,4,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_dropout,,0.3,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_discovery_method,,effect_size,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_discovery_windows,,180,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_candidates_per_class_channel,,8,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_num_pip,,0.2,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_processes,,1,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,archived_first_report_parameter,shapeformer_pisd_verbose,,False,fixed_or_candidate_specific_see_run_table
20260608_1206_overfitting_sweep_stage1_rank2,source_contract,input_data,,29 participants; 145 static B/R1-R4 files; source columns RED/IR/AX/AY/AZ/GX/GY/GZ; historical DL preprocessing and target sampling rate vary by source study,fixed
20260608_1206_overfitting_sweep_stage1_rank2,source_contract,optimizer,,AdamW (supporting generator-code evidence; absent from report JSON),provenance_limited
20260608_1206_overfitting_sweep_stage1_rank2,source_contract,confidence_scope,,historical_hypothesis_generation_only,interpretation
20260608_1206_overfitting_sweep_stage1_rank2,observed_run_parameter_space,model,1.0,"[""inceptiontime""]",fixed
20260608_1206_overfitting_sweep_stage1_rank2,observed_run_parameter_space,resolved_model,1.0,"[""inception_time""]",fixed
20260608_1206_overfitting_sweep_stage1_rank2,observed_run_parameter_space,extra_input,1.0,[0],fixed
20260608_1206_overfitting_sweep_stage1_rank2,observed_run_parameter_space,cnn_epochs,6.0,"[10, 12, 15, 5, 50, 8]",varied
20260608_1206_overfitting_sweep_stage1_rank2,observed_run_parameter_space,cnn_patience,1.0,[0],fixed
20260608_1206_overfitting_sweep_stage1_rank2,observed_run_parameter_space,window_sec,1.0,[5.0],fixed
20260608_1206_overfitting_sweep_stage1_rank2,observed_run_parameter_space,hop_sec,1.0,[2.5],fixed
20260608_1206_overfitting_sweep_stage1_rank2,observed_run_parameter_space,overlap_pct,1.0,[50.0],fixed
20260608_1206_overfitting_sweep_stage1_rank2,observed_run_parameter_space,max_windows_fraction,6.0,"[0.2, 0.3, 0.5, 0.7, 0.9, 1.0]",varied
20260608_1206_overfitting_sweep_stage1_rank2,observed_run_parameter_space,cnn_lr,2.0,"[0.0005, 0.001]",varied
20260608_1206_overfitting_sweep_stage1_rank2,observed_run_parameter_space,cnn_weight_decay,10.0,"[0.0, 0.0001, 0.0005, 0.001, 0.002, 0.005, 0.01, 0.02, 1e-05, 5e-05]",varied
20260608_1206_overfitting_sweep_stage1_rank2,observed_run_parameter_space,cnn_dropout,9.0,"[-1.0, 0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7]",varied
20260608_1206_overfitting_sweep_stage1_rank2,observed_run_parameter_space,cnn_label_smoothing,7.0,"[0.0, 0.03, 0.05, 0.1, 0.15, 0.2, 0.3]",varied
