rank,config_or_model,model,subject_BA_mean_sd_percent,subject_BA_repeat_t_CI95_percent,subject_macro_F1_mean_sd_percent,subject_macro_F1_repeat_t_CI95_percent,subject_macro_ROC_AUC,ROC_AUC_applicability,scientific_role
1,s1_085,inception_time,62.3 ± 7.0,"[53.6, 71.0]",62.6 ± 7.7,"[53.0, 72.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
2,s1_091,inception_time,62.1 ± 5.1,"[55.8, 68.5]",62.2 ± 4.1,"[57.1, 67.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
3,s1_105,inception_time,61.6 ± 3.8,"[56.9, 66.3]",62.5 ± 3.9,"[57.7, 67.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
4,s1_163,inception_time,61.2 ± 3.1,"[57.4, 65.0]",61.7 ± 2.9,"[58.1, 65.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
5,s1_079,inception_time,60.6 ± 4.0,"[55.6, 65.7]",61.3 ± 3.7,"[56.7, 65.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
6,s1_075,inception_time,60.5 ± 5.3,"[53.8, 67.1]",61.2 ± 5.7,"[54.2, 68.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
7,s1_077,inception_time,60.4 ± 6.1,"[52.8, 67.9]",61.2 ± 6.7,"[52.8, 69.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
8,s1_165,inception_time,60.4 ± 3.9,"[55.5, 65.3]",60.0 ± 3.5,"[55.7, 64.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
9,s1_099,inception_time,60.3 ± 8.4,"[49.8, 70.8]",61.0 ± 8.7,"[50.2, 71.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
10,s1_183,inception_time,60.3 ± 4.6,"[54.6, 66.0]",59.9 ± 4.0,"[55.0, 64.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
11,s1_181,inception_time,60.3 ± 6.2,"[52.6, 68.0]",59.3 ± 7.4,"[50.1, 68.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
12,s1_160,inception_time,60.1 ± 4.2,"[54.9, 65.3]",60.7 ± 3.8,"[56.0, 65.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
13,s1_178,inception_time,60.1 ± 4.1,"[55.0, 65.2]",59.9 ± 5.3,"[53.3, 66.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
14,s1_148,inception_time,60.1 ± 8.0,"[50.1, 70.0]",58.6 ± 8.0,"[48.7, 68.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
15,s1_158,inception_time,60.0 ± 7.0,"[51.3, 68.7]",60.8 ± 6.9,"[52.2, 69.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
16,s1_185,inception_time,59.8 ± 6.3,"[52.0, 67.6]",58.7 ± 4.9,"[52.7, 64.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
17,s1_034,inception_time,59.6 ± 3.8,"[54.9, 64.3]",60.6 ± 3.4,"[56.5, 64.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
18,s1_112,inception_time,59.6 ± 6.6,"[51.4, 67.8]",60.0 ± 6.5,"[52.0, 68.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
19,s1_157,inception_time,59.6 ± 7.0,"[51.0, 68.3]",59.8 ± 7.6,"[50.4, 69.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
20,s1_119,inception_time,59.6 ± 9.1,"[48.3, 70.9]",59.7 ± 8.3,"[49.4, 69.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
21,s1_182,inception_time,59.5 ± 5.0,"[53.3, 65.7]",59.3 ± 5.4,"[52.6, 66.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
22,s1_098,inception_time,59.4 ± 8.0,"[49.6, 69.3]",60.1 ± 7.3,"[51.1, 69.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
23,s1_177,inception_time,59.4 ± 7.6,"[50.0, 68.9]",60.0 ± 7.3,"[50.9, 69.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
24,s1_161,inception_time,59.4 ± 3.6,"[55.0, 63.9]",59.7 ± 3.4,"[55.4, 63.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
25,s1_025,inception_time,59.3 ± 5.3,"[52.7, 65.9]",59.6 ± 4.8,"[53.6, 65.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
26,s1_179,inception_time,59.2 ± 3.6,"[54.7, 63.7]",58.8 ± 4.2,"[53.5, 64.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
27,s1_149,inception_time,59.1 ± 6.5,"[51.0, 67.1]",59.4 ± 6.3,"[51.6, 67.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
28,s1_123,inception_time,59.1 ± 4.0,"[54.1, 64.1]",58.9 ± 3.9,"[54.1, 63.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
29,s1_096,inception_time,59.1 ± 4.7,"[53.2, 65.0]",58.8 ± 5.1,"[52.4, 65.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
30,s1_068,inception_time,58.8 ± 2.7,"[55.5, 62.1]",58.9 ± 3.1,"[55.0, 62.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
31,s1_138,inception_time,58.8 ± 5.4,"[52.1, 65.5]",58.8 ± 6.6,"[50.6, 67.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
32,s1_171,inception_time,58.8 ± 6.3,"[50.9, 66.6]",58.7 ± 6.3,"[50.9, 66.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
33,s1_170,inception_time,58.8 ± 5.3,"[52.2, 65.4]",58.0 ± 4.5,"[52.4, 63.6]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
34,s1_159,inception_time,58.7 ± 2.5,"[55.6, 61.8]",58.1 ± 1.6,"[56.0, 60.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
35,s1_006,inception_time,58.7 ± 6.4,"[50.7, 66.7]",59.4 ± 7.1,"[50.7, 68.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
36,s1_173,inception_time,58.6 ± 6.5,"[50.5, 66.7]",58.9 ± 8.0,"[49.0, 68.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
37,s1_166,inception_time,58.6 ± 3.4,"[54.4, 62.8]",58.7 ± 2.6,"[55.5, 62.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
38,s1_122,inception_time,58.6 ± 8.3,"[48.3, 68.9]",58.6 ± 8.2,"[48.4, 68.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
