source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0,inception_time,0,s1_018,1,42,0.4768518518518518,0.487903667214012,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0,inception_time,0,s1_018,2,10042,0.5185185185185185,0.5305250305250305,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0,inception_time,0,s1_018,3,20042,0.5787037037037037,0.5575396825396824,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0,inception_time,0,s1_018,4,30042,0.5787037037037037,0.5924888473908082,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0,inception_time,0,s1_018,5,40042,0.4907407407407407,0.4893719806763285,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.03,inception_time,0.03,s1_019,1,42,0.4537037037037037,0.4404761904761904,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.03,inception_time,0.03,s1_019,2,10042,0.5416666666666666,0.5416666666666666,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.03,inception_time,0.03,s1_019,3,20042,0.5833333333333334,0.5951417004048584,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.03,inception_time,0.03,s1_019,4,30042,0.6574074074074074,0.676027676027676,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.03,inception_time,0.03,s1_019,5,40042,0.4583333333333333,0.4545454545454546,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.05,inception_time,0.05,s1_020,1,42,0.4768518518518518,0.487903667214012,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
