source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,1,inception_time,1,s1_024,1,42,0.5879629629629629,0.6002005012531328,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,1,inception_time,1,s1_024,2,10042,0.4074074074074074,0.3731551099972152,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,1,inception_time,1,s1_024,3,20042,0.5277777777777778,0.5293650793650794,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,1,inception_time,1,s1_024,4,30042,0.6620370370370371,0.6714300192561061,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,1,inception_time,1,s1_024,5,40042,0.5740740740740741,0.5606909430438842,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.7,inception_time,0.7,s1_025,1,42,0.6296296296296297,0.6385185185185186,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.7,inception_time,0.7,s1_025,2,10042,0.5,0.5162393162393163,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.7,inception_time,0.7,s1_025,3,20042,0.5972222222222222,0.6024844720496895,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.7,inception_time,0.7,s1_025,4,30042,0.6203703703703703,0.6286576168929111,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.7,inception_time,0.7,s1_025,5,40042,0.6157407407407407,0.591779448621554,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.5,inception_time,0.5,s1_026,1,42,0.5231481481481481,0.5231481481481481,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.5,inception_time,0.5,s1_026,2,10042,0.4722222222222221,0.4438874965190755,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.5,inception_time,0.5,s1_026,3,20042,0.5555555555555555,0.5571428571428572,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.5,inception_time,0.5,s1_026,4,30042,0.5601851851851852,0.553395061728395,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.5,inception_time,0.5,s1_026,5,40042,0.5694444444444444,0.5627705627705627,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.3,inception_time,0.3,s1_027,1,42,0.4907407407407407,0.5015708928752407,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,input_and_windowing,max_windows_fraction,stage1_regularization_factor=max_windows_fraction,0.3,inception_time,0.3,s1_027,2,10042,0.5462962962962963,0.5052631578947367,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
