source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0,inception_time,0,s1_002,1,42,0.513888888888889,0.5297619047619048,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0,inception_time,0,s1_002,2,10042,0.513888888888889,0.5118708452041786,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0,inception_time,0,s1_002,3,20042,0.5370370370370371,0.5476190476190476,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0,inception_time,0,s1_002,4,30042,0.6574074074074074,0.664327485380117,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0,inception_time,0,s1_002,5,40042,0.4907407407407407,0.4893719806763285,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,1e-05,inception_time,1e-05,s1_003,1,42,0.5231481481481481,0.5400895400895401,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,1e-05,inception_time,1e-05,s1_003,2,10042,0.5740740740740741,0.5840854860462704,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,1e-05,inception_time,1e-05,s1_003,3,20042,0.6064814814814815,0.6227695675971537,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,1e-05,inception_time,1e-05,s1_003,4,30042,0.5925925925925926,0.5866013071895425,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,1e-05,inception_time,1e-05,s1_003,5,40042,0.5185185185185185,0.4862155388471178,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,5e-05,inception_time,5e-05,s1_004,1,42,0.5046296296296297,0.5111111111111111,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,5e-05,inception_time,5e-05,s1_004,2,10042,0.5231481481481481,0.5329311211664153,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,5e-05,inception_time,5e-05,s1_004,3,20042,0.6435185185185185,0.6607142857142857,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,5e-05,inception_time,5e-05,s1_004,4,30042,0.6574074074074074,0.6749999999999999,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,5e-05,inception_time,5e-05,s1_004,5,40042,0.4768518518518518,0.4853968253968254,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.0001,inception_time,0.0001,s1_005,1,42,0.5277777777777778,0.5491039426523298,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.0001,inception_time,0.0001,s1_005,2,10042,0.6296296296296297,0.6327450980392157,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.0001,inception_time,0.0001,s1_005,3,20042,0.5370370370370371,0.5521620142309798,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.0001,inception_time,0.0001,s1_005,4,30042,0.5972222222222222,0.5901515151515152,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.0001,inception_time,0.0001,s1_005,5,40042,0.4629629629629629,0.4632034632034632,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.001,inception_time,0.001,s1_006,1,42,0.5,0.525,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.001,inception_time,0.001,s1_006,2,10042,0.5972222222222222,0.5994152046783626,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.001,inception_time,0.001,s1_006,3,20042,0.6574074074074074,0.6810035842293907,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.001,inception_time,0.001,s1_006,4,30042,0.6342592592592592,0.6428571428571429,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.001,inception_time,0.001,s1_006,5,40042,0.5462962962962963,0.5222222222222223,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.002,inception_time,0.002,s1_007,1,42,0.5092592592592592,0.5370370370370371,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.002,inception_time,0.002,s1_007,2,10042,0.5740740740740741,0.5703661327231121,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.002,inception_time,0.002,s1_007,3,20042,0.5648148148148148,0.582905982905983,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.002,inception_time,0.002,s1_007,4,30042,0.6990740740740741,0.7131910235358512,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.002,inception_time,0.002,s1_007,5,40042,0.4907407407407407,0.4433305485937064,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.005,inception_time,0.005,s1_008,1,42,0.5416666666666666,0.565318302387268,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.005,inception_time,0.005,s1_008,2,10042,0.5601851851851852,0.5674074074074075,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.005,inception_time,0.005,s1_008,3,20042,0.4953703703703704,0.504420866489832,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.005,inception_time,0.005,s1_008,4,30042,0.6574074074074074,0.6744862155388471,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.005,inception_time,0.005,s1_008,5,40042,0.4490740740740741,0.4484126984126984,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.01,inception_time,0.01,s1_009,1,42,0.4814814814814814,0.5014245014245015,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.01,inception_time,0.01,s1_009,2,10042,0.5509259259259259,0.5617283950617283,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.01,inception_time,0.01,s1_009,3,20042,0.6064814814814815,0.6195949644225506,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.01,inception_time,0.01,s1_009,4,30042,0.6574074074074074,0.6574074074074074,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.01,inception_time,0.01,s1_009,5,40042,0.4629629629629629,0.4523809523809524,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.02,inception_time,0.02,s1_010,1,42,0.5046296296296297,0.5111111111111111,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.02,inception_time,0.02,s1_010,2,10042,0.5324074074074074,0.5365497076023392,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.02,inception_time,0.02,s1_010,3,20042,0.5740740740740741,0.5916828269769446,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.02,inception_time,0.02,s1_010,4,30042,0.6435185185185185,0.6563958916900093,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0.02,inception_time,0.02,s1_010,5,40042,0.5324074074074074,0.5324675324675324,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0,inception_time,0,s1_039,1,42,0.5277777777777778,0.5202941176470589,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0,inception_time,0,s1_039,2,10042,0.5370370370370371,0.5521620142309798,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0,inception_time,0,s1_039,3,20042,0.5416666666666666,0.5416666666666666,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0,inception_time,0,s1_039,4,30042,0.4953703703703704,0.4918300653594771,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,0,inception_time,0,s1_039,5,40042,0.5879629629629629,0.5921052631578947,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,1e-05,inception_time,1e-05,s1_040,1,42,0.5555555555555556,0.5561728395061728,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260608_1206_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,stage1_regularization_factor=weight_decay,1e-05,inception_time,1e-05,s1_040,2,10042,0.5,0.5140362511052167,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
