figure_id,title,figure_path,table_path,interpretation
top15_configs,Top-15 configuration BA / macro-F1 / ROC-AUC boxplots,figures/01_top15_config_ba_f1_roc_boxplots.png,tables/plot_01_top15_configs.csv,Post-hoc top-15 display; ROC-AUC unavailable.
plot_02_cnn_epochs_all_archived_config_repeats,Parameter comparison: cnn_epochs — all_archived_config_repeats,figures/02_cnn_epochs_all_archived_config_repeats_boxplots.png,tables/plot_02_cnn_epochs_all_archived_config_repeats.csv,Marginal config-repeat association; shared participants and uncontrolled co-parameters prevent a causal ablation claim.
plot_03_cnn_lr_all_archived_config_repeats,Parameter comparison: cnn_lr — all_archived_config_repeats,figures/03_cnn_lr_all_archived_config_repeats_boxplots.png,tables/plot_03_cnn_lr_all_archived_config_repeats.csv,Marginal config-repeat association; shared participants and uncontrolled co-parameters prevent a causal ablation claim.
plot_04_cnn_weight_decay_all_archived_config_repeats,Parameter comparison: cnn_weight_decay — all_archived_config_repeats,figures/04_cnn_weight_decay_all_archived_config_repeats_boxplots.png,tables/plot_04_cnn_weight_decay_all_archived_config_repeats.csv,Marginal config-repeat association; shared participants and uncontrolled co-parameters prevent a causal ablation claim.
plot_05_cnn_dropout_all_archived_config_repeats,Parameter comparison: cnn_dropout — all_archived_config_repeats,figures/05_cnn_dropout_all_archived_config_repeats_boxplots.png,tables/plot_05_cnn_dropout_all_archived_config_repeats.csv,Marginal config-repeat association; shared participants and uncontrolled co-parameters prevent a causal ablation claim.
plot_06_cnn_label_smoothing_all_archived_config_repeats,Parameter comparison: cnn_label_smoothing — all_archived_config_repeats,figures/06_cnn_label_smoothing_all_archived_config_repeats_boxplots.png,tables/plot_06_cnn_label_smoothing_all_archived_config_repeats.csv,Marginal config-repeat association; shared participants and uncontrolled co-parameters prevent a causal ablation claim.
plot_07_max_windows_fraction_all_archived_config_repeats,Parameter comparison: max_windows_fraction — all_archived_config_repeats,figures/07_max_windows_fraction_all_archived_config_repeats_boxplots.png,tables/plot_07_max_windows_fraction_all_archived_config_repeats.csv,Marginal config-repeat association; shared participants and uncontrolled co-parameters prevent a causal ablation claim.
plot_08_overfit_stage_all_archived_config_repeats,Parameter comparison: overfit_stage — all_archived_config_repeats,figures/08_overfit_stage_all_archived_config_repeats_boxplots.png,tables/plot_08_overfit_stage_all_archived_config_repeats.csv,Marginal config-repeat association; shared participants and uncontrolled co-parameters prevent a causal ablation claim.
plot_09_stage1_screen_group_all_archived_config_repeats,Parameter comparison: stage1_screen_group — all_archived_config_repeats,figures/09_stage1_screen_group_all_archived_config_repeats_boxplots.png,tables/plot_09_stage1_screen_group_all_archived_config_repeats.csv,Marginal config-repeat association; shared participants and uncontrolled co-parameters prevent a causal ablation claim.
plot_10_stage1_regularization_factor_all_archived_config_repeats,Parameter comparison: stage1_regularization_factor — all_archived_config_repeats,figures/10_stage1_regularization_factor_all_archived_config_repeats_boxplots.png,tables/plot_10_stage1_regularization_factor_all_archived_config_repeats.csv,Marginal config-repeat association; shared participants and uncontrolled co-parameters prevent a causal ablation claim.
plot_11_cnn_dropout_stage1_regularization_factor_dropout,Parameter comparison: cnn_dropout — stage1_regularization_factor=dropout,figures/11_cnn_dropout_stage1_regularization_factor_dropout_boxplots.png,tables/plot_11_cnn_dropout_stage1_regularization_factor_dropout.csv,Marginal config-repeat association; shared participants and uncontrolled co-parameters prevent a causal ablation claim.
plot_12_cnn_label_smoothing_stage1_regularization_factor_label_smoothing,Parameter comparison: cnn_label_smoothing — stage1_regularization_factor=label_smoothing,figures/12_cnn_label_smoothing_stage1_regularization_factor_label_smoothing_boxplots.png,tables/plot_12_cnn_label_smoothing_stage1_regularization_factor_label_smoothing.csv,Marginal config-repeat association; shared participants and uncontrolled co-parameters prevent a causal ablation claim.
plot_13_max_windows_fraction_stage1_regularization_factor_max_windows_fraction,Parameter comparison: max_windows_fraction — stage1_regularization_factor=max_windows_fraction,figures/13_max_windows_fraction_stage1_regularization_factor_max_windows_fraction_boxplots.png,tables/plot_13_max_windows_fraction_stage1_regularization_factor_max_windows_fraction.csv,Marginal config-repeat association; shared participants and uncontrolled co-parameters prevent a causal ablation claim.
plot_14_cnn_weight_decay_stage1_regularization_factor_weight_decay,Parameter comparison: cnn_weight_decay — stage1_regularization_factor=weight_decay,figures/14_cnn_weight_decay_stage1_regularization_factor_weight_decay_boxplots.png,tables/plot_14_cnn_weight_decay_stage1_regularization_factor_weight_decay.csv,Marginal config-repeat association; shared participants and uncontrolled co-parameters prevent a causal ablation claim.
