descriptive_rank,overfit_config_id,overfit_config_name,model,resolved_model,overfit_stage,stage1_screen_group,stage1_regularization_factor,stage1_regularization_value,cnn_epochs,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,max_windows_fraction,sqi_mode,aggregation,manual_features,loss_type,class_weight_mode,n_runs,seeds,window_balanced_accuracy_n_repeats,window_balanced_accuracy_mean,window_balanced_accuracy_sample_sd,window_balanced_accuracy_repeat_t_ci95_low,window_balanced_accuracy_repeat_t_ci95_high,window_balanced_accuracy_repeat_t_ci95_method,window_macro_f1_n_repeats,window_macro_f1_mean,window_macro_f1_sample_sd,window_macro_f1_repeat_t_ci95_low,window_macro_f1_repeat_t_ci95_high,window_macro_f1_repeat_t_ci95_method,file_balanced_accuracy_n_repeats,file_balanced_accuracy_mean,file_balanced_accuracy_sample_sd,file_balanced_accuracy_repeat_t_ci95_low,file_balanced_accuracy_repeat_t_ci95_high,file_balanced_accuracy_repeat_t_ci95_method,file_macro_f1_n_repeats,file_macro_f1_mean,file_macro_f1_sample_sd,file_macro_f1_repeat_t_ci95_low,file_macro_f1_repeat_t_ci95_high,file_macro_f1_repeat_t_ci95_method,subject_balanced_accuracy_n_repeats,subject_balanced_accuracy_mean,subject_balanced_accuracy_sample_sd,subject_balanced_accuracy_repeat_t_ci95_low,subject_balanced_accuracy_repeat_t_ci95_high,subject_balanced_accuracy_repeat_t_ci95_method,subject_macro_f1_n_repeats,subject_macro_f1_mean,subject_macro_f1_sample_sd,subject_macro_f1_repeat_t_ci95_low,subject_macro_f1_repeat_t_ci95_high,subject_macro_f1_repeat_t_ci95_method,duration_sec_n_repeats,duration_sec_mean,duration_sec_sample_sd,duration_sec_repeat_t_ci95_low,duration_sec_repeat_t_ci95_high,duration_sec_repeat_t_ci95_method,source_study,formal_v2_selection_eligible
1,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,inceptiontime,inception_time,stage1,quality_combo,sqi_aggregation,top50_quality_quality_weighted_mean,15,0.001,0.005,0.5,0.2,0.9,top50_quality,quality_weighted_mean,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5193057277226157,0.026824328006578125,0.48599892536083866,0.5526125300843928,two_sided_student_t_0.95,5,0.5156204697289245,0.026044193129166133,0.483282332758173,0.547958606699676,two_sided_student_t_0.95,5,0.5644444444444444,0.026194050047434764,0.531920235533397,0.5969686533554919,two_sided_student_t_0.95,5,0.5560949417679524,0.02351516920258889,0.5268970027574278,0.585292880778477,two_sided_student_t_0.95,5,0.6101851851851852,0.061453864837204136,0.5338801336663485,0.6864902367040219,two_sided_student_t_0.95,5,0.6039883573216906,0.06050733526861957,0.5288585774914007,0.6791181371519805,two_sided_student_t_0.95,5,400.9502202016767,0.07208858597785678,400.86071039978657,401.03973000356683,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
2,s1_102,main_effect_sqi_mode-top50_quality_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,inceptiontime,inception_time,stage1,main_effect,sqi_mode,top50_quality,15,0.001,0.005,0.5,0.2,0.9,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.520279966453413,0.025336433527071062,0.488820629099966,0.55173930380686,two_sided_student_t_0.95,5,0.5160745729762645,0.024175849894071583,0.4860562905368174,0.5460928554157115,two_sided_student_t_0.95,5,0.5805555555555555,0.016756445435975792,0.5597496805198385,0.6013614305912725,two_sided_student_t_0.95,5,0.5694473500972357,0.013552591672349096,0.5526195849353236,0.5862751152591478,two_sided_student_t_0.95,5,0.6101851851851852,0.020807597272448363,0.5843491407628632,0.6360212296075072,two_sided_student_t_0.95,5,0.6012339544513459,0.0201931768060333,0.576160813801931,0.6263070951007608,two_sided_student_t_0.95,5,395.0220142561942,0.07977197566168769,394.92296426594953,395.1210642464389,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
3,s1_121,quality_combo_sqi_aggregation-top70_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop70_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,inceptiontime,inception_time,stage1,quality_combo,sqi_aggregation,top70_quality_quality_weighted_mean,15,0.001,0.005,0.5,0.2,0.9,top70_quality,quality_weighted_mean,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5054458931322434,0.034868245798910485,0.4621512476432165,0.5487405386212703,two_sided_student_t_0.95,5,0.5026271681482759,0.038914450605573005,0.45430849582145716,0.5509458404750947,two_sided_student_t_0.95,5,0.549074074074074,0.04451190867304416,0.49380523958342115,0.6043429085647269,two_sided_student_t_0.95,5,0.5432794378662293,0.045422358194095576,0.486880130983105,0.5996787447493537,two_sided_student_t_0.95,5,0.5925925925925926,0.08249319296854385,0.49016376478667556,0.6950214203985096,two_sided_student_t_0.95,5,0.5873073569565694,0.08433293608833721,0.48259418635286194,0.6920205275602769,two_sided_student_t_0.95,5,538.3218986376189,0.5246783835024714,537.6704243781882,538.9733728970497,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
4,s1_055,main_effect_label_smoothing-0p3_lr0.001_wd0.005_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,inceptiontime,inception_time,stage1,main_effect,label_smoothing,0.3,10,0.001,0.005,0.5,0.3,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5029764552462291,0.03486834615338061,0.45968168515066965,0.5462712253417886,two_sided_student_t_0.95,5,0.4960687710771201,0.034527513558464284,0.4531972005440826,0.5389403416101576,two_sided_student_t_0.95,5,0.5237037037037037,0.04571205428244867,0.46694469161725083,0.5804627157901565,two_sided_student_t_0.95,5,0.5148066763338328,0.05029443310599714,0.45235788943604854,0.5772554632316171,two_sided_student_t_0.95,5,0.5796296296296297,0.053831266124994934,0.5127892845044976,0.6464699747547619,two_sided_student_t_0.95,5,0.5668447201034359,0.06446094344991829,0.48680588733142344,0.6468835528754483,two_sided_student_t_0.95,5,488.6132306108251,0.31610299535983155,488.22073690176245,489.00572431988775,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
5,s1_075,focused_combo_combined_regularization-wd0p01_do0p5_ls0p3_mw0p9_lr0.001_wd0.01_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,inceptiontime,inception_time,stage1,focused_combo,combined_regularization,wd0.01_do0.5_ls0.3_mw0.9,10,0.001,0.01,0.5,0.3,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.497735139382956,0.030911996470216824,0.4593528262532859,0.5361174525126261,two_sided_student_t_0.95,5,0.48980126858148043,0.034786572495346425,0.44660803389310344,0.5329945032698574,two_sided_student_t_0.95,5,0.5251851851851852,0.03197730462334087,0.485480117274788,0.5648902530955824,two_sided_student_t_0.95,5,0.5147171192347911,0.03792416410743187,0.46762805000062146,0.5618061884689608,two_sided_student_t_0.95,5,0.5796296296296296,0.05597832963034018,0.510123353048053,0.6491359062112062,two_sided_student_t_0.95,5,0.5686845507433743,0.06778870264412998,0.48451375918521766,0.652855342301531,two_sided_student_t_0.95,5,488.69576523844154,0.4524764147359161,488.13394156422765,489.2575889126554,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
6,s1_061,main_effect_aggregation-quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep10,inceptiontime,inception_time,stage1,main_effect,aggregation,quality_weighted_mean,10,0.001,0.005,0.5,0.2,0.9,none,quality_weighted_mean,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5065898917349402,0.03199366424942231,0.4668645106658136,0.5463152728040668,two_sided_student_t_0.95,5,0.5021103370303409,0.032057316511021304,0.4623059212395826,0.5419147528210992,two_sided_student_t_0.95,5,0.5409259259259259,0.05587255240708855,0.4715509891142909,0.610300862737561,two_sided_student_t_0.95,5,0.5337645026309191,0.05973995883855955,0.4595875464869048,0.6079414587749334,two_sided_student_t_0.95,5,0.5777777777777777,0.05730277202505854,0.5066269887569846,0.6489285667985708,two_sided_student_t_0.95,5,0.5755028513312267,0.06485297628784427,0.49497724549824795,0.6560284571642054,two_sided_student_t_0.95,5,488.4181493367534,0.29698949412521986,488.0493881740534,488.7869104994534,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
7,s1_054,main_effect_label_smoothing-0p15_lr0.001_wd0.005_do0.5_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,inceptiontime,inception_time,stage1,main_effect,label_smoothing,0.15,10,0.001,0.005,0.5,0.15,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5061536043227165,0.04232599280729784,0.4535989428656632,0.5587082657797698,two_sided_student_t_0.95,5,0.4996852934024716,0.041142805694823245,0.4485997527861167,0.5507708340188265,two_sided_student_t_0.95,5,0.5351851851851851,0.0527818387001689,0.4696478763121871,0.6007224940581831,two_sided_student_t_0.95,5,0.5252013042028569,0.053304223055492886,0.4590153694826282,0.5913872389230856,two_sided_student_t_0.95,5,0.575,0.060220787190774484,0.5002260166017247,0.6497739833982752,two_sided_student_t_0.95,5,0.5633248081841432,0.07427244799148691,0.47110338345465225,0.6555462329136341,two_sided_student_t_0.95,5,489.12417036020196,0.8650324621280091,488.05009069470003,490.1982500257039,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
8,s1_033,focused_combo_combined_regularization-wd0p01_do0p5_ls0p3_mw0p9_lr0.001_wd0.01_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,stage1,focused_combo,combined_regularization,wd0.01_do0.5_ls0.3_mw0.9,9,0.001,0.01,0.5,0.3,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5147188841941344,0.038487402882218066,0.46693046165092034,0.5625073067373484,two_sided_student_t_0.95,5,0.5050013947497355,0.044790763052266064,0.44938631681566127,0.5606164726838097,two_sided_student_t_0.95,5,0.552962962962963,0.0508602269815476,0.4898116501795035,0.6161142757464224,two_sided_student_t_0.95,5,0.5398223443967314,0.053730030810838256,0.4731076995165344,0.6065369892769283,two_sided_student_t_0.95,5,0.5731481481481482,0.04323191677751388,0.5194686335121678,0.6268276627841286,two_sided_student_t_0.95,5,0.5555138722173317,0.049060644513811716,0.4945970361958586,0.6164307082388049,two_sided_student_t_0.95,5,440.77646427792496,0.3319347494658543,440.36431284976044,441.1886157060895,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
9,s1_099,main_effect_max_windows_fraction-0p7_lr0.001_wd0.005_do0.5_ls0.2_mw70_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,inceptiontime,inception_time,stage1,main_effect,max_windows_fraction,0.7,15,0.001,0.005,0.5,0.2,0.7,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.526550138831716,0.03429091150366901,0.48397234855201876,0.5691279291114132,two_sided_student_t_0.95,5,0.5224886652022815,0.034181951293109414,0.4800461668932729,0.5649311635112901,two_sided_student_t_0.95,5,0.547962962962963,0.04574861230814234,0.4911585580921609,0.6047673678337651,two_sided_student_t_0.95,5,0.5383938866420325,0.04340285294226668,0.4845021267242875,0.5922856465597774,two_sided_student_t_0.95,5,0.5731481481481481,0.05645491178340359,0.5030501166649263,0.6432461796313699,two_sided_student_t_0.95,5,0.5627801200409895,0.052114069565275145,0.4980719560619008,0.6274882840200783,two_sided_student_t_0.95,5,566.4911339507438,0.2094075090627954,566.231120185787,566.7511477157007,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
10,s1_067,focused_combo_combined_regularization-wd0p005_do0p4_ls0p15_mw0p9_lr0.001_wd0.005_do0.4_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,inceptiontime,inception_time,stage1,focused_combo,combined_regularization,wd0.005_do0.4_ls0.15_mw0.9,10,0.001,0.005,0.4,0.15,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5109585372921716,0.022736771257138633,0.48272710698678833,0.5391899675975548,two_sided_student_t_0.95,5,0.5018860120447528,0.0223059479205196,0.47418951956603544,0.5295825045234701,two_sided_student_t_0.95,5,0.5398148148148149,0.04342484007171209,0.4858957542700137,0.593733875359616,two_sided_student_t_0.95,5,0.5272331235590293,0.04251598631273147,0.4744425540063865,0.580023693111672,two_sided_student_t_0.95,5,0.5722222222222222,0.04554953287499571,0.5156650071163411,0.6287794373281033,two_sided_student_t_0.95,5,0.554863683078113,0.05078412903129859,0.49180685837981475,0.6179205077764112,two_sided_student_t_0.95,5,488.39988420573064,0.1942996961967704,488.1586292681012,488.6411391433601,two_sided_student_t_0.95,20260625_2320_overfitting_sweep_stage1_rank2,False
