source_study,comparison_family,comparison_id,comparison_role,factor,epoch,reference_case_id,candidate_case_id,metric,candidate_minus_reference,point_delta_source,participant_cluster_delta_ci95_low,participant_cluster_delta_ci95_high,participant_cluster_ci_applicability,participant_cluster_ci_unavailability_reason,raw_two_sided_p_value,holm_adjusted_p_value,p_value_applicability,inference_role,automatic_selection
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=aggregation:epoch=9:s1_019_vs_s1_001:signal=1,exploratory_post_hoc_factor_signal_not_ablation,aggregation,9,s1_001,s1_019,balanced_accuracy,0.028703703703703697,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=aggregation:epoch=9:s1_019_vs_s1_001:signal=1,exploratory_post_hoc_factor_signal_not_ablation,aggregation,9,s1_001,s1_019,macro_f1,0.026513831402241707,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=aggregation:epoch=9:s1_019_vs_s1_001:signal=1,exploratory_post_hoc_factor_signal_not_ablation,aggregation,9,s1_001,s1_019,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=class_weight_mode:epoch=9:s1_024_vs_s1_001:signal=2,exploratory_post_hoc_factor_signal_not_ablation,class_weight_mode,9,s1_001,s1_024,balanced_accuracy,0.025925925925925897,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=class_weight_mode:epoch=9:s1_024_vs_s1_001:signal=2,exploratory_post_hoc_factor_signal_not_ablation,class_weight_mode,9,s1_001,s1_024,macro_f1,0.02305441066862527,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=class_weight_mode:epoch=9:s1_024_vs_s1_001:signal=2,exploratory_post_hoc_factor_signal_not_ablation,class_weight_mode,9,s1_001,s1_024,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=combined_regularization:epoch=9:s1_033_vs_s1_001:signal=3,exploratory_post_hoc_factor_signal_not_ablation,combined_regularization,9,s1_001,s1_033,balanced_accuracy,0.043518518518518526,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=combined_regularization:epoch=9:s1_033_vs_s1_001:signal=3,exploratory_post_hoc_factor_signal_not_ablation,combined_regularization,9,s1_001,s1_033,macro_f1,0.030728190401901567,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=combined_regularization:epoch=9:s1_033_vs_s1_001:signal=3,exploratory_post_hoc_factor_signal_not_ablation,combined_regularization,9,s1_001,s1_033,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=dropout:epoch=9:s1_008_vs_s1_001:signal=4,exploratory_post_hoc_factor_signal_not_ablation,dropout,9,s1_001,s1_008,balanced_accuracy,0.018518518518518535,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=dropout:epoch=9:s1_008_vs_s1_001:signal=4,exploratory_post_hoc_factor_signal_not_ablation,dropout,9,s1_001,s1_008,macro_f1,0.014311896082659347,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=dropout:epoch=9:s1_008_vs_s1_001:signal=4,exploratory_post_hoc_factor_signal_not_ablation,dropout,9,s1_001,s1_008,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=label_smoothing:epoch=9:s1_013_vs_s1_001:signal=5,exploratory_post_hoc_factor_signal_not_ablation,label_smoothing,9,s1_001,s1_013,balanced_accuracy,0.020370370370370372,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=label_smoothing:epoch=9:s1_013_vs_s1_001:signal=5,exploratory_post_hoc_factor_signal_not_ablation,label_smoothing,9,s1_001,s1_013,macro_f1,0.010232270075586802,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=label_smoothing:epoch=9:s1_013_vs_s1_001:signal=5,exploratory_post_hoc_factor_signal_not_ablation,label_smoothing,9,s1_001,s1_013,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=loss_type:epoch=9:s1_022_vs_s1_001:signal=6,exploratory_post_hoc_factor_signal_not_ablation,loss_type,9,s1_001,s1_022,balanced_accuracy,0.02870370370370371,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=loss_type:epoch=9:s1_022_vs_s1_001:signal=6,exploratory_post_hoc_factor_signal_not_ablation,loss_type,9,s1_001,s1_022,macro_f1,0.018217156534157508,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=loss_type:epoch=9:s1_022_vs_s1_001:signal=6,exploratory_post_hoc_factor_signal_not_ablation,loss_type,9,s1_001,s1_022,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_features:epoch=9:s1_020_vs_s1_001:signal=7,exploratory_post_hoc_factor_signal_not_ablation,manual_features,9,s1_001,s1_020,balanced_accuracy,-0.13148148148148148,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_features:epoch=9:s1_020_vs_s1_001:signal=7,exploratory_post_hoc_factor_signal_not_ablation,manual_features,9,s1_001,s1_020,macro_f1,-0.13987535451043326,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_features:epoch=9:s1_020_vs_s1_001:signal=7,exploratory_post_hoc_factor_signal_not_ablation,manual_features,9,s1_001,s1_020,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_loss:epoch=9:s1_040_vs_s1_001:signal=8,exploratory_post_hoc_factor_signal_not_ablation,manual_loss,9,s1_001,s1_040,balanced_accuracy,-0.07314814814814816,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_loss:epoch=9:s1_040_vs_s1_001:signal=8,exploratory_post_hoc_factor_signal_not_ablation,manual_loss,9,s1_001,s1_040,macro_f1,-0.07721436053863029,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=manual_loss:epoch=9:s1_040_vs_s1_001:signal=8,exploratory_post_hoc_factor_signal_not_ablation,manual_loss,9,s1_001,s1_040,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2_factor_signals,20260625_2320_overfitting_sweep_stage1_rank2:factor=max_windows_fraction:epoch=9:s1_015_vs_s1_001:signal=9,exploratory_post_hoc_factor_signal_not_ablation,max_windows_fraction,9,s1_001,s1_015,balanced_accuracy,0.0009259259259259301,mean_of_five_matched_aggregate_repeat_deltas,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",,,N/A_matched_participant_level_predictions_not_archived,exploratory_legacy_not_formal_v2_inference,False
