source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_count,config_repeat_row_count,repeat_seed_count,within_seed_aggregation,interpretation,subject_balanced_accuracy_n_repeats,subject_balanced_accuracy_mean,subject_balanced_accuracy_sample_sd,subject_balanced_accuracy_repeat_t_ci95_low,subject_balanced_accuracy_repeat_t_ci95_high,subject_balanced_accuracy_repeat_t_ci95_method,subject_macro_f1_n_repeats,subject_macro_f1_mean,subject_macro_f1_sample_sd,subject_macro_f1_repeat_t_ci95_low,subject_macro_f1_repeat_t_ci95_high,subject_macro_f1_repeat_t_ci95_method,subject_macro_roc_auc_ovr_mean,subject_macro_roc_auc_ovr_sample_sd,subject_macro_roc_auc_ovr_repeat_t_ci95_low,subject_macro_roc_auc_ovr_repeat_t_ci95_high,subject_macro_roc_auc_ovr_applicability,formal_v2_p_value,formal_v2_p_value_applicability
20260625_2320_overfitting_sweep_stage1_rank2,training_budget,cnn_epochs,all_archived_config_repeats,9,inception_time,9,43,215,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5200689061154178,0.04308815929998336,0.46656788996375964,0.5735699222670759,two_sided_student_t_0.95,5,0.5115372496251428,0.04650655719876714,0.45379173187102945,0.5692827673792562,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10,43,215,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5356804478897502,0.03613600305820684,0.4908116738533936,0.5805492219261068,two_sided_student_t_0.95,5,0.5235356808239561,0.03788271458909887,0.47649807796444343,0.5705732836834687,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,training_budget,cnn_epochs,all_archived_config_repeats,15,inception_time,15,43,215,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5203488372093024,0.03612600919082245,0.4754924721982797,0.565205202220325,two_sided_student_t_0.95,5,0.5077931557005153,0.03608016505245992,0.46299371370562614,0.5525925976954045,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,0.005,inception_time,0.005,90,450,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5195987654320988,0.03442301736911891,0.4768569440553209,0.5623405868088767,two_sided_student_t_0.95,5,0.5083222804501861,0.034092885545354785,0.4659903718736375,0.5506541890267348,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,0.001,inception_time,0.001,3,15,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5549382716049382,0.06018122810669805,0.48021340729716266,0.6296631359127138,two_sided_student_t_0.95,5,0.5465907086581321,0.06539438143077454,0.4653928595507344,0.6277885577655298,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,0.002,inception_time,0.002,3,15,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5530864197530864,0.08785866678055176,0.44399547628149405,0.6621773632246787,two_sided_student_t_0.95,5,0.5443414787148653,0.09463204210332532,0.42684027895866317,0.6618426784710674,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,0.01,inception_time,0.01,27,135,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5368998628257888,0.043043771082338166,0.48345396192592516,0.5903457637256525,two_sided_student_t_0.95,5,0.5261246744504406,0.04755277755190116,0.4670801025496527,0.5851692463512286,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,0.02,inception_time,0.02,3,15,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5447530864197531,0.06464004950964737,0.4644918641015149,0.6250143087379912,two_sided_student_t_0.95,5,0.5341971565501725,0.06662554128458069,0.45147062057626997,0.6169236925240751,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_weight_decay,all_archived_config_repeats,0.0001,inception_time,0.0001,3,15,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5179012345679013,0.032326471537718914,0.4777626186705569,0.5580398504652456,two_sided_student_t_0.95,5,0.5044940739950836,0.03810326510203026,0.4571826215038787,0.5518055264862886,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,all_archived_config_repeats,0.5,inception_time,0.5,84,420,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5203483245149911,0.037886241042495335,0.47330634298525476,0.5673903060447275,two_sided_student_t_0.95,5,0.5093817624939034,0.038179632761533695,0.461975487029266,0.5567880379585408,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
