source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_003,inception_time,s1_003,s1_003,1,42,0.6620370370370371,0.6537878787878788,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_003,inception_time,s1_003,s1_003,2,10042,0.4629629629629629,0.4577200577200577,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_003,inception_time,s1_003,s1_003,3,20042,0.5370370370370371,0.5124183006535947,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_003,inception_time,s1_003,s1_003,4,30042,0.5555555555555555,0.5548654244306418,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_003,inception_time,s1_003,s1_003,5,40042,0.6342592592592592,0.6248196248196248,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_033,inception_time,s1_033,s1_033,1,42,0.5972222222222222,0.603425985778927,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_033,inception_time,s1_033,s1_033,2,10042,0.5,0.4838468720821662,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_033,inception_time,s1_033,s1_033,3,20042,0.5740740740740741,0.5389016018306636,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_033,inception_time,s1_033,s1_033,4,30042,0.611111111111111,0.5992063492063492,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_033,inception_time,s1_033,s1_033,5,40042,0.5833333333333334,0.5521885521885522,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,s1_054,inception_time,s1_054,s1_054,1,42,0.6620370370370371,0.6658730158730158,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
