source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_006,1,42,0.6435185185185185,0.6527777777777777,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_006,2,10042,0.4490740740740741,0.4484126984126984,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_006,3,20042,0.4490740740740741,0.4476608187134503,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_006,4,30042,0.5833333333333334,0.584920634920635,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.3,inception_time,0.3,s1_006,5,40042,0.5462962962962963,0.5473429951690821,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_007,1,42,0.412037037037037,0.3778621125869703,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_007,2,10042,0.4861111111111111,0.4782608695652173,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_007,3,20042,0.4398148148148148,0.4448514448514448,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_007,4,30042,0.5231481481481481,0.5379928315412187,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.4,inception_time,0.4,s1_007,5,40042,0.5,0.4841269841269841,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_008,1,42,0.5601851851851852,0.5588235294117648,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_008,2,10042,0.4583333333333333,0.445021645021645,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_008,3,20042,0.5370370370370371,0.5140096618357487,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_008,4,30042,0.5879629629629629,0.5910784313725491,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.6,inception_time,0.6,s1_008,5,40042,0.5972222222222222,0.5865546218487395,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_009,1,42,0.5462962962962963,0.5585721468074408,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_009,2,10042,0.5231481481481481,0.507070707070707,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_009,3,20042,0.3611111111111111,0.3603821015585721,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_009,4,30042,0.5972222222222222,0.5922136970730322,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_dropout,stage1_regularization_factor=dropout,0.7,inception_time,0.7,s1_009,5,40042,0.5972222222222222,0.5901515151515152,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
