source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.05,inception_time,0.05,s1_010,1,42,0.6620370370370371,0.6565656565656566,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.05,inception_time,0.05,s1_010,2,10042,0.5185185185185185,0.5259147869674184,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.05,inception_time,0.05,s1_010,3,20042,0.4583333333333333,0.4424603174603174,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.05,inception_time,0.05,s1_010,4,30042,0.5370370370370371,0.5121212121212121,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.05,inception_time,0.05,s1_010,5,40042,0.5648148148148148,0.5486291486291486,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.1,inception_time,0.1,s1_011,1,42,0.4675925925925925,0.4761904761904762,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.1,inception_time,0.1,s1_011,2,10042,0.4861111111111111,0.4753246753246753,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.1,inception_time,0.1,s1_011,3,20042,0.5138888888888888,0.5094393592677345,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.1,inception_time,0.1,s1_011,4,30042,0.5555555555555555,0.55007215007215,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.1,inception_time,0.1,s1_011,5,40042,0.5416666666666666,0.5198879551820729,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.15,inception_time,0.15,s1_012,1,42,0.5555555555555556,0.5481146304675716,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.15,inception_time,0.15,s1_012,2,10042,0.5138888888888888,0.5095238095238096,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.15,inception_time,0.15,s1_012,3,20042,0.4675925925925925,0.4350314288394784,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.15,inception_time,0.15,s1_012,4,30042,0.5833333333333334,0.584920634920635,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.15,inception_time,0.15,s1_012,5,40042,0.5787037037037037,0.5485505206867436,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.3,inception_time,0.3,s1_013,1,42,0.6018518518518519,0.6083333333333333,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,cnn_label_smoothing,stage1_regularization_factor=label_smoothing,0.3,inception_time,0.3,s1_013,2,10042,0.4305555555555555,0.4081232492997199,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
