source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,balanced_softmax,inception_time,balanced_softmax,s1_022,1,42,0.6157407407407408,0.6157407407407408,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,balanced_softmax,inception_time,balanced_softmax,s1_022,2,10042,0.4629629629629629,0.4545454545454546,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,balanced_softmax,inception_time,balanced_softmax,s1_022,3,20042,0.5462962962962963,0.4976470588235294,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,balanced_softmax,inception_time,balanced_softmax,s1_022,4,30042,0.625,0.6271929824561403,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,balanced_softmax,inception_time,balanced_softmax,s1_022,5,40042,0.5416666666666666,0.5198879551820729,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_023,1,42,0.4907407407407407,0.4842662211083263,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_023,2,10042,0.4629629629629629,0.458047292143402,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_023,3,20042,0.5185185185185185,0.4858523119392684,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_023,4,30042,0.5694444444444444,0.5695006747638326,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,focal_loss,inception_time,focal_loss,s1_023,5,40042,0.5787037037037037,0.5688659166920037,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,balanced_softmax,inception_time,balanced_softmax,s1_064,1,42,0.5694444444444444,0.5589225589225589,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,optimization_and_regularization,loss_type,stage1_regularization_factor=loss_type,balanced_softmax,inception_time,balanced_softmax,s1_064,2,10042,0.5879629629629629,0.5836382399849892,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
