source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_020,1,42,0.3564814814814814,0.3358664039778591,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_020,2,10042,0.4305555555555555,0.4187742729942219,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_020,3,20042,0.3935185185185185,0.379558586719712,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_020,4,30042,0.3935185185185185,0.3796296296296296,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_020,5,40042,0.4166666666666667,0.4107227432035616,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_021,1,42,0.3425925925925925,0.3022727272727272,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_021,2,10042,0.3657407407407407,0.3457284515636918,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_021,3,20042,0.4583333333333333,0.4490740740740741,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_021,4,30042,0.4027777777777777,0.3795518207282913,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_021,5,40042,0.412037037037037,0.4151960784313726,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_062,1,42,0.3564814814814814,0.3434343434343434,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_062,2,10042,0.3518518518518518,0.3464052287581698,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_062,3,20042,0.4583333333333333,0.4490740740740741,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_062,4,30042,0.3935185185185185,0.3796296296296296,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_062,5,40042,0.4166666666666667,0.4107744107744107,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_063,1,42,0.3055555555555555,0.2510822510822511,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_063,2,10042,0.3657407407407407,0.3457284515636918,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_063,3,20042,0.4212962962962963,0.4074074074074074,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_063,4,30042,0.4444444444444444,0.4081232492997199,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_063,5,40042,0.4629629629629629,0.4535134628013885,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_104,1,42,0.3564814814814814,0.3330472921434019,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_104,2,10042,0.4166666666666667,0.4176470588235294,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_104,3,20042,0.3935185185185185,0.379558586719712,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_104,4,30042,0.4351851851851852,0.4098016781083142,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology,inception_time,morphology,s1_104,5,40042,0.4861111111111111,0.4767452874869755,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_105,1,42,0.3796296296296296,0.3495637489445539,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_105,2,10042,0.4027777777777777,0.3897887657478451,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_105,3,20042,0.3935185185185185,0.375438596491228,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_105,4,30042,0.4351851851851852,0.4005772005772006,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,stage1_regularization_factor=manual_features,morphology_ppi_hrv_filelevel,inception_time,morphology_ppi_hrv_filelevel,s1_105,5,40042,0.4537037037037037,0.4499384294780714,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
