source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_017,1,42,0.6157407407407407,0.5847953216374268,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_017,2,10042,0.5,0.4874847374847375,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_017,3,20042,0.3425925925925925,0.339626239511823,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_017,4,30042,0.6898148148148149,0.68743961352657,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_017,5,40042,0.4768518518518518,0.4933333333333333,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_018,1,42,0.5416666666666666,0.5400501253132832,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_018,2,10042,0.5231481481481481,0.5097105508870214,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_018,3,20042,0.4537037037037037,0.4523809523809524,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_018,4,30042,0.6064814814814815,0.6171802054154996,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_018,5,40042,0.5277777777777778,0.5223171889838556,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_059,1,42,0.5972222222222222,0.5901515151515152,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_059,2,10042,0.5555555555555555,0.5573553092734679,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_059,3,20042,0.4444444444444444,0.4294372294372294,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_059,4,30042,0.6666666666666666,0.6621212121212121,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_059,5,40042,0.4768518518518518,0.4473684210526316,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_060,1,42,0.5416666666666666,0.5182474903837133,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_060,2,10042,0.5,0.4814814814814814,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_060,3,20042,0.4768518518518518,0.4781144781144781,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_060,4,30042,0.6203703703703703,0.5932494279176201,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_060,5,40042,0.625,0.6187259592832349,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_101,1,42,0.5694444444444444,0.5575396825396824,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_101,2,10042,0.4907407407407407,0.4941338854382333,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_101,3,20042,0.4768518518518518,0.4742063492063491,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_101,4,30042,0.6481481481481481,0.6517948717948717,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top70_quality,inception_time,top70_quality,s1_101,5,40042,0.6157407407407407,0.5751633986928105,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_102,1,42,0.6435185185185185,0.6207729468599034,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_102,2,10042,0.611111111111111,0.6133333333333333,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_102,3,20042,0.5925925925925926,0.5793650793650794,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_102,4,30042,0.611111111111111,0.6133333333333333,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,sqi_mode,stage1_regularization_factor=sqi_mode,top50_quality,inception_time,top50_quality,s1_102,5,40042,0.5925925925925926,0.5793650793650794,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
