source_study,row_type,parameter,unique_count,values,role
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,data_root,,PPG_Testing_05_01_2026,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,label_csv,,StudyData_frailtyScored/StudyData_V7_standard.csv,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,study_dir,,StudyData,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,young_dir,,TestDataYoungers,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,fs,,400.0,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,win_sec,,10.0,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,hop_sec,,5.0,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,folds,,1,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_target_fs,,400.0,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_seq_sec,,5.0,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_hop_sec,,2.5,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_max_windows_per_file,,6,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_max_windows_fraction,,0.9,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_epochs,,10,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_batch_size,,32,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_lr,,0.001,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_patience,,0,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_num_workers,,0,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_weight_decay,,0.005,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_dropout,,0.5,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_label_smoothing,,0.2,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,cnn_select_best_epoch,,False,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,window_sampler,,none,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,windows_per_subject_per_epoch,,all,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,train_overlap_pct,,0.0,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,role_mode,,static_only,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,extra_input,,0,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,manual_features,,none,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,sqi_mode,,none,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,aggregation,,mean_prob,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,loss_type,,weighted_ce,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,class_weight_mode,,inverse_subject_count,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,class_weight_beta,,0.999,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,focal_gamma,,2.0,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_num_shapelets,,3,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_shapelet_len,,128,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_shapelet_stride,,64,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_local_window,,64,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_local_embed_dim,,48,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_shape_embed_dim,,128,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_dim_ff,,256,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_heads,,4,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_dropout,,0.3,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_discovery_method,,effect_size,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_discovery_windows,,180,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_candidates_per_class_channel,,8,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_num_pip,,0.2,fixed_or_candidate_specific_see_run_table
20260630_0630_overfitting_sweep_generalization_rank2,archived_first_report_parameter,shapeformer_processes,,1,fixed_or_candidate_specific_see_run_table
