source_study,classifier_id,case_id,config_name,model,resolved_model,class_label,metric_scope,expected_repeat_count,split_seeds,precision_n_repeats_available,precision_mean,precision_sample_sd,precision_repeat_t_ci95_low,precision_repeat_t_ci95_high,precision_repeat_t_ci95_method,precision_applicability,sensitivity_n_repeats_available,sensitivity_mean,sensitivity_sample_sd,sensitivity_repeat_t_ci95_low,sensitivity_repeat_t_ci95_high,sensitivity_repeat_t_ci95_method,sensitivity_applicability,specificity_n_repeats_available,specificity_mean,specificity_sample_sd,specificity_repeat_t_ci95_low,specificity_repeat_t_ci95_high,specificity_repeat_t_ci95_method,specificity_applicability,balanced_accuracy_n_repeats_available,balanced_accuracy_mean,balanced_accuracy_sample_sd,balanced_accuracy_repeat_t_ci95_low,balanced_accuracy_repeat_t_ci95_high,balanced_accuracy_repeat_t_ci95_method,balanced_accuracy_applicability,f1_n_repeats_available,f1_mean,f1_sample_sd,f1_repeat_t_ci95_low,f1_repeat_t_ci95_high,f1_repeat_t_ci95_method,f1_applicability,support_n_repeats_available,support_mean,support_sample_sd,support_repeat_t_ci95_low,support_repeat_t_ci95_high,support_repeat_t_ci95_method,support_applicability,predicted_support_n_repeats_available,predicted_support_mean,predicted_support_sample_sd,predicted_support_repeat_t_ci95_low,predicted_support_repeat_t_ci95_high,predicted_support_repeat_t_ci95_method,predicted_support_applicability,true_positive_n_repeats_available,true_positive_mean,true_positive_sample_sd,true_positive_repeat_t_ci95_low,true_positive_repeat_t_ci95_high,true_positive_repeat_t_ci95_method,true_positive_applicability,false_positive_n_repeats_available,false_positive_mean,false_positive_sample_sd,false_positive_repeat_t_ci95_low,false_positive_repeat_t_ci95_high,false_positive_repeat_t_ci95_method,false_positive_applicability,false_negative_n_repeats_available,false_negative_mean,false_negative_sample_sd,false_negative_repeat_t_ci95_low,false_negative_repeat_t_ci95_high,false_negative_repeat_t_ci95_method,false_negative_applicability,true_negative_n_repeats_available,true_negative_mean,true_negative_sample_sd,true_negative_repeat_t_ci95_low,true_negative_repeat_t_ci95_high,true_negative_repeat_t_ci95_method,true_negative_applicability,roc_auc,pr_auc,confusion_count_applicability,roc_auc_applicability,pr_auc_applicability
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_001,gen_001,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,pre_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5444444444444445,0.07737285409406269,0.448373357077574,0.640515531811315,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.711111111111111,0.12668615834434865,0.5538094692241916,0.8684127529980304,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.72,0.10368220676663861,0.5912615366035459,0.8487384633964541,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.7155555555555555,0.04447047848618365,0.6603381634363661,0.7707729476747449,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6088080808080808,0.054610810079068525,0.540999804020158,0.6766163575960036,two_sided_student_t_0.95,available_all_five_archived_repeats,5,9.0,0.0,9.0,9.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.0,3.0,8.2750080053887,15.7249919946113,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.4,1.1401754250991378,4.984285223017726,7.815714776982275,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.6,2.073644135332772,3.0252307320709177,8.174769267929081,two_sided_student_t_0.95,available_all_five_archived_repeats,5,2.6,1.140175425099138,1.1842852230177252,4.015714776982275,two_sided_student_t_0.95,available_all_five_archived_repeats,5,14.4,2.073644135332772,11.825230732070919,16.974769267929084,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_001,gen_001,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,robust_non_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5866666666666667,0.14706642668978906,0.40405957930148206,0.7692737540318513,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.4666666666666667,0.09501461875826152,0.3486904352514771,0.5846428980818562,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.7411764705882353,0.1354219345084863,0.5730279299419396,0.909325011234531,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6039215686274509,0.057339323001952026,0.53272539557455,0.6751177416803519,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.5082020202020202,0.06858602222500228,0.4230412256252315,0.5933628147788089,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.0,0.0,12.0,12.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,10.0,3.082207001484488,6.1729345312451285,13.82706546875487,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.6,1.1401754250991378,4.184285223017725,7.015714776982274,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.4,2.3021728866442674,1.541474809012973,7.258525190987028,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.4,1.1401754250991378,4.984285223017726,7.815714776982275,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.6,2.3021728866442674,9.741474809012972,15.458525190987027,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_001,gen_001,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,young,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5630952380952381,0.14108524143748674,0.3879147731244246,0.7382757030660516,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.5,0.15309310892394862,0.30990979827604526,0.6900902017239547,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.8571428571428571,0.03367175148507369,0.8153338555673769,0.8989518587183373,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6785714285714286,0.09151483250905831,0.5649407557432833,0.7922021013995739,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.5288095238095238,0.14781189400406955,0.3452768165183595,0.7123422311006882,two_sided_student_t_0.95,available_all_five_archived_repeats,5,8.0,0.0,8.0,8.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,7.0,0.7071067811865476,6.122010966914916,7.877989033085084,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.0,1.224744871391589,2.479278386208362,5.520721613791638,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.0,0.7071067811865476,2.1220109669149156,3.8779890330850844,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.0,1.224744871391589,2.479278386208362,5.520721613791638,two_sided_student_t_0.95,available_all_five_archived_repeats,5,18.0,0.7071067811865476,17.122010966914914,18.877989033085086,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_002,gen_002,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov30,inceptiontime,inception_time,pre_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.6051648351648352,0.12708210388517774,0.447371561954619,0.7629581083750514,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.6,0.16850834320114558,0.39076925685017305,0.8092307431498269,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.7899999999999999,0.13874436925511607,0.6177261117424327,0.9622738882575671,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6950000000000001,0.04209960264907355,0.6427264390519615,0.7472735609480387,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.5744535213070682,0.0717313314742788,0.48538730947223546,0.6635197331419009,two_sided_student_t_0.95,available_all_five_archived_repeats,5,9.0,0.0,9.0,9.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,9.6,4.159326868617084,4.435513570476559,14.76448642952344,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.4,1.51657508881031,3.5169233116515586,7.283076688348443,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.2,2.7748873851023217,0.7545222348486567,7.645477765151344,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.6,1.51657508881031,1.7169233116515583,5.483076688348442,two_sided_student_t_0.95,available_all_five_archived_repeats,5,15.8,2.7748873851023212,12.354522234848657,19.245477765151342,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_002,gen_002,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov30,inceptiontime,inception_time,robust_non_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5194327731092436,0.06104423517167179,0.44363634399869467,0.5952292022197926,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.5333333333333334,0.24008100484813225,0.23523339296082374,0.8314332737058432,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.6588235294117648,0.14043925160368612,0.4844451667607872,0.8332018920627424,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.596078431372549,0.08270742451541511,0.49338359996760245,0.6987732627774955,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.5076746242263483,0.14728032148208117,0.32480195139817136,0.6905472970545253,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.0,0.0,12.0,12.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.2,4.919349550499537,6.091820768564842,18.308179231435155,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.4,2.8809720581775866,2.822800715529884,9.977199284470117,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.8,2.3874672772626644,2.8355678349333795,8.76443216506662,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.6,2.8809720581775866,2.0228007155298835,9.177199284470117,two_sided_student_t_0.95,available_all_five_archived_repeats,5,11.2,2.3874672772626644,8.235567834933379,14.16443216506662,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_002,gen_002,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov30,inceptiontime,inception_time,young,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5055555555555555,0.12445870454011031,0.3510196628650209,0.6600914482460902,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.475,0.2053959590644373,0.21996723225315357,0.7300327677468463,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.8380952380952381,0.05429406786186372,0.7706802487151297,0.9055102274753465,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6565476190476189,0.09356321150155796,0.5403735477698098,0.772721690325428,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.4804812834224599,0.18128004567548944,0.25539237711447027,0.7055701897304495,two_sided_student_t_0.95,available_all_five_archived_repeats,5,8.0,0.0,8.0,8.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,7.2,2.3874672772626644,4.23556783493338,10.164432165066621,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.8,1.6431676725154984,1.7597378580252285,5.840262141974771,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.4,1.140175425099138,1.984285223017725,4.815714776982275,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.2,1.6431676725154984,2.159737858025229,6.240262141974771,two_sided_student_t_0.95,available_all_five_archived_repeats,5,17.6,1.140175425099138,16.184285223017728,19.015714776982275,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_003,gen_003,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplersubject_balanced_wps50pct_trainov00,inceptiontime,inception_time,pre_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.45802197802197797,0.04407538743794107,0.403295156233404,0.512748799810552,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.5555555555555555,0.15713484026367722,0.36044688153664783,0.7506642295744631,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.71,0.05477225575051663,0.6419912619341742,0.7780087380658257,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6327777777777778,0.058741955057272484,0.5598400069990589,0.7057155485564967,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.49687286397812713,0.09230247750906438,0.382264200710109,0.6114815272461452,two_sided_student_t_0.95,available_all_five_archived_repeats,5,9.0,0.0,9.0,9.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,10.8,2.3874672772626644,7.83556783493338,13.764432165066621,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.0,1.4142135623730951,3.2440219338298313,6.755978066170169,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.8,1.0954451150103321,4.439825238683486,7.160174761316513,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.0,1.4142135623730951,2.2440219338298313,5.755978066170169,two_sided_student_t_0.95,available_all_five_archived_repeats,5,14.2,1.0954451150103324,12.839825238683485,15.560174761316514,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_003,gen_003,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplersubject_balanced_wps50pct_trainov00,inceptiontime,inception_time,robust_non_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5,0.039283710065919325,0.4512228314952731,0.5487771685047269,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.4833333333333333,0.12360330811826103,0.32985955558400126,0.6368071110826653,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.6588235294117647,0.08724939396583131,0.550489098059295,0.7671579607642344,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.571078431372549,0.03071069628956289,0.5329460654300288,0.6092107973150692,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.48571428571428565,0.06859457281375209,0.40054287417928286,0.5708856972492884,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.0,0.0,12.0,12.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,11.6,2.8809720581775866,8.022800715529883,15.177199284470117,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.8,1.4832396974191329,3.9583146670080147,7.641685332991985,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.8,1.4832396974191326,3.9583146670080147,7.641685332991985,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.2,1.4832396974191329,4.358314667008015,8.041685332991985,two_sided_student_t_0.95,available_all_five_archived_repeats,5,11.2,1.4832396974191326,9.358314667008013,13.041685332991985,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_003,gen_003,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplersubject_balanced_wps50pct_trainov00,inceptiontime,inception_time,young,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.545,0.08016246258794242,0.4454651561971956,0.6445348438028045,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.45,0.11180339887498948,0.31117774474011006,0.58882225525989,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.8571428571428571,0.03367175148507369,0.8153338555673769,0.8989518587183373,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6535714285714287,0.058381903977329674,0.5810807202561892,0.7260621368866682,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.4896886446886447,0.09053427752304782,0.3772754916848878,0.6021017976924017,two_sided_student_t_0.95,available_all_five_archived_repeats,5,8.0,0.0,8.0,8.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.6,1.140175425099138,5.184285223017724,8.015714776982275,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.6,0.8944271909999159,2.4894219579208805,4.71057804207912,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.0,0.7071067811865476,2.1220109669149156,3.8779890330850844,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.4,0.8944271909999159,3.289421957920881,5.5105780420791195,two_sided_student_t_0.95,available_all_five_archived_repeats,5,18.0,0.7071067811865476,17.122010966914914,18.877989033085086,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_004,gen_004,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplersubject_balanced_wps50pct_trainov30,inceptiontime,inception_time,pre_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5531746031746032,0.13699387483939646,0.38307424081209185,0.7232749655371146,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.7333333333333333,0.12668615834434865,0.5760316914464139,0.8906349752202527,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.72,0.10368220676663861,0.5912615366035459,0.8487384633964541,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.7266666666666668,0.09297467463485302,0.6112233604278609,0.8421099729054727,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6259489302967564,0.1157673105970004,0.4822048285595876,0.7696930320339251,two_sided_student_t_0.95,available_all_five_archived_repeats,5,9.0,0.0,9.0,9.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.2,2.04939015319192,9.65534602850829,14.744653971491708,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.6,1.1401754250991378,5.184285223017725,8.015714776982275,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.6,2.073644135332772,3.0252307320709177,8.174769267929081,two_sided_student_t_0.95,available_all_five_archived_repeats,5,2.4,1.140175425099138,0.984285223017725,3.815714776982275,two_sided_student_t_0.95,available_all_five_archived_repeats,5,14.4,2.073644135332772,11.825230732070919,16.974769267929084,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
