source_study,comparison_id,parameter_group,parameter,reference_value,candidate_value,n_matched_repeat_seeds,aggregation_before_contrast,balanced_accuracy_delta_n_repeats,balanced_accuracy_delta_mean,balanced_accuracy_delta_sample_sd,balanced_accuracy_delta_repeat_t_ci95_low,balanced_accuracy_delta_repeat_t_ci95_high,balanced_accuracy_delta_repeat_t_ci95_method,macro_f1_delta_n_repeats,macro_f1_delta_mean,macro_f1_delta_sample_sd,macro_f1_delta_repeat_t_ci95_low,macro_f1_delta_repeat_t_ci95_high,macro_f1_delta_repeat_t_ci95_method,macro_roc_auc_ovr_delta,participant_cluster_delta_ci95_low,participant_cluster_delta_ci95_high,formal_v2_p_value,formal_v2_inference_applicability,interpretation
20260630_0630_overfitting_sweep_generalization_rank2,model:small_inceptiontime_vs_inceptiontime,architecture,model,inceptiontime,small_inceptiontime,5,equal_mean_across_all_nuisance_grid_cells_within_seed_and_factor_value,5,0.00543154761904765,0.019264353436565334,-0.018488306491808527,0.02935140172990383,two_sided_student_t_0.95,5,0.008994650242480372,0.018633159782930977,-0.01414147343276333,0.03213077391772408,two_sided_student_t_0.95,,,,,N/A_participant_keyed_matched_oof_predictions_not_archived,exploratory_complete_grid_marginal_effect; repeat_t_CI_is_not_participant_cluster_CI
20260630_0630_overfitting_sweep_generalization_rank2,cnn_epochs:15_vs_10,training_budget,cnn_epochs,10,15,5,equal_mean_across_all_nuisance_grid_cells_within_seed_and_factor_value,5,0.0003885582010581978,0.015427144419002076,-0.018766771619106844,0.01954388802122324,two_sided_student_t_0.95,5,-0.001467685141063102,0.018939283559317635,-0.0249839116884403,0.022048541406314095,two_sided_student_t_0.95,,,,,N/A_participant_keyed_matched_oof_predictions_not_archived,exploratory_complete_grid_marginal_effect; repeat_t_CI_is_not_participant_cluster_CI
20260630_0630_overfitting_sweep_generalization_rank2,regularization_bundle:WD=0.01; dropout=0.5; LS=0.3_vs_WD=0.005; dropout=0.5; LS=0.2,optimization_and_regularization,regularization_bundle,WD=0.005; dropout=0.5; LS=0.2,WD=0.01; dropout=0.5; LS=0.3,5,equal_mean_across_all_nuisance_grid_cells_within_seed_and_factor_value,5,-0.00037202380952379156,0.0048018282797419876,-0.006334281110036141,0.005590233490988558,two_sided_student_t_0.95,5,-0.0019865925076509527,0.006000777888642553,-0.009437542373195622,0.005464357357893716,two_sided_student_t_0.95,,,,,N/A_participant_keyed_matched_oof_predictions_not_archived,exploratory_complete_grid_marginal_effect; repeat_t_CI_is_not_participant_cluster_CI
20260630_0630_overfitting_sweep_generalization_rank2,quality_route_bundle:SQI=top50_quality; aggregation=mean_prob_vs_SQI=none; aggregation=mean_prob,quality_feature_aggregation,quality_route_bundle,SQI=none; aggregation=mean_prob,SQI=top50_quality; aggregation=mean_prob,5,equal_mean_across_all_nuisance_grid_cells_within_seed_and_factor_value,5,0.012888558201058243,0.012234800352333392,-0.0023029529216448894,0.028080069323761375,two_sided_student_t_0.95,5,0.01276247804554057,0.014268099133843012,-0.0049537069717546425,0.03047866306283578,two_sided_student_t_0.95,,,,,N/A_participant_keyed_matched_oof_predictions_not_archived,exploratory_complete_grid_marginal_effect; repeat_t_CI_is_not_participant_cluster_CI
20260630_0630_overfitting_sweep_generalization_rank2,train_overlap_pct:30_vs_0,input_and_windowing,train_overlap_pct,0,30,5,equal_mean_across_all_nuisance_grid_cells_within_seed_and_factor_value,5,0.004637896825396814,0.010312618433493709,-0.008166910210684847,0.017442703861478476,two_sided_student_t_0.95,5,0.004085583386117297,0.011800346633848718,-0.010566482195457659,0.018737648967692255,two_sided_student_t_0.95,,,,,N/A_participant_keyed_matched_oof_predictions_not_archived,exploratory_complete_grid_marginal_effect; repeat_t_CI_is_not_participant_cluster_CI
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=16_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=16,5,equal_mean_across_all_nuisance_grid_cells_within_seed_and_factor_value,5,-0.05436921296296299,0.019144402823130943,-0.07814012871555523,-0.030598297210370745,two_sided_student_t_0.95,5,-0.06051447892458497,0.021084537789559283,-0.08669439041664756,-0.03433456743252238,two_sided_student_t_0.95,,,,,N/A_participant_keyed_matched_oof_predictions_not_archived,exploratory_complete_grid_marginal_effect; repeat_t_CI_is_not_participant_cluster_CI
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=32_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=32,5,equal_mean_across_all_nuisance_grid_cells_within_seed_and_factor_value,5,-0.03914930555555557,0.01691366148392295,-0.06015039009794839,-0.018148221013162748,two_sided_student_t_0.95,5,-0.03866603750270503,0.013385386385098518,-0.055286189879128714,-0.022045885126281344,two_sided_student_t_0.95,,,,,N/A_participant_keyed_matched_oof_predictions_not_archived,exploratory_complete_grid_marginal_effect; repeat_t_CI_is_not_participant_cluster_CI
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=class_subject_balanced; quota=50%_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=class_subject_balanced; quota=50%,5,equal_mean_across_all_nuisance_grid_cells_within_seed_and_factor_value,5,0.003848379629629595,0.018001138933380758,-0.018502986510613443,0.02619974576987263,two_sided_student_t_0.95,5,0.002064980061347399,0.02080649291607346,-0.023769693121422717,0.027899653244117518,two_sided_student_t_0.95,,,,,N/A_participant_keyed_matched_oof_predictions_not_archived,exploratory_complete_grid_marginal_effect; repeat_t_CI_is_not_participant_cluster_CI
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=16_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=16,5,equal_mean_across_all_nuisance_grid_cells_within_seed_and_factor_value,5,-0.06846064814814816,0.020503544498806387,-0.09391916118788493,-0.04300213510841138,two_sided_student_t_0.95,5,-0.06795188320247526,0.022512861350089182,-0.09590529263743404,-0.03999847376751649,two_sided_student_t_0.95,,,,,N/A_participant_keyed_matched_oof_predictions_not_archived,exploratory_complete_grid_marginal_effect; repeat_t_CI_is_not_participant_cluster_CI
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=32_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=32,5,equal_mean_across_all_nuisance_grid_cells_within_seed_and_factor_value,5,-0.0381365740740741,0.018915955453921437,-0.061623834952834536,-0.014649313195313665,two_sided_student_t_0.95,5,-0.03883052423826579,0.018213157279002606,-0.061445145925226194,-0.016215902551305377,two_sided_student_t_0.95,,,,,N/A_participant_keyed_matched_oof_predictions_not_archived,exploratory_complete_grid_marginal_effect; repeat_t_CI_is_not_participant_cluster_CI
20260630_0630_overfitting_sweep_generalization_rank2,sampling_policy:sampler=subject_balanced; quota=50%_vs_sampler=none; quota=all,sampling,sampling_policy,sampler=none; quota=all,sampler=subject_balanced; quota=50%,5,equal_mean_across_all_nuisance_grid_cells_within_seed_and_factor_value,5,-0.017795138888888905,0.012429085135503677,-0.033227886432253405,-0.002362391345524406,two_sided_student_t_0.95,5,-0.022639247779127524,0.013164661872470848,-0.03898533447470036,-0.006293161083554686,two_sided_student_t_0.95,,,,,N/A_participant_keyed_matched_oof_predictions_not_archived,exploratory_complete_grid_marginal_effect; repeat_t_CI_is_not_participant_cluster_CI
