source_study,comparison_id,parameter_group,parameter,reference_value,candidate_value,repeat,split_seed,reference_config_count,candidate_config_count,reference_balanced_accuracy,candidate_balanced_accuracy,balanced_accuracy_delta,reference_macro_f1,candidate_macro_f1,macro_f1_delta,macro_roc_auc_ovr_delta,macro_roc_auc_ovr_applicability,comparison_role
20260630_0630_overfitting_sweep_generalization_rank2,model:small_inceptiontime_vs_inceptiontime,architecture,model,inceptiontime,small_inceptiontime,1,42,112,112,0.5301752645502645,0.5414599867724867,0.01128472222222221,0.5203002924465645,0.5340861154175525,0.01378582297098796,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,model:small_inceptiontime_vs_inceptiontime,architecture,model,inceptiontime,small_inceptiontime,2,10042,112,112,0.45924272486772477,0.45089285714285715,-0.008349867724867621,0.44405140694127426,0.43562149156504126,-0.008429915376233,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,model:small_inceptiontime_vs_inceptiontime,architecture,model,inceptiontime,small_inceptiontime,3,20042,112,112,0.4561838624338624,0.47280092592592593,0.016617063492063544,0.44068134412434773,0.4607689625199762,0.020087618395628448,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,model:small_inceptiontime_vs_inceptiontime,architecture,model,inceptiontime,small_inceptiontime,4,30042,112,112,0.5321593915343915,0.5121941137566137,-0.01996527777777779,0.5186250672035901,0.5067338988504814,-0.011891168353108772,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,model:small_inceptiontime_vs_inceptiontime,architecture,model,inceptiontime,small_inceptiontime,5,40042,112,112,0.5303819444444444,0.5579530423280423,0.027571097883597906,0.5199854473787539,0.5514063409538811,0.03142089357512723,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,cnn_epochs:15_vs_10,training_budget,cnn_epochs,10,15,1,42,112,112,0.5313740079365079,0.5402612433862434,0.008887235449735464,0.5234011394608171,0.5309852684032997,0.007584128942482615,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,cnn_epochs:15_vs_10,training_budget,cnn_epochs,10,15,2,10042,112,112,0.44923941798941797,0.460896164021164,0.011656746031746046,0.4317555858773733,0.44791731262894224,0.01616172675156896,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,cnn_epochs:15_vs_10,training_budget,cnn_epochs,10,15,3,20042,112,112,0.4585813492063492,0.47040343915343913,0.011822089947089942,0.44580786238146336,0.45564244426286066,0.009834581881397297,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,cnn_epochs:15_vs_10,training_budget,cnn_epochs,10,15,4,30042,112,112,0.5338955026455026,0.5104580026455026,-0.0234375,0.527820158975374,0.4975388070786975,-0.030281351896676523,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,cnn_epochs:15_vs_10,training_budget,cnn_epochs,10,15,5,40042,112,112,0.5476603835978836,0.5406746031746031,-0.006985780423280463,0.5410146498583613,0.5303771384742735,-0.010637511384087861,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,regularization_bundle:WD=0.01; dropout=0.5; LS=0.3_vs_WD=0.005; dropout=0.5; LS=0.2,optimization_and_regularization,regularization_bundle,WD=0.005; dropout=0.5; LS=0.2,WD=0.01; dropout=0.5; LS=0.3,1,42,112,112,0.5363343253968254,0.5353009259259259,-0.001033399470899421,0.5277618765806722,0.5266245312834447,-0.0011373452972275322,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,regularization_bundle:WD=0.01; dropout=0.5; LS=0.3_vs_WD=0.005; dropout=0.5; LS=0.2,optimization_and_regularization,regularization_bundle,WD=0.005; dropout=0.5; LS=0.2,WD=0.01; dropout=0.5; LS=0.3,2,10042,112,112,0.45634920634920634,0.4537863756613757,-0.0025628306878306417,0.4419826531090164,0.4376902453972992,-0.004292407711717183,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
20260630_0630_overfitting_sweep_generalization_rank2,regularization_bundle:WD=0.01; dropout=0.5; LS=0.3_vs_WD=0.005; dropout=0.5; LS=0.2,optimization_and_regularization,regularization_bundle,WD=0.005; dropout=0.5; LS=0.2,WD=0.01; dropout=0.5; LS=0.3,3,20042,112,112,0.4605241402116401,0.4684606481481481,0.007936507936507964,0.4466962009915104,0.4547541056528135,0.008057904661303072,,N/A_continuous_participant_oof_probabilities_not_archived,exploratory_seed_matched_marginal_factor_contrast_not_participant_level_inference
