source_study,classifier_id,case_id,model,metric,point_estimate,point_estimate_source,participant_cluster_ci95_low,participant_cluster_ci95_high,participant_cluster_ci_applicability,participant_cluster_ci_unavailability_reason,formal_v2_inference
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::ref_20260625_top1_s1_122,ref_20260625_top1_s1_122,inception_time,balanced_accuracy,0.6231481481481481,mean_of_five_archived_repeat_summaries,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::ref_20260625_top1_s1_122,ref_20260625_top1_s1_122,inception_time,macro_f1,0.6146290038463952,mean_of_five_archived_repeat_summaries,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::ref_20260625_top1_s1_122,ref_20260625_top1_s1_122,inception_time,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::ref_20260625_top2_s1_102,ref_20260625_top2_s1_102,inception_time,balanced_accuracy,0.6175925925925926,mean_of_five_archived_repeat_summaries,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::ref_20260625_top2_s1_102,ref_20260625_top2_s1_102,inception_time,macro_f1,0.6080746539322391,mean_of_five_archived_repeat_summaries,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::ref_20260625_top2_s1_102,ref_20260625_top2_s1_102,inception_time,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_212,gen_212,small_inception_time,balanced_accuracy,0.5814814814814815,mean_of_five_archived_repeat_summaries,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_212,gen_212,small_inception_time,macro_f1,0.5702389702847369,mean_of_five_archived_repeat_summaries,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_212,gen_212,small_inception_time,macro_roc_auc_ovr,,N/A_probability_level_participant_oof_not_archived,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_080,gen_080,inception_time,balanced_accuracy,0.5805555555555555,mean_of_five_archived_repeat_summaries,,,N/A_participant_level_oof_rows_not_archived,"participant-level OOF rows with stable participant_id, repeat, true_label, and predicted_label were not archived (class probabilities are additionally required for ROC-AUC); aggregate repeat metrics cannot reproduce participant-cluster resampling",False
