rank,config_or_model,model,subject_BA_mean_sd_percent,subject_BA_repeat_t_CI95_percent,subject_macro_F1_mean_sd_percent,subject_macro_F1_repeat_t_CI95_percent,subject_macro_ROC_AUC,ROC_AUC_applicability,scientific_role
1,ref_20260625_top1_s1_122,inception_time,62.3 ± 1.4,"[60.6, 64.0]",61.5 ± 0.5,"[60.9, 62.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
2,ref_20260625_top2_s1_102,inception_time,61.8 ± 3.1,"[57.9, 65.6]",60.8 ± 3.3,"[56.7, 64.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
3,gen_212,small_inception_time,58.1 ± 5.6,"[51.2, 65.1]",57.0 ± 6.0,"[49.6, 64.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
4,gen_080,inception_time,58.1 ± 3.7,"[53.4, 62.7]",56.9 ± 3.6,"[52.4, 61.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
5,gen_030,inception_time,57.7 ± 5.7,"[50.6, 64.8]",56.0 ± 7.4,"[46.9, 65.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
6,gen_066,inception_time,57.7 ± 8.9,"[46.6, 68.7]",56.1 ± 11.4,"[41.9, 70.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
7,gen_074,inception_time,57.6 ± 10.6,"[44.4, 70.7]",55.8 ± 11.1,"[42.0, 69.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
8,gen_136,small_inception_time,56.7 ± 8.1,"[46.6, 66.7]",55.6 ± 8.7,"[44.7, 66.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
9,gen_044,inception_time,56.7 ± 7.7,"[47.1, 66.3]",55.5 ± 7.1,"[46.7, 64.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
10,gen_093,inception_time,56.7 ± 7.5,"[47.3, 66.0]",53.5 ± 10.5,"[40.6, 66.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
11,gen_164,small_inception_time,56.6 ± 5.9,"[49.2, 64.0]",55.2 ± 6.5,"[47.1, 63.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
12,gen_121,small_inception_time,56.5 ± 4.3,"[51.1, 61.8]",55.6 ± 4.1,"[50.5, 60.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
13,ref_20260608_top2_s1_091,inception_time,56.5 ± 5.6,"[49.6, 63.4]",54.7 ± 5.2,"[48.3, 61.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
14,gen_024,inception_time,56.5 ± 5.3,"[49.9, 63.0]",54.8 ± 6.2,"[47.0, 62.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
15,gen_094,inception_time,56.3 ± 8.0,"[46.4, 66.2]",54.6 ± 10.7,"[41.4, 67.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
16,gen_116,small_inception_time,56.3 ± 6.9,"[47.8, 64.8]",55.8 ± 7.4,"[46.7, 65.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
17,gen_065,inception_time,56.3 ± 9.5,"[44.5, 68.1]",55.2 ± 9.5,"[43.5, 67.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
18,ref_20260608_top3_s1_105,inception_time,56.0 ± 4.3,"[50.7, 61.4]",55.1 ± 4.3,"[49.8, 60.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
19,gen_001,inception_time,55.9 ± 5.5,"[49.1, 62.8]",54.9 ± 5.4,"[48.2, 61.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
20,gen_177,small_inception_time,55.8 ± 10.6,"[42.7, 69.0]",55.2 ± 10.8,"[41.8, 68.7]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
21,gen_198,small_inception_time,55.8 ± 8.0,"[45.9, 65.7]",54.6 ± 7.5,"[45.3, 63.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
22,gen_108,inception_time,55.7 ± 1.8,"[53.5, 58.0]",54.4 ± 1.4,"[52.6, 56.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
23,gen_051,inception_time,55.6 ± 8.7,"[44.9, 66.4]",54.5 ± 9.6,"[42.5, 66.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
24,gen_099,inception_time,55.6 ± 9.8,"[43.5, 67.8]",55.5 ± 10.0,"[43.1, 67.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
25,gen_056,inception_time,55.6 ± 8.1,"[45.6, 65.7]",53.9 ± 8.4,"[43.5, 64.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
26,gen_016,inception_time,55.4 ± 10.8,"[42.0, 68.8]",55.4 ± 11.0,"[41.7, 69.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
27,ref_20260527_top1_g0068,inception_time,55.3 ± 5.5,"[48.5, 62.1]",54.6 ± 5.1,"[48.3, 60.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
28,ref_20260527_top2_g0056,inception_time,55.1 ± 9.8,"[43.0, 67.2]",55.4 ± 9.7,"[43.3, 67.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
29,gen_155,small_inception_time,55.0 ± 8.0,"[45.1, 64.9]",54.7 ± 8.3,"[44.4, 64.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
