source_study,parameter_group,parameter,unique_value_count,observed_values,parameter_role,comparison_interpretation
20260630_0630_overfitting_sweep_generalization_rank2,architecture,model,2,"[""inceptiontime"", ""small_inceptiontime""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,architecture,resolved_model,2,"[""inception_time"", ""small_inception_time""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,input_and_windowing,extra_input,1,"[""0""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,input_and_windowing,window_sec,1,"[""5""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,input_and_windowing,hop_sec,2,"[""2.5"", ""3.5""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,input_and_windowing,overlap_pct,2,"[""30"", ""50""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,input_and_windowing,max_windows_fraction,1,"[""0.9""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,input_and_windowing,train_overlap_pct,3,"[""0"", ""30"", ""50""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,3,"[""10"", ""15"", ""50""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_patience,1,"[""0""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,early_stopping_source,1,"[""none_final_epoch_fixed""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,optimization_and_regularization,cnn_lr,1,"[""0.001""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,optimization_and_regularization,cnn_weight_decay,4,"[""0.0001"", ""0.0005"", ""0.005"", ""0.01""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,optimization_and_regularization,cnn_dropout,4,"[""-1"", ""0"", ""0.5"", ""0.7""]",varied,marginal_descriptive_not_single_factor_causal
