source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_count,config_repeat_row_count,repeat_seed_count,within_seed_aggregation,interpretation,subject_balanced_accuracy_n_repeats,subject_balanced_accuracy_mean,subject_balanced_accuracy_sample_sd,subject_balanced_accuracy_repeat_t_ci95_low,subject_balanced_accuracy_repeat_t_ci95_high,subject_balanced_accuracy_repeat_t_ci95_method,subject_macro_f1_n_repeats,subject_macro_f1_mean,subject_macro_f1_sample_sd,subject_macro_f1_repeat_t_ci95_low,subject_macro_f1_repeat_t_ci95_high,subject_macro_f1_repeat_t_ci95_method,subject_macro_roc_auc_ovr_mean,subject_macro_roc_auc_ovr_sample_sd,subject_macro_roc_auc_ovr_repeat_t_ci95_low,subject_macro_roc_auc_ovr_repeat_t_ci95_high,subject_macro_roc_auc_ovr_applicability,formal_v2_p_value,formal_v2_p_value_applicability
20260630_0630_overfitting_sweep_generalization_rank2,architecture,model,all_archived_config_repeats,inceptiontime,inception_time,inceptiontime · inception_time,112,560,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5016286375661375,0.04011104177336819,0.45182420106569887,0.5514330740665762,two_sided_student_t_0.95,5,0.4887287116189061,0.042344277653477744,0.4361513465266385,0.5413060767111737,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,architecture,model,all_archived_config_repeats,small_inceptiontime,small_inception_time,small_inceptiontime · small_inception_time,112,560,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5070601851851851,0.04507840964473222,0.4510879468330397,0.5630324235373306,two_sided_student_t_0.95,5,0.4977233618613865,0.04875338909309801,0.4371880338340665,0.5582586898887065,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,56,280,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.49938822751322753,0.04683731589245025,0.44123201859707495,0.5575444364293801,two_sided_student_t_0.95,5,0.48742983589843225,0.050945251376656446,0.4241729513845971,0.5506867204122674,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,15,inception_time,15 · inception_time,56,280,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5038690476190476,0.03427006436022893,0.46131714248682537,0.5464209527512699,two_sided_student_t_0.95,5,0.49002758733937996,0.03536347714284675,0.44611803091980534,0.5339371437589545,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,small_inception_time,10 · small_inception_time,56,280,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.508912037037037,0.04798807705796338,0.44932696941113576,0.5684971046629382,two_sided_student_t_0.95,5,0.5004899227229235,0.052642179077525726,0.4351260241753642,0.5658538212704828,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,15,small_inception_time,15 · small_inception_time,56,280,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5052083333333333,0.04364002774533591,0.4510220820013362,0.5593945846653303,two_sided_student_t_0.95,5,0.49495680099984957,0.046467324845805874,0.43725999664597304,0.5526536053537261,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,optimization_and_regularization,regularization_bundle,all_archived_config_repeats,WD=0.005; dropout=0.5; LS=0.2,inception_time,WD=0.005; dropout=0.5; LS=0.2 · inception_time,56,280,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5017195767195768,0.0419694922913836,0.44960756911847527,0.5538315843206782,two_sided_student_t_0.95,5,0.48972492963611447,0.04489888910921679,0.4339755954698568,0.5454742638023722,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,optimization_and_regularization,regularization_bundle,all_archived_config_repeats,WD=0.01; dropout=0.5; LS=0.3,inception_time,WD=0.01; dropout=0.5; LS=0.3 · inception_time,56,280,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5015376984126985,0.03859340033869662,0.4536176626438738,0.5494577341815231,two_sided_student_t_0.95,5,0.4877324936016977,0.04030051661014228,0.4376927930178711,0.5377721941855242,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,optimization_and_regularization,regularization_bundle,all_archived_config_repeats,WD=0.005; dropout=0.5; LS=0.2,small_inception_time,WD=0.005; dropout=0.5; LS=0.2 · small_inception_time,56,280,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5073412698412698,0.046283391767269436,0.44987284856909077,0.5648096911134489,two_sided_student_t_0.95,5,0.4987137363518291,0.05006795162454908,0.4365461633558187,0.5608813093478394,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,optimization_and_regularization,regularization_bundle,all_archived_config_repeats,WD=0.01; dropout=0.5; LS=0.3,small_inception_time,WD=0.01; dropout=0.5; LS=0.3 · small_inception_time,56,280,5,equal_mean_across_configs_with_parameter_value,marginal_descriptive_not_single_factor_causal,5,0.5067791005291005,0.04406973693245063,0.45205929476976564,0.5614989062884354,two_sided_student_t_0.95,5,0.49673298737094385,0.04762263644597592,0.437601674196429,0.5558643005454587,two_sided_student_t_0.95,,,,,N/A_continuous_participant_oof_probabilities_not_archived,,N/A_participant_keyed_matched_oof_predictions_not_archived
