source_study,classifier_id,case_id,config_name,model,resolved_model,repeat,split_seed,metric_scope,class_label,precision,sensitivity,f1,support,true_positive,false_positive,false_negative,true_negative,predicted_support,specificity,balanced_accuracy,roc_auc,pr_auc,result_applicability,missing_archived_fields,precision_applicability,sensitivity_applicability,f1_applicability,support_applicability,confusion_count_applicability,specificity_applicability,balanced_accuracy_applicability,roc_auc_applicability,pr_auc_applicability
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_001,gen_001,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,1,42,participant_hard_label_archived_repeat,pre_frail,0.5555555555555556,0.5555555555555556,0.5555555555555556,9,5,4,4,16,9,0.8,0.6777777777777778,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_001,gen_001,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,1,42,participant_hard_label_archived_repeat,robust_non_frail,0.4615384615384615,0.5,0.48,12,6,7,6,10,13,0.5882352941176471,0.5441176470588236,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_001,gen_001,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,1,42,participant_hard_label_archived_repeat,young,0.5714285714285714,0.5,0.5333333333333333,8,4,3,4,18,7,0.8571428571428571,0.6785714285714286,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_001,gen_001,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,2,10042,participant_hard_label_archived_repeat,pre_frail,0.5384615384615384,0.7777777777777778,0.6363636363636364,9,7,6,2,14,13,0.7,0.7388888888888889,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_001,gen_001,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,2,10042,participant_hard_label_archived_repeat,robust_non_frail,0.6,0.5,0.5454545454545454,12,6,4,6,13,10,0.7647058823529411,0.6323529411764706,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_001,gen_001,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,2,10042,participant_hard_label_archived_repeat,young,0.3333333333333333,0.25,0.2857142857142857,8,2,4,6,17,6,0.8095238095238095,0.5297619047619048,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_001,gen_001,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,3,20042,participant_hard_label_archived_repeat,pre_frail,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,6,3,3,17,9,0.85,0.7583333333333333,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_001,gen_001,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,3,20042,participant_hard_label_archived_repeat,robust_non_frail,0.5384615384615384,0.5833333333333334,0.56,12,7,6,5,11,13,0.6470588235294118,0.6151960784313726,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_001,gen_001,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,3,20042,participant_hard_label_archived_repeat,young,0.5714285714285714,0.5,0.5333333333333333,8,4,3,4,18,7,0.8571428571428571,0.6785714285714286,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260630_0630_overfitting_sweep_generalization_rank2,20260630_0630_overfitting_sweep_generalization_rank2::gen_001,gen_001,generalization_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqinone_samplernone_wpsall_trainov00,inceptiontime,inception_time,4,30042,participant_hard_label_archived_repeat,pre_frail,0.5,0.8888888888888888,0.64,9,8,8,1,12,16,0.6,0.7444444444444445,,,available_archived_hard_label_per_class_fields,,available_archived_field,available_archived_field,available_archived_field,available_archived_field,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,available_archived_subject_confusion_matrix,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
