source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_024,inception_time,gen_024,gen_024,1,42,0.5462962962962963,0.5,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_024,inception_time,gen_024,gen_024,2,10042,0.5416666666666666,0.5373015873015873,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_024,inception_time,gen_024,gen_024,3,20042,0.5092592592592592,0.4885983581635755,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_024,inception_time,gen_024,gen_024,4,30042,0.5787037037037037,0.5688659166920037,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_024,inception_time,gen_024,gen_024,5,40042,0.6481481481481481,0.6429951690821256,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_030,inception_time,gen_030,gen_030,1,42,0.5694444444444444,0.5548085901027077,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_030,inception_time,gen_030,gen_030,2,10042,0.5092592592592592,0.468954248366013,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_030,inception_time,gen_030,gen_030,3,20042,0.6203703703703703,0.6182539682539682,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_030,inception_time,gen_030,gen_030,4,30042,0.6481481481481481,0.6474358974358975,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_030,inception_time,gen_030,gen_030,5,40042,0.5370370370370371,0.5121212121212121,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,other_archived_parameter,overfit_config_id,top15_by_subject_BA_then_macro_F1,gen_044,inception_time,gen_044,gen_044,1,42,0.5509259259259259,0.5449464810078621,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
