source_study,parameter_group,parameter,subset_contract,parameter_value,model,plot_category,config_id,repeat,split_seed,subject_balanced_accuracy,subject_macro_f1,subject_macro_roc_auc_ovr,macro_roc_auc_ovr_applicability,observation_unit,independence_warning
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_001,1,42,0.5185185185185185,0.522962962962963,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_001,2,10042,0.5092592592592592,0.4891774891774891,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_001,3,20042,0.5833333333333334,0.5866666666666666,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_001,4,30042,0.6435185185185185,0.6207407407407407,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_001,5,40042,0.5416666666666666,0.5234848484848484,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_002,1,42,0.5740740740740741,0.5801282051282052,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_002,2,10042,0.5092592592592592,0.4708724069337879,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_002,3,20042,0.4583333333333333,0.4377990430622009,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_002,4,30042,0.5972222222222222,0.5920645446507516,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_002,5,40042,0.5416666666666666,0.5234848484848484,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_003,1,42,0.4814814814814814,0.4847953216374268,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_003,2,10042,0.4583333333333333,0.4583333333333333,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_003,3,20042,0.4583333333333333,0.4421356421356421,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_003,4,30042,0.5694444444444444,0.5575396825396824,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_003,5,40042,0.5138888888888888,0.510989010989011,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_004,1,42,0.6018518518518519,0.5810904071773637,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_004,2,10042,0.4351851851851852,0.4279609279609279,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_004,3,20042,0.5,0.478975215817321,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_004,4,30042,0.6759259259259259,0.6866096866096866,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_004,5,40042,0.5370370370370371,0.5099160945842868,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_005,1,42,0.4675925925925925,0.4505135387488329,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_005,2,10042,0.3518518518518518,0.3338164251207729,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_005,3,20042,0.2824074074074074,0.2847503373819163,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_005,4,30042,0.5555555555555555,0.5511060259344012,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_005,5,40042,0.6203703703703703,0.580896686159844,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_006,1,42,0.5324074074074074,0.5345399698340875,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_006,2,10042,0.3611111111111111,0.3693602693602694,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_006,3,20042,0.2638888888888889,0.2036630036630037,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_006,4,30042,0.3703703703703704,0.3703703703703704,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_006,5,40042,0.5277777777777778,0.5249946132299074,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_007,1,42,0.4583333333333333,0.4600985221674876,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_007,2,10042,0.3842592592592592,0.3779645191409897,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_007,3,20042,0.5185185185185185,0.5109364319890636,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_007,4,30042,0.5324074074074074,0.5460875331564986,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_007,5,40042,0.4722222222222221,0.441938178780284,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_008,1,42,0.5370370370370371,0.5368627450980392,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_008,2,10042,0.4444444444444444,0.438095238095238,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_008,3,20042,0.4953703703703704,0.4803174603174603,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_008,4,30042,0.4537037037037037,0.4487287738061731,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_008,5,40042,0.4768518518518518,0.4792429792429792,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_009,1,42,0.5648148148148148,0.545751633986928,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_009,2,10042,0.5277777777777778,0.5223171889838556,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_009,3,20042,0.4953703703703704,0.5015873015873016,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_009,4,30042,0.5462962962962963,0.5462962962962963,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
20260630_0630_overfitting_sweep_generalization_rank2,training_budget,cnn_epochs,all_archived_config_repeats,10,inception_time,10 · inception_time,gen_009,5,40042,0.5509259259259259,0.5373737373737373,,N/A_continuous_participant_oof_probabilities_not_archived,archived_config_repeat_summary,rows share participants and many configurations; boxplots are descriptive
