descriptive_rank,overfit_config_id,overfit_config_name,model,resolved_model,overfit_stage,stage1_screen_group,stage1_regularization_factor,stage1_regularization_value,cnn_epochs,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,max_windows_fraction,sqi_mode,aggregation,manual_features,loss_type,class_weight_mode,n_runs,seeds,window_balanced_accuracy_n_repeats,window_balanced_accuracy_mean,window_balanced_accuracy_sample_sd,window_balanced_accuracy_repeat_t_ci95_low,window_balanced_accuracy_repeat_t_ci95_high,window_balanced_accuracy_repeat_t_ci95_method,window_macro_f1_n_repeats,window_macro_f1_mean,window_macro_f1_sample_sd,window_macro_f1_repeat_t_ci95_low,window_macro_f1_repeat_t_ci95_high,window_macro_f1_repeat_t_ci95_method,file_balanced_accuracy_n_repeats,file_balanced_accuracy_mean,file_balanced_accuracy_sample_sd,file_balanced_accuracy_repeat_t_ci95_low,file_balanced_accuracy_repeat_t_ci95_high,file_balanced_accuracy_repeat_t_ci95_method,file_macro_f1_n_repeats,file_macro_f1_mean,file_macro_f1_sample_sd,file_macro_f1_repeat_t_ci95_low,file_macro_f1_repeat_t_ci95_high,file_macro_f1_repeat_t_ci95_method,subject_balanced_accuracy_n_repeats,subject_balanced_accuracy_mean,subject_balanced_accuracy_sample_sd,subject_balanced_accuracy_repeat_t_ci95_low,subject_balanced_accuracy_repeat_t_ci95_high,subject_balanced_accuracy_repeat_t_ci95_method,subject_macro_f1_n_repeats,subject_macro_f1_mean,subject_macro_f1_sample_sd,subject_macro_f1_repeat_t_ci95_low,subject_macro_f1_repeat_t_ci95_high,subject_macro_f1_repeat_t_ci95_method,duration_sec_n_repeats,duration_sec_mean,duration_sec_sample_sd,duration_sec_repeat_t_ci95_low,duration_sec_repeat_t_ci95_high,duration_sec_repeat_t_ci95_method,source_study,formal_v2_selection_eligible
1,ref_20260625_top1_s1_122,20260625_s1_122_no_early_stop_fixed_reference,inceptiontime,inception_time,fixed_reference,fixed_reference,20260625,s1_122,15,0.001,0.005,0.5,0.2,0.9,top50_quality,quality_weighted_mean,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5209892361746569,0.026576632763561328,0.4879899880786601,0.5539884842706536,two_sided_student_t_0.95,5,0.5170936751702648,0.02582386146369936,0.4850291160961877,0.549158234244342,two_sided_student_t_0.95,5,0.5670370370370371,0.023181457515979408,0.5382534558135553,0.5958206182605189,two_sided_student_t_0.95,5,0.5576106222219022,0.019812916591889933,0.5330096369903383,0.582211607453466,two_sided_student_t_0.95,5,0.6231481481481481,0.013733700902029024,0.606095506176,0.6402007901202962,two_sided_student_t_0.95,5,0.6146290038463952,0.00465325278315633,0.6088512273910085,0.6204067803017819,two_sided_student_t_0.95,5,433.6017176853493,0.405805964206032,433.09784302933826,434.1055923413603,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
2,ref_20260625_top2_s1_102,20260625_s1_102_no_early_stop_fixed_reference,inceptiontime,inception_time,fixed_reference,fixed_reference,20260625,s1_102,15,0.001,0.005,0.5,0.2,0.9,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5171808548801391,0.02569068300151111,0.4852816587078973,0.5490800510523809,two_sided_student_t_0.95,5,0.5138729593179262,0.026044179108164107,0.48153483975654815,0.5462110788793042,two_sided_student_t_0.95,5,0.5683333333333334,0.026347433324677993,0.5356186739290065,0.6010479927376602,two_sided_student_t_0.95,5,0.5593158730190362,0.029781700872760473,0.5223370072400558,0.5962947387980165,two_sided_student_t_0.95,5,0.6175925925925926,0.03098740839015095,0.5791166431969048,0.6560685419882804,two_sided_student_t_0.95,5,0.6080746539322391,0.03268282829379114,0.5674935626803632,0.6486557451841151,two_sided_student_t_0.95,5,433.0451941174921,0.4269864844262301,432.51502037206046,433.5753678629237,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
3,gen_212,generalization_small_inceptiontime_ep15_wd0.01_do0.5_ls0.3_sqitop50_quality_samplernone_wpsall_trainov30,small_inceptiontime,small_inception_time,generalization,generalization,generalization_grid,wd0.01_do0.5_ls0.3,15,0.001,0.01,0.5,0.3,0.9,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5090508896444725,0.03481951605421695,0.4658167501250733,0.5522850291638718,two_sided_student_t_0.95,5,0.49987249927135713,0.03977871598104749,0.45048069974291766,0.5492642987997967,two_sided_student_t_0.95,5,0.5414814814814816,0.036952449703567015,0.495598955039127,0.5873640079238361,two_sided_student_t_0.95,5,0.530484725418048,0.03902240938168091,0.48203200456564593,0.5789374462704501,two_sided_student_t_0.95,5,0.5814814814814815,0.05570966280181975,0.5123087988283903,0.6506541641345727,two_sided_student_t_0.95,5,0.5702389702847369,0.060103232999414447,0.49561094969371144,0.6448669908757624,two_sided_student_t_0.95,5,94.57035294836388,0.21274148362918874,94.30619950721706,94.8345063895107,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
4,gen_080,generalization_inceptiontime_ep15_wd0.005_do0.5_ls0.2_sqitop50_quality_samplerclass_subject_balanced_wps50pct_trainov30,inceptiontime,inception_time,generalization,generalization,generalization_grid,wd0.005_do0.5_ls0.2,15,0.001,0.005,0.5,0.2,0.9,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.48591438109772145,0.024509069321495946,0.45548235209173954,0.5163464101037034,two_sided_student_t_0.95,5,0.48052995389804065,0.020292060749097375,0.45533403261652267,0.5057258751795586,two_sided_student_t_0.95,5,0.5207407407407407,0.043264625808677556,0.4670206124783483,0.5744608690031332,two_sided_student_t_0.95,5,0.5133262259028847,0.04045954245090009,0.4630890686578051,0.5635633831479643,two_sided_student_t_0.95,5,0.5805555555555555,0.03712374110505456,0.5344603427467719,0.6266507683643391,two_sided_student_t_0.95,5,0.5693044657341333,0.03642717809547873,0.5240741501368205,0.6145347813314461,two_sided_student_t_0.95,5,216.17194794584066,0.2569578776887402,215.8528926000597,216.4910032916216,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
5,gen_030,generalization_inceptiontime_ep10_wd0.01_do0.5_ls0.3_sqinone_samplernone_wpsall_trainov30,inceptiontime,inception_time,generalization,generalization,generalization_grid,wd0.01_do0.5_ls0.3,10,0.001,0.01,0.5,0.3,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5105698545387928,0.01894874154518994,0.48704188435086243,0.5340978247267232,two_sided_student_t_0.95,5,0.5032750331461314,0.026608643659634248,0.47023603827293065,0.5363140280193321,two_sided_student_t_0.95,5,0.5453703703703704,0.0305274842996936,0.5074654921597102,0.5832752485810306,two_sided_student_t_0.95,5,0.5337657655272039,0.042899459649808014,0.4804990509376421,0.5870324801167657,two_sided_student_t_0.95,5,0.576851851851852,0.05741487406639814,0.5055618697622023,0.6481418339415016,two_sided_student_t_0.95,5,0.5603147832559597,0.07356412762230866,0.46897285442807185,0.6516567120838477,two_sided_student_t_0.95,5,371.34983937921936,0.0910619367005478,371.23677105081157,371.46290770762715,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
6,gen_066,generalization_inceptiontime_ep15_wd0.005_do0.5_ls0.2_sqinone_samplerclass_subject_balanced_wps50pct_trainov30,inceptiontime,inception_time,generalization,generalization,generalization_grid,wd0.005_do0.5_ls0.2,15,0.001,0.005,0.5,0.2,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.519591001834892,0.03590790500686678,0.4750054489369448,0.5641765547328393,two_sided_student_t_0.95,5,0.511842276916487,0.04307759882876502,0.4583543733217447,0.5653301805112292,two_sided_student_t_0.95,5,0.5501851851851851,0.04938059409021253,0.4888710792934545,0.6114992910769157,two_sided_student_t_0.95,5,0.5384678519658951,0.061875183454711935,0.4616396642879259,0.6152960396438643,two_sided_student_t_0.95,5,0.5768518518518518,0.08890817691968746,0.4664577694247449,0.6872459342789587,two_sided_student_t_0.95,5,0.5606342332878878,0.11428317871326962,0.4187329246793338,0.7025355418964416,two_sided_student_t_0.95,5,367.0191007771529,0.35973146356006,366.57243516982925,367.4657663844766,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
7,gen_074,generalization_inceptiontime_ep15_wd0.005_do0.5_ls0.2_sqitop50_quality_samplersubject_balanced_wps50pct_trainov30,inceptiontime,inception_time,generalization,generalization,generalization_grid,wd0.005_do0.5_ls0.2,15,0.001,0.005,0.5,0.2,0.9,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.48946724391576096,0.04654931406662011,0.4316686364981586,0.5472658513333634,two_sided_student_t_0.95,5,0.47917271269193085,0.04639176661574786,0.42156972627208533,0.5367756991117764,two_sided_student_t_0.95,5,0.5368518518518519,0.06442807902037082,0.4568538256588301,0.6168498780448738,two_sided_student_t_0.95,5,0.522754440023484,0.06781708151738769,0.4385484114400937,0.6069604686068744,two_sided_student_t_0.95,5,0.5759259259259258,0.10595683957089251,0.4443631328672964,0.7074887189845553,two_sided_student_t_0.95,5,0.5584704512320611,0.11145232281477607,0.42008411447676935,0.6968567879873528,two_sided_student_t_0.95,5,186.30615471778438,0.06600637528495341,186.22419697794112,186.38811245762764,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
8,gen_136,generalization_small_inceptiontime_ep10_wd0.005_do0.5_ls0.2_sqitop50_quality_samplerclass_subject_balanced_wps50pct_trainov30,small_inceptiontime,small_inception_time,generalization,generalization,generalization_grid,wd0.005_do0.5_ls0.2,10,0.001,0.005,0.5,0.2,0.9,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.48240123548799724,0.041181377900388616,0.4312678011526605,0.533534669823334,two_sided_student_t_0.95,5,0.47444489343404345,0.04150192121997618,0.42291345199891006,0.5259763348691768,two_sided_student_t_0.95,5,0.5188888888888888,0.06348368551426913,0.4400634821125309,0.5977142956652468,two_sided_student_t_0.95,5,0.5113424665808678,0.06549343194842439,0.43002163001170085,0.5926633031500347,two_sided_student_t_0.95,5,0.5666666666666667,0.0810912372067086,0.4659785968572948,0.6673547364760385,two_sided_student_t_0.95,5,0.5559574136347591,0.0874853633551238,0.4473299875869268,0.6645848396825914,two_sided_student_t_0.95,5,46.72841821503825,0.06936539699322333,46.642289698870655,46.81454673120585,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
9,gen_044,generalization_inceptiontime_ep10_wd0.01_do0.5_ls0.3_sqitop50_quality_samplernone_wpsall_trainov30,inceptiontime,inception_time,generalization,generalization,generalization_grid,wd0.01_do0.5_ls0.3,10,0.001,0.01,0.5,0.3,0.9,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5053103269938393,0.04205622146612522,0.45309063089886714,0.5575300230888114,two_sided_student_t_0.95,5,0.497920875160044,0.03548289284971059,0.45386304455643656,0.5419787057636515,two_sided_student_t_0.95,5,0.5457407407407407,0.06939380869984772,0.4595769467799005,0.631904534701581,two_sided_student_t_0.95,5,0.536652976553358,0.06567714187077134,0.45510403398750005,0.6182019191192158,two_sided_student_t_0.95,5,0.5666666666666667,0.07737162472610487,0.47059710576172986,0.6627362275716034,two_sided_student_t_0.95,5,0.5549254899241439,0.07054952245277325,0.46732668780406705,0.6425242920442208,two_sided_student_t_0.95,5,208.95812881859018,0.28580918842540637,208.60324983896652,209.31300779821385,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
10,gen_093,generalization_inceptiontime_ep15_wd0.01_do0.5_ls0.3_sqinone_samplerclass_subject_balanced_wps50pct_trainov00,inceptiontime,inception_time,generalization,generalization,generalization_grid,wd0.01_do0.5_ls0.3,15,0.001,0.01,0.5,0.3,0.9,none,mean_prob,none,weighted_ce,inverse_subject_count,5,"42,10042,20042,30042,40042",5,0.5179694027939061,0.05684599206575092,0.44738578100368626,0.588553024584126,two_sided_student_t_0.95,5,0.49968003774216785,0.06102502932857273,0.4239074558355501,0.5754526196487856,two_sided_student_t_0.95,5,0.5496296296296296,0.07694271736707704,0.4540926275509623,0.6451666317082968,two_sided_student_t_0.95,5,0.526476764990428,0.08646215372723999,0.4191198215001545,0.6338337084807014,two_sided_student_t_0.95,5,0.5666666666666667,0.07547858279608431,0.47294762777332655,0.6603857055600068,two_sided_student_t_0.95,5,0.5354932762455982,0.10450803877187433,0.40572940697967846,0.6652571455115179,two_sided_student_t_0.95,5,276.6156888670754,0.11182254189645086,276.47684284261493,276.75453489153585,two_sided_student_t_0.95,20260630_0630_overfitting_sweep_generalization_rank2,False
