model,fold,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
cnn1d,1,1,0.2319816760457704,0.9146399680194999,2.781365257504928,0.3740039849937163
cnn1d,1,2,0.06543808200431413,0.97950144256979,2.6356481617050513,0.27448651656648165
cnn1d,1,3,0.044848739114050344,0.9848323105403655,3.974161655809959,0.41342162316599723
cnn1d,1,4,0.03361911109755268,0.988734903937179,4.475485988097977,0.350719595749091
cnn1d,1,5,0.02614713109029831,0.9916541111078517,3.5698001294430077,0.35269155140249747
cnn1d,1,6,0.019928887450282037,0.9936504399529337,5.011361271464401,0.3633823147696864
cnn1d,1,7,0.014510500076225258,0.9953263631067074,4.943288680908154,0.39608017792418054
cnn1d,1,8,0.018412224269634174,0.9939328232343264,4.664113083251452,0.41120597412928633
cnn1d,1,9,0.01839219622509679,0.9935842488347033,5.474349611299203,0.35720874905930616
cnn1d,1,10,0.018675591029873047,0.9933387503772897,3.980089236441667,0.41852891361302985
cnn1d,1,11,0.011754741560108525,0.9967132072247464,6.546902091336826,0.31090980730482587
cnn1d,1,12,0.013634384140799587,0.9960766913753251,5.06426526978404,0.3744969739070678
cnn1d,1,13,0.012082746245031107,0.9962642734424794,6.709798259074497,0.32656874114160545
cnn1d,1,14,0.009295929417556895,0.9969079264339359,5.79817770592019,0.3527475728699237
cnn1d,1,15,0.010383968934802737,0.9964221078276895,6.296028640819324,0.39151909678455454
cnn1d,1,16,0.013100579986627546,0.9958034655972895,7.562723290737277,0.35105945931814403
cnn1d,1,17,0.008293279445607479,0.9971621410070135,5.39069769466397,0.4096532457904536
cnn1d,1,18,0.008672169221210136,0.9973215543658531,8.684474588289707,0.3372417643774428
cnn1d,1,19,0.021580694431398786,0.9921875510150636,8.924288144192046,0.31713565971813734
cnn1d,1,20,0.013423125718099557,0.9950725899213225,5.710932442371684,0.408447850549664
cnn1d,2,1,0.29314813828745556,0.8948888249734193,1.8283110395870812,0.6615032771002921
cnn1d,2,2,0.09426737553764915,0.9687013714063561,1.9378492219102672,0.6321105663642977
cnn1d,2,3,0.06308179902952424,0.9783715542875866,2.102416973162588,0.6366739414500608
cnn1d,2,4,0.04159012199704384,0.9855110927686391,2.3389635542202076,0.6500836255313868
cnn1d,2,5,0.04754990215987227,0.9839063072951841,3.2773808196806846,0.5510864423550991
cnn1d,2,6,0.03552020572201717,0.9890767320773987,2.704488583499419,0.5057271852794241
cnn1d,2,7,0.02893650160079042,0.9899656546033381,2.5537000203694373,0.4436728347176108
cnn1d,2,8,0.026217355758904718,0.9905521306052302,3.0744982156027625,0.5243790058715432
cnn1d,2,9,0.021602399836343086,0.9921845822352493,3.203524025986693,0.5742481287257407
cnn1d,2,10,0.021141624445675026,0.9926824996260697,3.0156734791077278,0.5980578569384539
cnn1d,2,11,0.020927283819088018,0.9924067300117584,2.2027662974403066,0.7105488151756809
cnn1d,2,12,0.01976686737423649,0.9928972322097795,3.353577516561645,0.5967117634281813
cnn1d,2,13,0.02017802466972742,0.9925295253014593,3.883309354273398,0.5644374627210448
cnn1d,2,14,0.019542361479618065,0.9933901027100518,3.652838567563394,0.5460624286743689
cnn1d,2,15,0.016216351378263723,0.9937041877805696,2.9877418798911552,0.5710042304072155
cnn1d,2,16,0.024495590710877115,0.9914309382162158,3.3074587911080693,0.5989875121964674
cnn1d,2,17,0.014206273984543025,0.9951102682804086,3.7886431697593257,0.5392183572780588
cnn1d,2,18,0.01309823433959621,0.9947359697161658,3.895166969206601,0.5626099578338385
cnn1d,2,19,0.013862380917457496,0.9954118489998639,6.67645589463496,0.34993533717414316
cnn1d,2,20,0.02237513346760331,0.9917559828724217,3.380009560043403,0.5881879410983889
cnn1d,2,21,0.010176994323207277,0.996595616013242,3.431822308817819,0.611468627065642
cnn1d,3,1,0.2816066378727555,0.9017570432840826,5.473941880109052,0.300541986410591
cnn1d,3,2,0.07960075677033061,0.9749005277005421,5.631890074633127,0.3250189547159988
cnn1d,3,3,0.062233267794798396,0.9791510454457412,6.0567026367996935,0.33120092778346727
cnn1d,3,4,0.04837445105468445,0.9841004549218951,2.321343469698893,0.46283833622486276
cnn1d,3,5,0.0446102090395343,0.9844740609383787,1.9622272226698343,0.5160113572418394
cnn1d,3,6,0.030328522882398182,0.9903936922358039,2.772794062051343,0.4925030902733938
cnn1d,3,7,0.027935882636441665,0.9901996239974197,3.7047200195962167,0.43752881007717503
cnn1d,3,8,0.032191379819387377,0.988015133710831,4.159281787939615,0.34069487895325073
cnn1d,3,9,0.027194975226261832,0.9909202152574328,4.831839180912266,0.3473860651661889
cnn1d,3,10,0.028934075871904632,0.9901318271198232,3.3966821201854005,0.47922766546796797
cnn1d,3,11,0.02477300692047482,0.9915401157428404,2.7346783114037576,0.4809832213352787
cnn1d,3,12,0.018166759117954154,0.9936478393994793,2.083895697231572,0.5829914314084009
cnn1d,3,13,0.012407524602813537,0.9954931778467513,6.857264216006819,0.37684095340974455
cnn1d,3,14,0.023309344061795582,0.9916246196156345,2.873559304223033,0.567855365852518
cnn1d,3,15,0.017207453505336808,0.994153254275401,2.9569569034111907,0.5632451455818833
cnn1d,3,16,0.015812281903712335,0.9950439415484583,3.488032552955616,0.47700612131329995
cnn1d,3,17,0.01619025737835447,0.993656192897078,2.628211029381664,0.49258131744628847
cnn1d,3,18,0.019692901293918486,0.9939475196563646,3.2996831626040546,0.5018499241655482
cnn1d,3,19,0.018515201603957598,0.9935149903532691,5.935797089263308,0.41226430917386425
cnn1d,3,20,0.011785334017799316,0.9954931778467513,3.5507412231960744,0.438394164566216
cnn1d,3,21,0.00936795528521492,0.9967975108927942,3.3372110102394204,0.4835579607469031
cnn1d,3,22,0.012977650260836526,0.9961481487640805,4.030233922631738,0.43673058427600314
cnn1d,4,1,0.31784769625481324,0.8838196447033048,1.3623099456531833,0.5831161872532431
cnn1d,4,2,0.08668697464593172,0.9725190982539883,2.288199642561358,0.5028962210941906
cnn1d,4,3,0.06087814401682884,0.9797681263532843,1.567610892860086,0.6351297236322617
cnn1d,4,4,0.044967678969042704,0.9835556503123462,1.016123261149057,0.6797236322617034
cnn1d,4,5,0.03806273350176602,0.9874001256299274,1.5669687637019818,0.6048533558939649
cnn1d,4,6,0.03196913072900307,0.9880364641711047,1.3381599989529231,0.7072842639593908
cnn1d,4,7,0.029327557492940293,0.990907629662841,1.781187709596457,0.6255752961082911
cnn1d,4,8,0.02743586496461975,0.9905151933121141,1.4172935227661756,0.5924844895657079
cnn1d,4,9,0.021522317343896306,0.993079082163688,3.080678873652643,0.49196277495769886
cnn1d,4,10,0.022656139230739683,0.9919748907236672,1.1104859121075354,0.6580541455160746
cnn1d,4,11,0.020632210835922187,0.9927972284587444,3.62787857312391,0.4432177100958827
cnn1d,4,12,0.021738548470800034,0.9926102776268132,2.836923699146341,0.6253158488437677
cnn1d,4,13,0.019763906139942434,0.9925830904100662,1.6545016579630478,0.6205978567399888
cnn1d,4,14,0.023304521705838036,0.9912270178986753,1.5188023070329837,0.7056401579244219
cnn1d,4,15,0.018147665333710275,0.9945096890824318,2.5299829216054084,0.590321489001692
cnn1d,4,16,0.013875096609800179,0.9951083540981842,2.28643185453642,0.578849407783418
cnn1d,5,1,0.28226340711617953,0.9036570662482953,2.352604239282002,0.429428750784683
cnn1d,5,2,0.07607627389618433,0.9765634653347255,2.7068035867301914,0.31799121155053356
cnn1d,5,3,0.05273260088583179,0.9834196847223526,3.9846386163118592,0.4025925925925926
cnn1d,5,4,0.043137995121090136,0.9869145049614589,5.464695009636173,0.36407407407407405
cnn1d,5,5,0.03360916728220646,0.9882369150372433,3.6623868166540676,0.4115756434400502
cnn1d,5,6,0.0339426576604152,0.9895530640304643,3.97447023356838,0.41647206528562464
cnn1d,5,7,0.030292366342639942,0.9882206567264614,4.506052452784318,0.5710797237915882
cnn1d,5,8,0.027218803924961524,0.9909488510557057,4.018001667760861,0.4191713747645951
cnn1d,5,9,0.017298643797207434,0.9941664825795833,4.793842180255739,0.4138418079096045
cnn1d,5,10,0.02436774399762163,0.9918900469180679,5.8023422459521985,0.3628185812931575
cnn1d,5,11,0.017091746105629253,0.9936917431811461,4.560071680897513,0.4320401757689893
cnn1d,5,12,0.010497718576027076,0.9969655289213764,8.167294083704508,0.36430006277463906
cnn1d,5,13,0.013415021504993439,0.9949996092398551,5.490844523370321,0.39787821720025107
cnn1d,5,14,0.014224801696188312,0.995642965066471,4.912931267223444,0.4413370998116761
cnn1d,5,15,0.009462957246723165,0.9966176419727196,4.153542946285901,0.46539234149403647
cnn1d,5,16,0.013135420092238758,0.9956909901274328,5.805212184745469,0.355021971123666
cnn1d,5,17,0.013118131287363196,0.9959908520151277,3.4343313567614477,0.36310106716886376
